w32.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size   110711, 20776392 req, miss ratio 0.6950, byte miss ratio 0.6950
w32.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size   369039, 20776392 req, miss ratio 0.6689, byte miss ratio 0.6689
w32.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size   738079, 20776392 req, miss ratio 0.5137, byte miss ratio 0.5137
w32.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size  1476159, 20776392 req, miss ratio 0.3853, byte miss ratio 0.3853
w32.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size  2952319, 20776392 req, miss ratio 0.2534, byte miss ratio 0.2534
w32.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size     3690, 20776392 req, miss ratio 0.7694, byte miss ratio 0.7694
w32.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size    11071, 20776392 req, miss ratio 0.7526, byte miss ratio 0.7526
w32.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size    36903, 20776392 req, miss ratio 0.7275, byte miss ratio 0.7275
w32.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size   110711, 20776392 req, miss ratio 0.7071, byte miss ratio 0.7071
w32.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size   369039, 20776392 req, miss ratio 0.6456, byte miss ratio 0.6456
w32.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size   738079, 20776392 req, miss ratio 0.5164, byte miss ratio 0.5164
w32.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size  1476159, 20776392 req, miss ratio 0.3937, byte miss ratio 0.3937
w32.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size  2952319, 20776392 req, miss ratio 0.2736, byte miss ratio 0.2736
w32.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size     3690, 20776392 req, miss ratio 0.7759, byte miss ratio 0.7759
w32.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size    11071, 20776392 req, miss ratio 0.7532, byte miss ratio 0.7532
w32.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size    36903, 20776392 req, miss ratio 0.7173, byte miss ratio 0.7173
w32.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size   110711, 20776392 req, miss ratio 0.6835, byte miss ratio 0.6835
w32.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size   369039, 20776392 req, miss ratio 0.6555, byte miss ratio 0.6555
w32.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size   738079, 20776392 req, miss ratio 0.5014, byte miss ratio 0.5014
w32.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size  1476159, 20776392 req, miss ratio 0.3519, byte miss ratio 0.3519
w32.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size  2952319, 20776392 req, miss ratio 0.2371, byte miss ratio 0.2371
w32.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size     3690, 20776392 req, miss ratio 0.7803, byte miss ratio 0.7803
w32.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size    11071, 20776392 req, miss ratio 0.7640, byte miss ratio 0.7640
w32.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size    36903, 20776392 req, miss ratio 0.7301, byte miss ratio 0.7301
w32.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size   110711, 20776392 req, miss ratio 0.6888, byte miss ratio 0.6888
w32.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size   369039, 20776392 req, miss ratio 0.6550, byte miss ratio 0.6550
w32.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size   738079, 20776392 req, miss ratio 0.4767, byte miss ratio 0.4767
