timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size   619379, 103671855 req, miss ratio 0.4129, byte miss ratio 0.4129
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size  2064598, 103671855 req, miss ratio 0.3302, byte miss ratio 0.3302
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size  4129197, 103671855 req, miss ratio 0.2851, byte miss ratio 0.2851
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size  8258394, 103671855 req, miss ratio 0.2343, byte miss ratio 0.2343
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size 16516789, 103671855 req, miss ratio 0.2013, byte miss ratio 0.2013
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size    20645, 103671855 req, miss ratio 0.7448, byte miss ratio 0.7448
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size    61937, 103671855 req, miss ratio 0.6514, byte miss ratio 0.6514
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size   206459, 103671855 req, miss ratio 0.5425, byte miss ratio 0.5425
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size   619379, 103671855 req, miss ratio 0.4264, byte miss ratio 0.4264
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size  2064598, 103671855 req, miss ratio 0.3409, byte miss ratio 0.3409
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size  4129197, 103671855 req, miss ratio 0.2974, byte miss ratio 0.2974
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size  8258394, 103671855 req, miss ratio 0.2425, byte miss ratio 0.2425
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size 16516789, 103671855 req, miss ratio 0.2016, byte miss ratio 0.2016
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size    20645, 103671855 req, miss ratio 0.7397, byte miss ratio 0.7397
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size    61937, 103671855 req, miss ratio 0.6452, byte miss ratio 0.6452
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size   206459, 103671855 req, miss ratio 0.5358, byte miss ratio 0.5358
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size   619379, 103671855 req, miss ratio 0.4208, byte miss ratio 0.4208
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size  2064598, 103671855 req, miss ratio 0.3369, byte miss ratio 0.3369
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size  4129197, 103671855 req, miss ratio 0.2937, byte miss ratio 0.2937
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size  8258394, 103671855 req, miss ratio 0.2393, byte miss ratio 0.2393
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size 16516789, 103671855 req, miss ratio 0.2013, byte miss ratio 0.2013
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size    20645, 103671855 req, miss ratio 0.7322, byte miss ratio 0.7322
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size    61937, 103671855 req, miss ratio 0.6394, byte miss ratio 0.6394
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size   206459, 103671855 req, miss ratio 0.5276, byte miss ratio 0.5276
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size   619379, 103671855 req, miss ratio 0.4153, byte miss ratio 0.4153
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size  2064598, 103671855 req, miss ratio 0.3340, byte miss ratio 0.3340
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size  4129197, 103671855 req, miss ratio 0.2896, byte miss ratio 0.2896
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size  8258394, 103671855 req, miss ratio 0.2360, byte miss ratio 0.2360
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size 16516789, 103671855 req, miss ratio 0.2013, byte miss ratio 0.2013
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size    20645, 103671855 req, miss ratio 0.7394, byte miss ratio 0.7394
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size    61937, 103671855 req, miss ratio 0.6467, byte miss ratio 0.6467
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size   206459, 103671855 req, miss ratio 0.5368, byte miss ratio 0.5368
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size   619379, 103671855 req, miss ratio 0.4216, byte miss ratio 0.4216
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size  2064598, 103671855 req, miss ratio 0.3385, byte miss ratio 0.3385
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size  4129197, 103671855 req, miss ratio 0.2941, byte miss ratio 0.2941
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size  8258394, 103671855 req, miss ratio 0.2393, byte miss ratio 0.2393
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size 16516789, 103671855 req, miss ratio 0.2013, byte miss ratio 0.2013
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size    20645, 103671855 req, miss ratio 0.7298, byte miss ratio 0.7298
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size    61937, 103671855 req, miss ratio 0.6363, byte miss ratio 0.6363
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size   206459, 103671855 req, miss ratio 0.5219, byte miss ratio 0.5219
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size   619379, 103671855 req, miss ratio 0.4119, byte miss ratio 0.4119
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size  2064598, 103671855 req, miss ratio 0.3302, byte miss ratio 0.3302
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size  4129197, 103671855 req, miss ratio 0.2867, byte miss ratio 0.2867
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size  8258394, 103671855 req, miss ratio 0.2346, byte miss ratio 0.2346
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size 16516789, 103671855 req, miss ratio 0.2013, byte miss ratio 0.2013
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size    20645, 103671855 req, miss ratio 0.7519, byte miss ratio 0.7519
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size    61937, 103671855 req, miss ratio 0.6590, byte miss ratio 0.6590
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size   206459, 103671855 req, miss ratio 0.5502, byte miss ratio 0.5502
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size   619379, 103671855 req, miss ratio 0.4335, byte miss ratio 0.4335
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size  2064598, 103671855 req, miss ratio 0.3458, byte miss ratio 0.3458
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size  4129197, 103671855 req, miss ratio 0.3017, byte miss ratio 0.3017
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size  8258394, 103671855 req, miss ratio 0.2458, byte miss ratio 0.2458
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size 16516789, 103671855 req, miss ratio 0.2025, byte miss ratio 0.2025
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size    20645, 103671855 req, miss ratio 0.7368, byte miss ratio 0.7368
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size    61937, 103671855 req, miss ratio 0.6440, byte miss ratio 0.6440
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size   206459, 103671855 req, miss ratio 0.5336, byte miss ratio 0.5336
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size   619379, 103671855 req, miss ratio 0.4193, byte miss ratio 0.4193
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size  2064598, 103671855 req, miss ratio 0.3369, byte miss ratio 0.3369
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size  4129197, 103671855 req, miss ratio 0.2925, byte miss ratio 0.2925
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size  8258394, 103671855 req, miss ratio 0.2380, byte miss ratio 0.2380
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size 16516789, 103671855 req, miss ratio 0.2013, byte miss ratio 0.2013
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size    20645, 103671855 req, miss ratio 0.7345, byte miss ratio 0.7345
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size    61937, 103671855 req, miss ratio 0.6415, byte miss ratio 0.6415
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size   206459, 103671855 req, miss ratio 0.5306, byte miss ratio 0.5306
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size   619379, 103671855 req, miss ratio 0.4172, byte miss ratio 0.4172
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size  2064598, 103671855 req, miss ratio 0.3354, byte miss ratio 0.3354
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size  4129197, 103671855 req, miss ratio 0.2910, byte miss ratio 0.2910
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size  8258394, 103671855 req, miss ratio 0.2367, byte miss ratio 0.2367
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size 16516789, 103671855 req, miss ratio 0.2013, byte miss ratio 0.2013
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size    20645, 103671855 req, miss ratio 0.7267, byte miss ratio 0.7267
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size    61937, 103671855 req, miss ratio 0.6362, byte miss ratio 0.6362
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size   206459, 103671855 req, miss ratio 0.5220, byte miss ratio 0.5220
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size   619379, 103671855 req, miss ratio 0.4124, byte miss ratio 0.4124
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size  2064598, 103671855 req, miss ratio 0.3318, byte miss ratio 0.3318
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size  4129197, 103671855 req, miss ratio 0.2874, byte miss ratio 0.2874
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size  8258394, 103671855 req, miss ratio 0.2346, byte miss ratio 0.2346
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size 16516789, 103671855 req, miss ratio 0.2013, byte miss ratio 0.2013
