sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.5000 cache size      136, 4080605 req, miss ratio 0.7052, byte miss ratio 0.7052
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.5000 cache size      409, 4080605 req, miss ratio 0.5807, byte miss ratio 0.5807
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.5000 cache size     1364, 4080605 req, miss ratio 0.4251, byte miss ratio 0.4251
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.5000 cache size     4092, 4080605 req, miss ratio 0.3039, byte miss ratio 0.3039
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.5000 cache size    13640, 4080605 req, miss ratio 0.1927, byte miss ratio 0.1927
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.5000 cache size    27280, 4080605 req, miss ratio 0.1304, byte miss ratio 0.1304
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.5000 cache size    54560, 4080605 req, miss ratio 0.0719, byte miss ratio 0.0719
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.5000 cache size   109121, 4080605 req, miss ratio 0.0383, byte miss ratio 0.0383
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.0000 cache size      136, 4080605 req, miss ratio 0.7113, byte miss ratio 0.7113
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.0000 cache size      409, 4080605 req, miss ratio 0.5766, byte miss ratio 0.5766
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.0000 cache size     1364, 4080605 req, miss ratio 0.4176, byte miss ratio 0.4176
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.0000 cache size     4092, 4080605 req, miss ratio 0.3083, byte miss ratio 0.3083
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.0000 cache size    13640, 4080605 req, miss ratio 0.2032, byte miss ratio 0.2032
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.0000 cache size    27280, 4080605 req, miss ratio 0.1463, byte miss ratio 0.1463
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.0000 cache size    54560, 4080605 req, miss ratio 0.0912, byte miss ratio 0.0912
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.0000 cache size   109121, 4080605 req, miss ratio 0.0406, byte miss ratio 0.0406
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-2.0000 cache size      136, 4080605 req, miss ratio 0.7005, byte miss ratio 0.7005
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-2.0000 cache size      409, 4080605 req, miss ratio 0.5689, byte miss ratio 0.5689
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-2.0000 cache size     1364, 4080605 req, miss ratio 0.4104, byte miss ratio 0.4104
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-2.0000 cache size     4092, 4080605 req, miss ratio 0.3006, byte miss ratio 0.3006
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-2.0000 cache size    13640, 4080605 req, miss ratio 0.1956, byte miss ratio 0.1956
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-2.0000 cache size    27280, 4080605 req, miss ratio 0.1371, byte miss ratio 0.1371
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-2.0000 cache size    54560, 4080605 req, miss ratio 0.0792, byte miss ratio 0.0792
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-2.0000 cache size   109121, 4080605 req, miss ratio 0.0384, byte miss ratio 0.0384
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.4000 cache size      136, 4080605 req, miss ratio 0.7121, byte miss ratio 0.7121
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.4000 cache size      409, 4080605 req, miss ratio 0.5797, byte miss ratio 0.5797
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.4000 cache size     1364, 4080605 req, miss ratio 0.4196, byte miss ratio 0.4196
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.4000 cache size     4092, 4080605 req, miss ratio 0.3097, byte miss ratio 0.3097
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.4000 cache size    13640, 4080605 req, miss ratio 0.2032, byte miss ratio 0.2032
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.4000 cache size    27280, 4080605 req, miss ratio 0.1456, byte miss ratio 0.1456
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.4000 cache size    54560, 4080605 req, miss ratio 0.0898, byte miss ratio 0.0898
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.4000 cache size   109121, 4080605 req, miss ratio 0.0400, byte miss ratio 0.0400
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.4000 cache size      136, 4080605 req, miss ratio 0.6977, byte miss ratio 0.6977
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.4000 cache size      409, 4080605 req, miss ratio 0.5795, byte miss ratio 0.5795
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.4000 cache size     1364, 4080605 req, miss ratio 0.4425, byte miss ratio 0.4425
