prn_0.IQI.bin S3FIFO-0.8500-0.9000 cache size     7113, 5585886 req, miss ratio 0.3291, byte miss ratio 0.3291
prn_0.IQI.bin S3FIFO-0.8500-0.9000 cache size    21341, 5585886 req, miss ratio 0.3004, byte miss ratio 0.3004
prn_0.IQI.bin S3FIFO-0.8500-0.9000 cache size    71138, 5585886 req, miss ratio 0.2334, byte miss ratio 0.2334
prn_0.IQI.bin S3FIFO-0.8500-0.9000 cache size   142277, 5585886 req, miss ratio 0.1918, byte miss ratio 0.1918
prn_0.IQI.bin S3FIFO-0.8500-0.9000 cache size   284554, 5585886 req, miss ratio 0.1516, byte miss ratio 0.1516
prn_0.IQI.bin S3FIFO-0.8500-0.9000 cache size   569108, 5585886 req, miss ratio 0.1359, byte miss ratio 0.1359
prn_0.IQI.bin S3FIFO-0.6500-0.9000 cache size      711, 5585886 req, miss ratio 0.3781, byte miss ratio 0.3781
prn_0.IQI.bin S3FIFO-0.6500-0.9000 cache size     2134, 5585886 req, miss ratio 0.3464, byte miss ratio 0.3464
prn_0.IQI.bin S3FIFO-0.6500-0.9000 cache size     7113, 5585886 req, miss ratio 0.3242, byte miss ratio 0.3242
prn_0.IQI.bin S3FIFO-0.6500-0.9000 cache size    21341, 5585886 req, miss ratio 0.2950, byte miss ratio 0.2950
prn_0.IQI.bin S3FIFO-0.6500-0.9000 cache size    71138, 5585886 req, miss ratio 0.2278, byte miss ratio 0.2278
prn_0.IQI.bin S3FIFO-0.6500-0.9000 cache size   142277, 5585886 req, miss ratio 0.1876, byte miss ratio 0.1876
prn_0.IQI.bin S3FIFO-0.6500-0.9000 cache size   284554, 5585886 req, miss ratio 0.1431, byte miss ratio 0.1431
prn_0.IQI.bin S3FIFO-0.6500-0.9000 cache size   569108, 5585886 req, miss ratio 0.1345, byte miss ratio 0.1345
prn_0.IQI.bin S3FIFO-0.1500-0.9000 cache size      711, 5585886 req, miss ratio 0.3750, byte miss ratio 0.3750
prn_0.IQI.bin S3FIFO-0.1500-0.9000 cache size     2134, 5585886 req, miss ratio 0.3436, byte miss ratio 0.3436
prn_0.IQI.bin S3FIFO-0.1500-0.9000 cache size     7113, 5585886 req, miss ratio 0.3153, byte miss ratio 0.3153
prn_0.IQI.bin S3FIFO-0.1500-0.9000 cache size    21341, 5585886 req, miss ratio 0.2839, byte miss ratio 0.2839
prn_0.IQI.bin S3FIFO-0.1500-0.9000 cache size    71138, 5585886 req, miss ratio 0.2126, byte miss ratio 0.2126
prn_0.IQI.bin S3FIFO-0.1500-0.9000 cache size   142277, 5585886 req, miss ratio 0.1738, byte miss ratio 0.1738
prn_0.IQI.bin S3FIFO-0.1500-0.9000 cache size   284554, 5585886 req, miss ratio 0.1387, byte miss ratio 0.1387
prn_0.IQI.bin S3FIFO-0.1500-0.9000 cache size   569108, 5585886 req, miss ratio 0.1287, byte miss ratio 0.1287
