cdn1_colo28.ns241 S3FIFO-0.2000-0.9000 cache size     1398, 32126732 req, miss ratio 0.6732, byte miss ratio 0.6732
cdn1_colo28.ns241 S3FIFO-0.2000-0.9000 cache size     4196, 32126732 req, miss ratio 0.4520, byte miss ratio 0.4520
cdn1_colo28.ns241 S3FIFO-0.2000-0.9000 cache size    13987, 32126732 req, miss ratio 0.2549, byte miss ratio 0.2549
cdn1_colo28.ns241 S3FIFO-0.2000-0.9000 cache size    41961, 32126732 req, miss ratio 0.1613, byte miss ratio 0.1613
cdn1_colo28.ns241 S3FIFO-0.2000-0.9000 cache size   139870, 32126732 req, miss ratio 0.0950, byte miss ratio 0.0950
cdn1_colo28.ns241 S3FIFO-0.2000-0.9000 cache size   279740, 32126732 req, miss ratio 0.0692, byte miss ratio 0.0692
cdn1_colo28.ns241 S3FIFO-0.2000-0.9000 cache size   559480, 32126732 req, miss ratio 0.0523, byte miss ratio 0.0523
cdn1_colo28.ns241 S3FIFO-0.2000-0.9000 cache size  1118960, 32126732 req, miss ratio 0.0442, byte miss ratio 0.0442
cdn1_colo28.ns241 S3FIFO-0.0500-1.9000 cache size     1398, 32126732 req, miss ratio 0.6657, byte miss ratio 0.6657
cdn1_colo28.ns241 S3FIFO-0.0500-1.9000 cache size     4196, 32126732 req, miss ratio 0.4431, byte miss ratio 0.4431
cdn1_colo28.ns241 S3FIFO-0.0500-1.9000 cache size    13987, 32126732 req, miss ratio 0.2555, byte miss ratio 0.2555
cdn1_colo28.ns241 S3FIFO-0.0500-1.9000 cache size    41961, 32126732 req, miss ratio 0.1650, byte miss ratio 0.1650
cdn1_colo28.ns241 S3FIFO-0.0500-1.9000 cache size   139870, 32126732 req, miss ratio 0.0951, byte miss ratio 0.0951
cdn1_colo28.ns241 S3FIFO-0.0500-1.9000 cache size   279740, 32126732 req, miss ratio 0.0688, byte miss ratio 0.0688
cdn1_colo28.ns241 S3FIFO-0.0500-1.9000 cache size   559480, 32126732 req, miss ratio 0.0523, byte miss ratio 0.0523
cdn1_colo28.ns241 S3FIFO-0.0500-1.9000 cache size  1118960, 32126732 req, miss ratio 0.0442, byte miss ratio 0.0442
cdn1_colo28.ns241 S3FIFO-0.4500-0.9000 cache size     1398, 32126732 req, miss ratio 0.7096, byte miss ratio 0.7096
cdn1_colo28.ns241 S3FIFO-0.4500-0.9000 cache size     4196, 32126732 req, miss ratio 0.4921, byte miss ratio 0.4921
cdn1_colo28.ns241 S3FIFO-0.4500-0.9000 cache size    13987, 32126732 req, miss ratio 0.2702, byte miss ratio 0.2702
cdn1_colo28.ns241 S3FIFO-0.4500-0.9000 cache size    41961, 32126732 req, miss ratio 0.1649, byte miss ratio 0.1649
cdn1_colo28.ns241 S3FIFO-0.4500-0.9000 cache size   139870, 32126732 req, miss ratio 0.1013, byte miss ratio 0.1013
cdn1_colo28.ns241 S3FIFO-0.4500-0.9000 cache size   279740, 32126732 req, miss ratio 0.0734, byte miss ratio 0.0734
cdn1_colo28.ns241 S3FIFO-0.4500-0.9000 cache size   559480, 32126732 req, miss ratio 0.0537, byte miss ratio 0.0537
cdn1_colo28.ns241 S3FIFO-0.4500-0.9000 cache size  1118960, 32126732 req, miss ratio 0.0442, byte miss ratio 0.0442
cdn1_colo28.ns241 S3FIFO-0.9500-1.9000 cache size     1398, 32126732 req, miss ratio 0.8009, byte miss ratio 0.8009
cdn1_colo28.ns241 S3FIFO-0.9500-1.9000 cache size     4196, 32126732 req, miss ratio 0.5949, byte miss ratio 0.5949
cdn1_colo28.ns241 S3FIFO-0.9500-1.9000 cache size    13987, 32126732 req, miss ratio 0.3427, byte miss ratio 0.3427
cdn1_colo28.ns241 S3FIFO-0.9500-1.9000 cache size    41961, 32126732 req, miss ratio 0.2007, byte miss ratio 0.2007
cdn1_colo28.ns241 S3FIFO-0.9500-1.9000 cache size   139870, 32126732 req, miss ratio 0.1222, byte miss ratio 0.1222
cdn1_colo28.ns241 S3FIFO-0.9500-1.9000 cache size   279740, 32126732 req, miss ratio 0.0889, byte miss ratio 0.0889
cdn1_colo28.ns241 S3FIFO-0.9500-1.9000 cache size   559480, 32126732 req, miss ratio 0.0628, byte miss ratio 0.0628
cdn1_colo28.ns241 S3FIFO-0.9500-1.9000 cache size  1118960, 32126732 req, miss ratio 0.0469, byte miss ratio 0.0469
cdn1_colo28.ns241 S3FIFO-0.5000-1.9000 cache size     1398, 32126732 req, miss ratio 0.7289, byte miss ratio 0.7289
cdn1_colo28.ns241 S3FIFO-0.5000-1.9000 cache size     4196, 32126732 req, miss ratio 0.5094, byte miss ratio 0.5094
cdn1_colo28.ns241 S3FIFO-0.5000-1.9000 cache size    13987, 32126732 req, miss ratio 0.2767, byte miss ratio 0.2767
cdn1_colo28.ns241 S3FIFO-0.5000-1.9000 cache size    41961, 32126732 req, miss ratio 0.1673, byte miss ratio 0.1673
cdn1_colo28.ns241 S3FIFO-0.5000-1.9000 cache size   139870, 32126732 req, miss ratio 0.1036, byte miss ratio 0.1036
cdn1_colo28.ns241 S3FIFO-0.5000-1.9000 cache size   279740, 32126732 req, miss ratio 0.0747, byte miss ratio 0.0747
cdn1_colo28.ns241 S3FIFO-0.5000-1.9000 cache size   559480, 32126732 req, miss ratio 0.0542, byte miss ratio 0.0542
cdn1_colo28.ns241 S3FIFO-0.5000-1.9000 cache size  1118960, 32126732 req, miss ratio 0.0442, byte miss ratio 0.0442
cdn1_colo28.ns241 S3FIFO-0.9000-1.9000 cache size     1398, 32126732 req, miss ratio 0.7943, byte miss ratio 0.7943
cdn1_colo28.ns241 S3FIFO-0.9000-1.9000 cache size     4196, 32126732 req, miss ratio 0.5867, byte miss ratio 0.5867
cdn1_colo28.ns241 S3FIFO-0.9000-1.9000 cache size    13987, 32126732 req, miss ratio 0.3335, byte miss ratio 0.3335
cdn1_colo28.ns241 S3FIFO-0.9000-1.9000 cache size    41961, 32126732 req, miss ratio 0.1943, byte miss ratio 0.1943
cdn1_colo28.ns241 S3FIFO-0.9000-1.9000 cache size   139870, 32126732 req, miss ratio 0.1190, byte miss ratio 0.1190
cdn1_colo28.ns241 S3FIFO-0.9000-1.9000 cache size   279740, 32126732 req, miss ratio 0.0868, byte miss ratio 0.0868
cdn1_colo28.ns241 S3FIFO-0.9000-1.9000 cache size   559480, 32126732 req, miss ratio 0.0613, byte miss ratio 0.0613
cdn1_colo28.ns241 S3FIFO-0.9000-1.9000 cache size  1118960, 32126732 req, miss ratio 0.0460, byte miss ratio 0.0460
cdn1_colo28.ns241 S3FIFO-0.3000-1.9000 cache size     1398, 32126732 req, miss ratio 0.6980, byte miss ratio 0.6980
cdn1_colo28.ns241 S3FIFO-0.3000-1.9000 cache size     4196, 32126732 req, miss ratio 0.4752, byte miss ratio 0.4752
cdn1_colo28.ns241 S3FIFO-0.3000-1.9000 cache size    13987, 32126732 req, miss ratio 0.2612, byte miss ratio 0.2612
cdn1_colo28.ns241 S3FIFO-0.3000-1.9000 cache size    41961, 32126732 req, miss ratio 0.1622, byte miss ratio 0.1622
