tencentBlock.ns21914 S3FIFO-0.5000-1.9000 cache size      387, 1247611 req, miss ratio 0.1550, byte miss ratio 0.1550
tencentBlock.ns21914 S3FIFO-0.5000-1.9000 cache size     1162, 1247611 req, miss ratio 0.1398, byte miss ratio 0.1398
tencentBlock.ns21914 S3FIFO-0.5000-1.9000 cache size     3875, 1247611 req, miss ratio 0.1238, byte miss ratio 0.1238
tencentBlock.ns21914 S3FIFO-0.5000-1.9000 cache size     7750, 1247611 req, miss ratio 0.1154, byte miss ratio 0.1154
tencentBlock.ns21914 S3FIFO-0.5000-1.9000 cache size    15501, 1247611 req, miss ratio 0.0701, byte miss ratio 0.0701
tencentBlock.ns21914 S3FIFO-0.5000-1.9000 cache size    31003, 1247611 req, miss ratio 0.0317, byte miss ratio 0.0317
tencentBlock.ns21914 S3FIFO-0.4500-0.9000 cache size       38, 1247611 req, miss ratio 0.3769, byte miss ratio 0.3769
tencentBlock.ns21914 S3FIFO-0.4500-0.9000 cache size      116, 1247611 req, miss ratio 0.1718, byte miss ratio 0.1718
tencentBlock.ns21914 S3FIFO-0.4500-0.9000 cache size      387, 1247611 req, miss ratio 0.1529, byte miss ratio 0.1529
tencentBlock.ns21914 S3FIFO-0.4500-0.9000 cache size     1162, 1247611 req, miss ratio 0.1386, byte miss ratio 0.1386
tencentBlock.ns21914 S3FIFO-0.4500-0.9000 cache size     3875, 1247611 req, miss ratio 0.1229, byte miss ratio 0.1229
tencentBlock.ns21914 S3FIFO-0.4500-0.9000 cache size     7750, 1247611 req, miss ratio 0.1161, byte miss ratio 0.1161
tencentBlock.ns21914 S3FIFO-0.4500-0.9000 cache size    15501, 1247611 req, miss ratio 0.0705, byte miss ratio 0.0705
tencentBlock.ns21914 S3FIFO-0.4500-0.9000 cache size    31003, 1247611 req, miss ratio 0.0317, byte miss ratio 0.0317
tencentBlock.ns21914 S3FIFO-0.2000-1.9000 cache size       38, 1247611 req, miss ratio 0.3448, byte miss ratio 0.3448
tencentBlock.ns21914 S3FIFO-0.2000-1.9000 cache size      116, 1247611 req, miss ratio 0.1728, byte miss ratio 0.1728
tencentBlock.ns21914 S3FIFO-0.2000-1.9000 cache size      387, 1247611 req, miss ratio 0.1496, byte miss ratio 0.1496
tencentBlock.ns21914 S3FIFO-0.2000-1.9000 cache size     1162, 1247611 req, miss ratio 0.1320, byte miss ratio 0.1320
tencentBlock.ns21914 S3FIFO-0.2000-1.9000 cache size     3875, 1247611 req, miss ratio 0.1220, byte miss ratio 0.1220
tencentBlock.ns21914 S3FIFO-0.2000-1.9000 cache size     7750, 1247611 req, miss ratio 0.1025, byte miss ratio 0.1025
tencentBlock.ns21914 S3FIFO-0.2000-1.9000 cache size    15501, 1247611 req, miss ratio 0.0682, byte miss ratio 0.0682
tencentBlock.ns21914 S3FIFO-0.2000-1.9000 cache size    31003, 1247611 req, miss ratio 0.0317, byte miss ratio 0.0317
tencentBlock.ns21914 S3FIFO-0.5500-1.9000 cache size       38, 1247611 req, miss ratio 0.3834, byte miss ratio 0.3834
tencentBlock.ns21914 S3FIFO-0.5500-1.9000 cache size      116, 1247611 req, miss ratio 0.1741, byte miss ratio 0.1741
tencentBlock.ns21914 S3FIFO-0.5500-1.9000 cache size      387, 1247611 req, miss ratio 0.1565, byte miss ratio 0.1565
tencentBlock.ns21914 S3FIFO-0.5500-1.9000 cache size     1162, 1247611 req, miss ratio 0.1409, byte miss ratio 0.1409
tencentBlock.ns21914 S3FIFO-0.5500-1.9000 cache size     3875, 1247611 req, miss ratio 0.1242, byte miss ratio 0.1242
tencentBlock.ns21914 S3FIFO-0.5500-1.9000 cache size     7750, 1247611 req, miss ratio 0.1103, byte miss ratio 0.1103
tencentBlock.ns21914 S3FIFO-0.5500-1.9000 cache size    15501, 1247611 req, miss ratio 0.0704, byte miss ratio 0.0704
tencentBlock.ns21914 S3FIFO-0.5500-1.9000 cache size    31003, 1247611 req, miss ratio 0.0319, byte miss ratio 0.0319
tencentBlock.ns21914 S3FIFO-0.0100-0.9000 cache size       38, 1247611 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns21914 S3FIFO-0.0100-0.9000 cache size      116, 1247611 req, miss ratio 0.2063, byte miss ratio 0.2063
tencentBlock.ns21914 S3FIFO-0.0100-0.9000 cache size      387, 1247611 req, miss ratio 0.1710, byte miss ratio 0.1710
tencentBlock.ns21914 S3FIFO-0.0100-0.9000 cache size     1162, 1247611 req, miss ratio 0.1333, byte miss ratio 0.1333
tencentBlock.ns21914 S3FIFO-0.0100-0.9000 cache size     3875, 1247611 req, miss ratio 0.1205, byte miss ratio 0.1205
tencentBlock.ns21914 S3FIFO-0.0100-0.9000 cache size     7750, 1247611 req, miss ratio 0.1007, byte miss ratio 0.1007
tencentBlock.ns21914 S3FIFO-0.0100-0.9000 cache size    15501, 1247611 req, miss ratio 0.0654, byte miss ratio 0.0654
tencentBlock.ns21914 S3FIFO-0.0100-0.9000 cache size    31003, 1247611 req, miss ratio 0.0318, byte miss ratio 0.0318
tencentBlock.ns21914 S3FIFO-0.7000-0.9000 cache size       38, 1247611 req, miss ratio 0.3980, byte miss ratio 0.3980
tencentBlock.ns21914 S3FIFO-0.7000-0.9000 cache size      116, 1247611 req, miss ratio 0.1840, byte miss ratio 0.1840
tencentBlock.ns21914 S3FIFO-0.7000-0.9000 cache size      387, 1247611 req, miss ratio 0.1623, byte miss ratio 0.1623
tencentBlock.ns21914 S3FIFO-0.7000-0.9000 cache size     1162, 1247611 req, miss ratio 0.1431, byte miss ratio 0.1431
tencentBlock.ns21914 S3FIFO-0.7000-0.9000 cache size     3875, 1247611 req, miss ratio 0.1263, byte miss ratio 0.1263
tencentBlock.ns21914 S3FIFO-0.7000-0.9000 cache size     7750, 1247611 req, miss ratio 0.1087, byte miss ratio 0.1087
tencentBlock.ns21914 S3FIFO-0.7000-0.9000 cache size    15501, 1247611 req, miss ratio 0.0736, byte miss ratio 0.0736
tencentBlock.ns21914 S3FIFO-0.7000-0.9000 cache size    31003, 1247611 req, miss ratio 0.0320, byte miss ratio 0.0320
tencentBlock.ns21914 S3FIFO-0.2500-0.9000 cache size       38, 1247611 req, miss ratio 0.3474, byte miss ratio 0.3474
tencentBlock.ns21914 S3FIFO-0.2500-0.9000 cache size      116, 1247611 req, miss ratio 0.1725, byte miss ratio 0.1725
tencentBlock.ns21914 S3FIFO-0.2500-0.9000 cache size      387, 1247611 req, miss ratio 0.1501, byte miss ratio 0.1501
tencentBlock.ns21914 S3FIFO-0.2500-0.9000 cache size     1162, 1247611 req, miss ratio 0.1341, byte miss ratio 0.1341
tencentBlock.ns21914 S3FIFO-0.2500-0.9000 cache size     3875, 1247611 req, miss ratio 0.1206, byte miss ratio 0.1206
tencentBlock.ns21914 S3FIFO-0.2500-0.9000 cache size     7750, 1247611 req, miss ratio 0.1034, byte miss ratio 0.1034
tencentBlock.ns21914 S3FIFO-0.2500-0.9000 cache size    15501, 1247611 req, miss ratio 0.0688, byte miss ratio 0.0688
tencentBlock.ns21914 S3FIFO-0.2500-0.9000 cache size    31003, 1247611 req, miss ratio 0.0317, byte miss ratio 0.0317
tencentBlock.ns21914 S3FIFO-0.5500-0.9000 cache size       38, 1247611 req, miss ratio 0.3835, byte miss ratio 0.3835
tencentBlock.ns21914 S3FIFO-0.5500-0.9000 cache size      116, 1247611 req, miss ratio 0.1740, byte miss ratio 0.1740
tencentBlock.ns21914 S3FIFO-0.5500-0.9000 cache size      387, 1247611 req, miss ratio 0.1558, byte miss ratio 0.1558
tencentBlock.ns21914 S3FIFO-0.5500-0.9000 cache size     1162, 1247611 req, miss ratio 0.1408, byte miss ratio 0.1408
tencentBlock.ns21914 S3FIFO-0.5500-0.9000 cache size     3875, 1247611 req, miss ratio 0.1236, byte miss ratio 0.1236
tencentBlock.ns21914 S3FIFO-0.5500-0.9000 cache size     7750, 1247611 req, miss ratio 0.1129, byte miss ratio 0.1129
tencentBlock.ns21914 S3FIFO-0.5500-0.9000 cache size    15501, 1247611 req, miss ratio 0.0704, byte miss ratio 0.0704
tencentBlock.ns21914 S3FIFO-0.5500-0.9000 cache size    31003, 1247611 req, miss ratio 0.0319, byte miss ratio 0.0319
tencentBlock.ns21914 S3FIFO-0.3500-0.9000 cache size       38, 1247611 req, miss ratio 0.3586, byte miss ratio 0.3586
tencentBlock.ns21914 S3FIFO-0.3500-0.9000 cache size      116, 1247611 req, miss ratio 0.1718, byte miss ratio 0.1718
tencentBlock.ns21914 S3FIFO-0.3500-0.9000 cache size      387, 1247611 req, miss ratio 0.1513, byte miss ratio 0.1513
tencentBlock.ns21914 S3FIFO-0.3500-0.9000 cache size     1162, 1247611 req, miss ratio 0.1363, byte miss ratio 0.1363
tencentBlock.ns21914 S3FIFO-0.3500-0.9000 cache size     3875, 1247611 req, miss ratio 0.1212, byte miss ratio 0.1212
tencentBlock.ns21914 S3FIFO-0.3500-0.9000 cache size     7750, 1247611 req, miss ratio 0.1052, byte miss ratio 0.1052
tencentBlock.ns21914 S3FIFO-0.3500-0.9000 cache size    15501, 1247611 req, miss ratio 0.0691, byte miss ratio 0.0691
tencentBlock.ns21914 S3FIFO-0.3500-0.9000 cache size    31003, 1247611 req, miss ratio 0.0317, byte miss ratio 0.0317
tencentBlock.ns21914 S3FIFO-0.0250-0.9000 cache size       38, 1247611 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns21914 S3FIFO-0.0250-0.9000 cache size      116, 1247611 req, miss ratio 0.2010, byte miss ratio 0.2010
