cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size  6621430, 182558107 req, miss ratio 0.0911, byte miss ratio 0.0911
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size 13242861, 182558107 req, miss ratio 0.0907, byte miss ratio 0.0907
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size    16553, 182558107 req, miss ratio 0.1418, byte miss ratio 0.1418
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size    49660, 182558107 req, miss ratio 0.1173, byte miss ratio 0.1173
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size   165535, 182558107 req, miss ratio 0.1043, byte miss ratio 0.1043
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size   496607, 182558107 req, miss ratio 0.0968, byte miss ratio 0.0968
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size  1655357, 182558107 req, miss ratio 0.0929, byte miss ratio 0.0929
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size  3310715, 182558107 req, miss ratio 0.0918, byte miss ratio 0.0918
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size  6621430, 182558107 req, miss ratio 0.0911, byte miss ratio 0.0911
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size 13242861, 182558107 req, miss ratio 0.0907, byte miss ratio 0.0907
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size    16553, 182558107 req, miss ratio 0.1675, byte miss ratio 0.1675
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size    49660, 182558107 req, miss ratio 0.1337, byte miss ratio 0.1337
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size   165535, 182558107 req, miss ratio 0.1180, byte miss ratio 0.1180
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size   496607, 182558107 req, miss ratio 0.0983, byte miss ratio 0.0983
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size  1655357, 182558107 req, miss ratio 0.0941, byte miss ratio 0.0941
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size  3310715, 182558107 req, miss ratio 0.0927, byte miss ratio 0.0927
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size  6621430, 182558107 req, miss ratio 0.0916, byte miss ratio 0.0916
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size 13242861, 182558107 req, miss ratio 0.0907, byte miss ratio 0.0907
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size    16553, 182558107 req, miss ratio 0.1410, byte miss ratio 0.1410
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size    49660, 182558107 req, miss ratio 0.1227, byte miss ratio 0.1227
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size   165535, 182558107 req, miss ratio 0.1076, byte miss ratio 0.1076
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size   496607, 182558107 req, miss ratio 0.0987, byte miss ratio 0.0987
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size  1655357, 182558107 req, miss ratio 0.0933, byte miss ratio 0.0933
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size  3310715, 182558107 req, miss ratio 0.0918, byte miss ratio 0.0918
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size  6621430, 182558107 req, miss ratio 0.0911, byte miss ratio 0.0911
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size 13242861, 182558107 req, miss ratio 0.0907, byte miss ratio 0.0907
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size    16553, 182558107 req, miss ratio 0.1499, byte miss ratio 0.1499
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size    49660, 182558107 req, miss ratio 0.1187, byte miss ratio 0.1187
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size   165535, 182558107 req, miss ratio 0.1048, byte miss ratio 0.1048
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size   496607, 182558107 req, miss ratio 0.0972, byte miss ratio 0.0972
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size  1655357, 182558107 req, miss ratio 0.0932, byte miss ratio 0.0932
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size  3310715, 182558107 req, miss ratio 0.0920, byte miss ratio 0.0920
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size  6621430, 182558107 req, miss ratio 0.0912, byte miss ratio 0.0912
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size 13242861, 182558107 req, miss ratio 0.0907, byte miss ratio 0.0907
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size    16553, 182558107 req, miss ratio 0.1420, byte miss ratio 0.1420
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size    49660, 182558107 req, miss ratio 0.1235, byte miss ratio 0.1235
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size   165535, 182558107 req, miss ratio 0.1082, byte miss ratio 0.1082
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size   496607, 182558107 req, miss ratio 0.0991, byte miss ratio 0.0991
