cdn1_allcolo.ns5367 S3FIFO-0.1500-0.9000 cache size      245, 1019593 req, miss ratio 0.0160, byte miss ratio 0.0160
cdn1_allcolo.ns5367 S3FIFO-0.1500-0.9000 cache size      818, 1019593 req, miss ratio 0.0117, byte miss ratio 0.0117
cdn1_allcolo.ns5367 S3FIFO-0.1500-0.9000 cache size     1637, 1019593 req, miss ratio 0.0097, byte miss ratio 0.0097
cdn1_allcolo.ns5367 S3FIFO-0.1500-0.9000 cache size     3274, 1019593 req, miss ratio 0.0086, byte miss ratio 0.0086
cdn1_allcolo.ns5367 S3FIFO-0.1500-0.9000 cache size     6548, 1019593 req, miss ratio 0.0081, byte miss ratio 0.0081
cdn1_allcolo.ns5367 S3FIFO-0.4000-1.9000 cache size        8, 1019593 req, miss ratio 0.0500, byte miss ratio 0.0500
cdn1_allcolo.ns5367 S3FIFO-0.4000-1.9000 cache size       24, 1019593 req, miss ratio 0.0359, byte miss ratio 0.0359
cdn1_allcolo.ns5367 S3FIFO-0.4000-1.9000 cache size       81, 1019593 req, miss ratio 0.0231, byte miss ratio 0.0231
cdn1_allcolo.ns5367 S3FIFO-0.4000-1.9000 cache size      245, 1019593 req, miss ratio 0.0167, byte miss ratio 0.0167
cdn1_allcolo.ns5367 S3FIFO-0.4000-1.9000 cache size      818, 1019593 req, miss ratio 0.0119, byte miss ratio 0.0119
cdn1_allcolo.ns5367 S3FIFO-0.4000-1.9000 cache size     1637, 1019593 req, miss ratio 0.0097, byte miss ratio 0.0097
cdn1_allcolo.ns5367 S3FIFO-0.4000-1.9000 cache size     3274, 1019593 req, miss ratio 0.0087, byte miss ratio 0.0087
cdn1_allcolo.ns5367 S3FIFO-0.4000-1.9000 cache size     6548, 1019593 req, miss ratio 0.0082, byte miss ratio 0.0082
cdn1_allcolo.ns5367 S3FIFO-0.0250-0.9000 cache size        8, 1019593 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns5367 S3FIFO-0.0250-0.9000 cache size       24, 1019593 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns5367 S3FIFO-0.0250-0.9000 cache size       81, 1019593 req, miss ratio 0.0217, byte miss ratio 0.0217
cdn1_allcolo.ns5367 S3FIFO-0.0250-0.9000 cache size      245, 1019593 req, miss ratio 0.0159, byte miss ratio 0.0159
cdn1_allcolo.ns5367 S3FIFO-0.0250-0.9000 cache size      818, 1019593 req, miss ratio 0.0116, byte miss ratio 0.0116
cdn1_allcolo.ns5367 S3FIFO-0.0250-0.9000 cache size     1637, 1019593 req, miss ratio 0.0097, byte miss ratio 0.0097
cdn1_allcolo.ns5367 S3FIFO-0.0250-0.9000 cache size     3274, 1019593 req, miss ratio 0.0089, byte miss ratio 0.0089
cdn1_allcolo.ns5367 S3FIFO-0.0250-0.9000 cache size     6548, 1019593 req, miss ratio 0.0081, byte miss ratio 0.0081
cdn1_allcolo.ns5367 S3FIFO-0.9500-1.9000 cache size        8, 1019593 req, miss ratio 0.0573, byte miss ratio 0.0573
cdn1_allcolo.ns5367 S3FIFO-0.9500-1.9000 cache size       24, 1019593 req, miss ratio 0.0405, byte miss ratio 0.0405
cdn1_allcolo.ns5367 S3FIFO-0.9500-1.9000 cache size       81, 1019593 req, miss ratio 0.0274, byte miss ratio 0.0274
