io_traces.ns58 S3FIFO-0.9900-1.9000 cache size 48996904, 382600000 req, miss ratio 0.1716, byte miss ratio 0.1716
io_traces.ns58 S3FIFO-0.2500-0.9000 cache size    61246, 382600000 req, miss ratio 0.6088, byte miss ratio 0.6088
io_traces.ns58 S3FIFO-0.2500-0.9000 cache size   183738, 382600000 req, miss ratio 0.5122, byte miss ratio 0.5122
io_traces.ns58 S3FIFO-0.2500-0.9000 cache size   612461, 382600000 req, miss ratio 0.4134, byte miss ratio 0.4134
io_traces.ns58 S3FIFO-0.2500-0.9000 cache size  1837383, 382600000 req, miss ratio 0.3556, byte miss ratio 0.3556
io_traces.ns58 S3FIFO-0.2500-0.9000 cache size  6124613, 382600000 req, miss ratio 0.2983, byte miss ratio 0.2983
io_traces.ns58 S3FIFO-0.2500-0.9000 cache size 12249226, 382600000 req, miss ratio 0.2553, byte miss ratio 0.2553
io_traces.ns58 S3FIFO-0.2500-0.9000 cache size 24498452, 382600000 req, miss ratio 0.2040, byte miss ratio 0.2040
io_traces.ns58 S3FIFO-0.2500-0.9000 cache size 48996904, 382600000 req, miss ratio 0.1657, byte miss ratio 0.1657
io_traces.ns58 S3FIFO-0.3500-0.9000 cache size    61246, 382600000 req, miss ratio 0.5946, byte miss ratio 0.5946
io_traces.ns58 S3FIFO-0.3500-0.9000 cache size   183738, 382600000 req, miss ratio 0.5158, byte miss ratio 0.5158
io_traces.ns58 S3FIFO-0.3500-0.9000 cache size   612461, 382600000 req, miss ratio 0.4197, byte miss ratio 0.4197
io_traces.ns58 S3FIFO-0.3500-0.9000 cache size  1837383, 382600000 req, miss ratio 0.3577, byte miss ratio 0.3577
io_traces.ns58 S3FIFO-0.3500-0.9000 cache size  6124613, 382600000 req, miss ratio 0.2993, byte miss ratio 0.2993
io_traces.ns58 S3FIFO-0.3500-0.9000 cache size 12249226, 382600000 req, miss ratio 0.2566, byte miss ratio 0.2566
io_traces.ns58 S3FIFO-0.3500-0.9000 cache size 24498452, 382600000 req, miss ratio 0.2031, byte miss ratio 0.2031
io_traces.ns58 S3FIFO-0.3500-0.9000 cache size 48996904, 382600000 req, miss ratio 0.1657, byte miss ratio 0.1657
io_traces.ns58 S3FIFO-0.0100-0.9000 cache size    61246, 382600000 req, miss ratio 0.7142, byte miss ratio 0.7142
io_traces.ns58 S3FIFO-0.0100-0.9000 cache size   183738, 382600000 req, miss ratio 0.6356, byte miss ratio 0.6356
io_traces.ns58 S3FIFO-0.0100-0.9000 cache size   612461, 382600000 req, miss ratio 0.4599, byte miss ratio 0.4599
io_traces.ns58 S3FIFO-0.0100-0.9000 cache size  1837383, 382600000 req, miss ratio 0.3583, byte miss ratio 0.3583
io_traces.ns58 S3FIFO-0.0100-0.9000 cache size  6124613, 382600000 req, miss ratio 0.2993, byte miss ratio 0.2993
io_traces.ns58 S3FIFO-0.0100-0.9000 cache size 12249226, 382600000 req, miss ratio 0.2566, byte miss ratio 0.2566
io_traces.ns58 S3FIFO-0.0100-0.9000 cache size 24498452, 382600000 req, miss ratio 0.2086, byte miss ratio 0.2086
io_traces.ns58 S3FIFO-0.0100-0.9000 cache size 48996904, 382600000 req, miss ratio 0.1657, byte miss ratio 0.1657
io_traces.ns58 S3FIFO-0.5500-1.9000 cache size    61246, 382600000 req, miss ratio 0.5826, byte miss ratio 0.5826
io_traces.ns58 S3FIFO-0.5500-1.9000 cache size   183738, 382600000 req, miss ratio 0.5338, byte miss ratio 0.5338
io_traces.ns58 S3FIFO-0.5500-1.9000 cache size   612461, 382600000 req, miss ratio 0.4483, byte miss ratio 0.4483
io_traces.ns58 S3FIFO-0.5500-1.9000 cache size  1837383, 382600000 req, miss ratio 0.3640, byte miss ratio 0.3640
io_traces.ns58 S3FIFO-0.5500-1.9000 cache size  6124613, 382600000 req, miss ratio 0.3024, byte miss ratio 0.3024
io_traces.ns58 S3FIFO-0.5500-1.9000 cache size 12249226, 382600000 req, miss ratio 0.2596, byte miss ratio 0.2596
io_traces.ns58 S3FIFO-0.5500-1.9000 cache size 24498452, 382600000 req, miss ratio 0.2030, byte miss ratio 0.2030
io_traces.ns58 S3FIFO-0.5500-1.9000 cache size 48996904, 382600000 req, miss ratio 0.1666, byte miss ratio 0.1666
io_traces.ns58 S3FIFO-0.0010-0.9000 cache size    61246, 382600000 req, miss ratio 0.7197, byte miss ratio 0.7197
io_traces.ns58 S3FIFO-0.0010-0.9000 cache size   183738, 382600000 req, miss ratio 0.6513, byte miss ratio 0.6513
io_traces.ns58 S3FIFO-0.0010-0.9000 cache size   612461, 382600000 req, miss ratio 0.5282, byte miss ratio 0.5282
io_traces.ns58 S3FIFO-0.0010-0.9000 cache size  1837383, 382600000 req, miss ratio 0.4383, byte miss ratio 0.4383
io_traces.ns58 S3FIFO-0.0010-0.9000 cache size  6124613, 382600000 req, miss ratio 0.3178, byte miss ratio 0.3178
io_traces.ns58 S3FIFO-0.0010-0.9000 cache size 12249226, 382600000 req, miss ratio 0.2585, byte miss ratio 0.2585
io_traces.ns58 S3FIFO-0.0010-0.9000 cache size 24498452, 382600000 req, miss ratio 0.2091, byte miss ratio 0.2091
io_traces.ns58 S3FIFO-0.0010-0.9000 cache size 48996904, 382600000 req, miss ratio 0.1657, byte miss ratio 0.1657
io_traces.ns58 S3FIFO-0.7500-1.9000 cache size    61246, 382600000 req, miss ratio 0.5828, byte miss ratio 0.5828
io_traces.ns58 S3FIFO-0.7500-1.9000 cache size   183738, 382600000 req, miss ratio 0.5463, byte miss ratio 0.5463
io_traces.ns58 S3FIFO-0.7500-1.9000 cache size   612461, 382600000 req, miss ratio 0.4677, byte miss ratio 0.4677
io_traces.ns58 S3FIFO-0.7500-1.9000 cache size  1837383, 382600000 req, miss ratio 0.3757, byte miss ratio 0.3757
io_traces.ns58 S3FIFO-0.7500-1.9000 cache size  6124613, 382600000 req, miss ratio 0.3093, byte miss ratio 0.3093
io_traces.ns58 S3FIFO-0.7500-1.9000 cache size 12249226, 382600000 req, miss ratio 0.2616, byte miss ratio 0.2616
io_traces.ns58 S3FIFO-0.7500-1.9000 cache size 24498452, 382600000 req, miss ratio 0.2056, byte miss ratio 0.2056
io_traces.ns58 S3FIFO-0.7500-1.9000 cache size 48996904, 382600000 req, miss ratio 0.1679, byte miss ratio 0.1679
io_traces.ns58 S3FIFO-0.9500-0.9000 cache size    61246, 382600000 req, miss ratio 0.5886, byte miss ratio 0.5886
io_traces.ns58 S3FIFO-0.9500-0.9000 cache size   183738, 382600000 req, miss ratio 0.5542, byte miss ratio 0.5542
io_traces.ns58 S3FIFO-0.9500-0.9000 cache size   612461, 382600000 req, miss ratio 0.4794, byte miss ratio 0.4794
io_traces.ns58 S3FIFO-0.9500-0.9000 cache size  1837383, 382600000 req, miss ratio 0.3993, byte miss ratio 0.3993
io_traces.ns58 S3FIFO-0.9500-0.9000 cache size  6124613, 382600000 req, miss ratio 0.3214, byte miss ratio 0.3214
io_traces.ns58 S3FIFO-0.9500-0.9000 cache size 12249226, 382600000 req, miss ratio 0.2694, byte miss ratio 0.2694
io_traces.ns58 S3FIFO-0.9500-0.9000 cache size 24498452, 382600000 req, miss ratio 0.2105, byte miss ratio 0.2105
io_traces.ns58 S3FIFO-0.9500-0.9000 cache size 48996904, 382600000 req, miss ratio 0.1707, byte miss ratio 0.1707
io_traces.ns58 S3FIFO-0.1500-1.9000 cache size    61246, 382600000 req, miss ratio 0.6295, byte miss ratio 0.6295
io_traces.ns58 S3FIFO-0.1500-1.9000 cache size   183738, 382600000 req, miss ratio 0.5143, byte miss ratio 0.5143
io_traces.ns58 S3FIFO-0.1500-1.9000 cache size   612461, 382600000 req, miss ratio 0.4091, byte miss ratio 0.4091
io_traces.ns58 S3FIFO-0.1500-1.9000 cache size  1837383, 382600000 req, miss ratio 0.3548, byte miss ratio 0.3548
io_traces.ns58 S3FIFO-0.1500-1.9000 cache size  6124613, 382600000 req, miss ratio 0.2981, byte miss ratio 0.2981
io_traces.ns58 S3FIFO-0.1500-1.9000 cache size 12249226, 382600000 req, miss ratio 0.2557, byte miss ratio 0.2557
io_traces.ns58 S3FIFO-0.1500-1.9000 cache size 24498452, 382600000 req, miss ratio 0.2054, byte miss ratio 0.2054
io_traces.ns58 S3FIFO-0.1500-1.9000 cache size 48996904, 382600000 req, miss ratio 0.1657, byte miss ratio 0.1657
io_traces.ns58 S3FIFO-0.0500-0.9000 cache size    61246, 382600000 req, miss ratio 0.6882, byte miss ratio 0.6882
io_traces.ns58 S3FIFO-0.0500-0.9000 cache size   183738, 382600000 req, miss ratio 0.5626, byte miss ratio 0.5626
io_traces.ns58 S3FIFO-0.0500-0.9000 cache size   612461, 382600000 req, miss ratio 0.4083, byte miss ratio 0.4083
io_traces.ns58 S3FIFO-0.0500-0.9000 cache size  1837383, 382600000 req, miss ratio 0.3537, byte miss ratio 0.3537
io_traces.ns58 S3FIFO-0.0500-0.9000 cache size  6124613, 382600000 req, miss ratio 0.2989, byte miss ratio 0.2989
io_traces.ns58 S3FIFO-0.0500-0.9000 cache size 12249226, 382600000 req, miss ratio 0.2555, byte miss ratio 0.2555
io_traces.ns58 S3FIFO-0.0500-0.9000 cache size 24498452, 382600000 req, miss ratio 0.2072, byte miss ratio 0.2072
io_traces.ns58 S3FIFO-0.0500-0.9000 cache size 48996904, 382600000 req, miss ratio 0.1657, byte miss ratio 0.1657
io_traces.ns58 S3FIFO-0.0050-1.9000 cache size    61246, 382600000 req, miss ratio 0.7109, byte miss ratio 0.7109
io_traces.ns58 S3FIFO-0.0050-1.9000 cache size   183738, 382600000 req, miss ratio 0.6400, byte miss ratio 0.6400
io_traces.ns58 S3FIFO-0.0050-1.9000 cache size   612461, 382600000 req, miss ratio 0.4858, byte miss ratio 0.4858
io_traces.ns58 S3FIFO-0.0050-1.9000 cache size  1837383, 382600000 req, miss ratio 0.3724, byte miss ratio 0.3724
io_traces.ns58 S3FIFO-0.0050-1.9000 cache size  6124613, 382600000 req, miss ratio 0.2996, byte miss ratio 0.2996
io_traces.ns58 S3FIFO-0.0050-1.9000 cache size 12249226, 382600000 req, miss ratio 0.2574, byte miss ratio 0.2574
io_traces.ns58 S3FIFO-0.0050-1.9000 cache size 24498452, 382600000 req, miss ratio 0.2089, byte miss ratio 0.2089
io_traces.ns58 S3FIFO-0.0050-1.9000 cache size 48996904, 382600000 req, miss ratio 0.1657, byte miss ratio 0.1657
io_traces.ns58 S3FIFO-0.0100-1.9000 cache size    61246, 382600000 req, miss ratio 0.7086, byte miss ratio 0.7086
io_traces.ns58 S3FIFO-0.0100-1.9000 cache size   183738, 382600000 req, miss ratio 0.6302, byte miss ratio 0.6302
io_traces.ns58 S3FIFO-0.0100-1.9000 cache size   612461, 382600000 req, miss ratio 0.4563, byte miss ratio 0.4563
io_traces.ns58 S3FIFO-0.0100-1.9000 cache size  1837383, 382600000 req, miss ratio 0.3565, byte miss ratio 0.3565
io_traces.ns58 S3FIFO-0.0100-1.9000 cache size  6124613, 382600000 req, miss ratio 0.2994, byte miss ratio 0.2994
io_traces.ns58 S3FIFO-0.0100-1.9000 cache size 12249226, 382600000 req, miss ratio 0.2573, byte miss ratio 0.2573
io_traces.ns58 S3FIFO-0.0100-1.9000 cache size 24498452, 382600000 req, miss ratio 0.2086, byte miss ratio 0.2086
io_traces.ns58 S3FIFO-0.0100-1.9000 cache size 48996904, 382600000 req, miss ratio 0.1657, byte miss ratio 0.1657
io_traces.ns58 S3FIFO-0.0500-1.9000 cache size    61246, 382600000 req, miss ratio 0.6819, byte miss ratio 0.6819
io_traces.ns58 S3FIFO-0.0500-1.9000 cache size   183738, 382600000 req, miss ratio 0.5574, byte miss ratio 0.5574
io_traces.ns58 S3FIFO-0.0500-1.9000 cache size   612461, 382600000 req, miss ratio 0.4078, byte miss ratio 0.4078
io_traces.ns58 S3FIFO-0.0500-1.9000 cache size  1837383, 382600000 req, miss ratio 0.3530, byte miss ratio 0.3530
io_traces.ns58 S3FIFO-0.0500-1.9000 cache size  6124613, 382600000 req, miss ratio 0.2990, byte miss ratio 0.2990
io_traces.ns58 S3FIFO-0.0500-1.9000 cache size 12249226, 382600000 req, miss ratio 0.2561, byte miss ratio 0.2561
io_traces.ns58 S3FIFO-0.0500-1.9000 cache size 24498452, 382600000 req, miss ratio 0.2072, byte miss ratio 0.2072
io_traces.ns58 S3FIFO-0.0500-1.9000 cache size 48996904, 382600000 req, miss ratio 0.1657, byte miss ratio 0.1657
io_traces.ns58 S3FIFO-0.8000-0.9000 cache size    61246, 382600000 req, miss ratio 0.5831, byte miss ratio 0.5831
io_traces.ns58 S3FIFO-0.8000-0.9000 cache size   183738, 382600000 req, miss ratio 0.5465, byte miss ratio 0.5465
io_traces.ns58 S3FIFO-0.8000-0.9000 cache size   612461, 382600000 req, miss ratio 0.4707, byte miss ratio 0.4707
io_traces.ns58 S3FIFO-0.8000-0.9000 cache size  1837383, 382600000 req, miss ratio 0.3787, byte miss ratio 0.3787
io_traces.ns58 S3FIFO-0.8000-0.9000 cache size  6124613, 382600000 req, miss ratio 0.3108, byte miss ratio 0.3108
io_traces.ns58 S3FIFO-0.8000-0.9000 cache size 12249226, 382600000 req, miss ratio 0.2633, byte miss ratio 0.2633
io_traces.ns58 S3FIFO-0.8000-0.9000 cache size 24498452, 382600000 req, miss ratio 0.2064, byte miss ratio 0.2064
io_traces.ns58 S3FIFO-0.8000-0.9000 cache size 48996904, 382600000 req, miss ratio 0.1684, byte miss ratio 0.1684
io_traces.ns58 S3FIFO-0.2500-1.9000 cache size    61246, 382600000 req, miss ratio 0.6046, byte miss ratio 0.6046
io_traces.ns58 S3FIFO-0.2500-1.9000 cache size   183738, 382600000 req, miss ratio 0.5139, byte miss ratio 0.5139
io_traces.ns58 S3FIFO-0.2500-1.9000 cache size   612461, 382600000 req, miss ratio 0.4139, byte miss ratio 0.4139
io_traces.ns58 S3FIFO-0.2500-1.9000 cache size  1837383, 382600000 req, miss ratio 0.3555, byte miss ratio 0.3555
io_traces.ns58 S3FIFO-0.2500-1.9000 cache size  6124613, 382600000 req, miss ratio 0.2989, byte miss ratio 0.2989
io_traces.ns58 S3FIFO-0.2500-1.9000 cache size 12249226, 382600000 req, miss ratio 0.2557, byte miss ratio 0.2557
io_traces.ns58 S3FIFO-0.2500-1.9000 cache size 24498452, 382600000 req, miss ratio 0.2040, byte miss ratio 0.2040
io_traces.ns58 S3FIFO-0.2500-1.9000 cache size 48996904, 382600000 req, miss ratio 0.1657, byte miss ratio 0.1657
io_traces.ns58 S3FIFO-0.0250-0.9000 cache size    61246, 382600000 req, miss ratio 0.7073, byte miss ratio 0.7073
io_traces.ns58 S3FIFO-0.0250-0.9000 cache size   183738, 382600000 req, miss ratio 0.5976, byte miss ratio 0.5976
io_traces.ns58 S3FIFO-0.0250-0.9000 cache size   612461, 382600000 req, miss ratio 0.4212, byte miss ratio 0.4212
io_traces.ns58 S3FIFO-0.0250-0.9000 cache size  1837383, 382600000 req, miss ratio 0.3540, byte miss ratio 0.3540
io_traces.ns58 S3FIFO-0.0250-0.9000 cache size  6124613, 382600000 req, miss ratio 0.2992, byte miss ratio 0.2992
io_traces.ns58 S3FIFO-0.0250-0.9000 cache size 12249226, 382600000 req, miss ratio 0.2563, byte miss ratio 0.2563
io_traces.ns58 S3FIFO-0.0250-0.9000 cache size 24498452, 382600000 req, miss ratio 0.2078, byte miss ratio 0.2078
io_traces.ns58 S3FIFO-0.0250-0.9000 cache size 48996904, 382600000 req, miss ratio 0.1657, byte miss ratio 0.1657
