tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.6000 cache size   202409, 468248714 req, miss ratio 0.1297, byte miss ratio 0.1297
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.6000 cache size   674698, 468248714 req, miss ratio 0.0737, byte miss ratio 0.0737
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.6000 cache size  1349396, 468248714 req, miss ratio 0.0481, byte miss ratio 0.0481
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.6000 cache size  2698792, 468248714 req, miss ratio 0.0269, byte miss ratio 0.0269
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.6000 cache size  5397585, 468248714 req, miss ratio 0.0149, byte miss ratio 0.0149
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.2000 cache size     6746, 468248714 req, miss ratio 0.4566, byte miss ratio 0.4566
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.2000 cache size    20240, 468248714 req, miss ratio 0.3318, byte miss ratio 0.3318
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.2000 cache size    67469, 468248714 req, miss ratio 0.2182, byte miss ratio 0.2182
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.2000 cache size   202409, 468248714 req, miss ratio 0.1396, byte miss ratio 0.1396
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.2000 cache size   674698, 468248714 req, miss ratio 0.0804, byte miss ratio 0.0804
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.2000 cache size  1349396, 468248714 req, miss ratio 0.0552, byte miss ratio 0.0552
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.2000 cache size  2698792, 468248714 req, miss ratio 0.0315, byte miss ratio 0.0315
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.2000 cache size  5397585, 468248714 req, miss ratio 0.0156, byte miss ratio 0.0156
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.7000 cache size     6746, 468248714 req, miss ratio 0.4500, byte miss ratio 0.4500
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.7000 cache size    20240, 468248714 req, miss ratio 0.3303, byte miss ratio 0.3303
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.7000 cache size    67469, 468248714 req, miss ratio 0.2146, byte miss ratio 0.2146
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.7000 cache size   202409, 468248714 req, miss ratio 0.1337, byte miss ratio 0.1337
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.7000 cache size   674698, 468248714 req, miss ratio 0.0759, byte miss ratio 0.0759
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.7000 cache size  1349396, 468248714 req, miss ratio 0.0487, byte miss ratio 0.0487
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.7000 cache size  2698792, 468248714 req, miss ratio 0.0250, byte miss ratio 0.0250
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.7000 cache size  5397585, 468248714 req, miss ratio 0.0149, byte miss ratio 0.0149
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.6000 cache size     6746, 468248714 req, miss ratio 0.4433, byte miss ratio 0.4433
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.6000 cache size    20240, 468248714 req, miss ratio 0.3188, byte miss ratio 0.3188
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.6000 cache size    67469, 468248714 req, miss ratio 0.2076, byte miss ratio 0.2076
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.6000 cache size   202409, 468248714 req, miss ratio 0.1316, byte miss ratio 0.1316
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.6000 cache size   674698, 468248714 req, miss ratio 0.0762, byte miss ratio 0.0762
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.6000 cache size  1349396, 468248714 req, miss ratio 0.0510, byte miss ratio 0.0510
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.6000 cache size  2698792, 468248714 req, miss ratio 0.0276, byte miss ratio 0.0276
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.6000 cache size  5397585, 468248714 req, miss ratio 0.0149, byte miss ratio 0.0149
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.4000 cache size     6746, 468248714 req, miss ratio 0.4957, byte miss ratio 0.4957
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.4000 cache size    20240, 468248714 req, miss ratio 0.3677, byte miss ratio 0.3677
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.4000 cache size    67469, 468248714 req, miss ratio 0.2452, byte miss ratio 0.2452
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.4000 cache size   202409, 468248714 req, miss ratio 0.1587, byte miss ratio 0.1587
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.4000 cache size   674698, 468248714 req, miss ratio 0.0918, byte miss ratio 0.0918
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.4000 cache size  1349396, 468248714 req, miss ratio 0.0636, byte miss ratio 0.0636
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.4000 cache size  2698792, 468248714 req, miss ratio 0.0350, byte miss ratio 0.0350
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.4000 cache size  5397585, 468248714 req, miss ratio 0.0177, byte miss ratio 0.0177
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.1000 cache size     6746, 468248714 req, miss ratio 0.5096, byte miss ratio 0.5096
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.1000 cache size    20240, 468248714 req, miss ratio 0.3790, byte miss ratio 0.3790
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.1000 cache size    67469, 468248714 req, miss ratio 0.2531, byte miss ratio 0.2531
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.1000 cache size   202409, 468248714 req, miss ratio 0.1639, byte miss ratio 0.1639
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.1000 cache size   674698, 468248714 req, miss ratio 0.0945, byte miss ratio 0.0945
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.1000 cache size  1349396, 468248714 req, miss ratio 0.0639, byte miss ratio 0.0639
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.1000 cache size  2698792, 468248714 req, miss ratio 0.0356, byte miss ratio 0.0356
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.1000 cache size  5397585, 468248714 req, miss ratio 0.0181, byte miss ratio 0.0181
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.2000 cache size     6746, 468248714 req, miss ratio 0.5196, byte miss ratio 0.5196
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.2000 cache size    20240, 468248714 req, miss ratio 0.3876, byte miss ratio 0.3876
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.2000 cache size    67469, 468248714 req, miss ratio 0.2594, byte miss ratio 0.2594
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.2000 cache size   202409, 468248714 req, miss ratio 0.1683, byte miss ratio 0.1683
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.2000 cache size   674698, 468248714 req, miss ratio 0.0969, byte miss ratio 0.0969
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.2000 cache size  1349396, 468248714 req, miss ratio 0.0652, byte miss ratio 0.0652
