w04.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size  3750676, 77764582 req, miss ratio 0.3876, byte miss ratio 0.3876
w04.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size  7501352, 77764582 req, miss ratio 0.2908, byte miss ratio 0.2908
w04.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size 15002704, 77764582 req, miss ratio 0.2427, byte miss ratio 0.2427
w04.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size    18753, 77764582 req, miss ratio 0.5818, byte miss ratio 0.5818
w04.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size    56260, 77764582 req, miss ratio 0.5294, byte miss ratio 0.5294
w04.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size   187533, 77764582 req, miss ratio 0.4836, byte miss ratio 0.4836
w04.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size   562601, 77764582 req, miss ratio 0.4529, byte miss ratio 0.4529
w04.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size  1875338, 77764582 req, miss ratio 0.4236, byte miss ratio 0.4236
w04.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size  3750676, 77764582 req, miss ratio 0.4042, byte miss ratio 0.4042
w04.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size  7501352, 77764582 req, miss ratio 0.3289, byte miss ratio 0.3289
w04.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size 15002704, 77764582 req, miss ratio 0.2563, byte miss ratio 0.2563
w04.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size    18753, 77764582 req, miss ratio 0.5705, byte miss ratio 0.5705
w04.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size    56260, 77764582 req, miss ratio 0.5143, byte miss ratio 0.5143
w04.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size   187533, 77764582 req, miss ratio 0.4743, byte miss ratio 0.4743
w04.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size   562601, 77764582 req, miss ratio 0.4393, byte miss ratio 0.4393
w04.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size  1875338, 77764582 req, miss ratio 0.4108, byte miss ratio 0.4108
w04.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size  3750676, 77764582 req, miss ratio 0.3903, byte miss ratio 0.3903
w04.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size  7501352, 77764582 req, miss ratio 0.3312, byte miss ratio 0.3312
w04.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size 15002704, 77764582 req, miss ratio 0.2527, byte miss ratio 0.2527
w04.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size    18753, 77764582 req, miss ratio 0.5794, byte miss ratio 0.5794
w04.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size    56260, 77764582 req, miss ratio 0.5259, byte miss ratio 0.5259
w04.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size   187533, 77764582 req, miss ratio 0.4811, byte miss ratio 0.4811
w04.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size   562601, 77764582 req, miss ratio 0.4512, byte miss ratio 0.4512
w04.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size  1875338, 77764582 req, miss ratio 0.4230, byte miss ratio 0.4230
w04.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size  3750676, 77764582 req, miss ratio 0.4034, byte miss ratio 0.4034
