cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size   497957, 210458880 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size  1659859, 210458880 req, miss ratio 0.0920, byte miss ratio 0.0920
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size  3319718, 210458880 req, miss ratio 0.0861, byte miss ratio 0.0861
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size  6639437, 210458880 req, miss ratio 0.0820, byte miss ratio 0.0820
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size 13278874, 210458880 req, miss ratio 0.0791, byte miss ratio 0.0791
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size    16598, 210458880 req, miss ratio 0.2388, byte miss ratio 0.2388
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size    49795, 210458880 req, miss ratio 0.1918, byte miss ratio 0.1918
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size   165985, 210458880 req, miss ratio 0.1497, byte miss ratio 0.1497
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size   497957, 210458880 req, miss ratio 0.1206, byte miss ratio 0.1206
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size  1659859, 210458880 req, miss ratio 0.0996, byte miss ratio 0.0996
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size  3319718, 210458880 req, miss ratio 0.0900, byte miss ratio 0.0900
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size  6639437, 210458880 req, miss ratio 0.0829, byte miss ratio 0.0829
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size 13278874, 210458880 req, miss ratio 0.0792, byte miss ratio 0.0792
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size    16598, 210458880 req, miss ratio 0.2436, byte miss ratio 0.2436
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size    49795, 210458880 req, miss ratio 0.1956, byte miss ratio 0.1956
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size   165985, 210458880 req, miss ratio 0.1530, byte miss ratio 0.1530
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size   497957, 210458880 req, miss ratio 0.1233, byte miss ratio 0.1233
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size  1659859, 210458880 req, miss ratio 0.1013, byte miss ratio 0.1013
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size  3319718, 210458880 req, miss ratio 0.0915, byte miss ratio 0.0915
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size  6639437, 210458880 req, miss ratio 0.0838, byte miss ratio 0.0838
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size 13278874, 210458880 req, miss ratio 0.0794, byte miss ratio 0.0794
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size    16598, 210458880 req, miss ratio 0.2107, byte miss ratio 0.2107
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size    49795, 210458880 req, miss ratio 0.1681, byte miss ratio 0.1681
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size   165985, 210458880 req, miss ratio 0.1336, byte miss ratio 0.1336
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size   497957, 210458880 req, miss ratio 0.1093, byte miss ratio 0.1093
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size  1659859, 210458880 req, miss ratio 0.0907, byte miss ratio 0.0907
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size  3319718, 210458880 req, miss ratio 0.0847, byte miss ratio 0.0847
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size  6639437, 210458880 req, miss ratio 0.0813, byte miss ratio 0.0813
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size 13278874, 210458880 req, miss ratio 0.0791, byte miss ratio 0.0791
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size    16598, 210458880 req, miss ratio 0.2321, byte miss ratio 0.2321
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size    49795, 210458880 req, miss ratio 0.1858, byte miss ratio 0.1858
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size   165985, 210458880 req, miss ratio 0.1451, byte miss ratio 0.1451
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size   497957, 210458880 req, miss ratio 0.1176, byte miss ratio 0.1176
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size  1659859, 210458880 req, miss ratio 0.0971, byte miss ratio 0.0971
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size  3319718, 210458880 req, miss ratio 0.0879, byte miss ratio 0.0879
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size  6639437, 210458880 req, miss ratio 0.0819, byte miss ratio 0.0819
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size 13278874, 210458880 req, miss ratio 0.0791, byte miss ratio 0.0791
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size    16598, 210458880 req, miss ratio 0.2067, byte miss ratio 0.2067
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size    49795, 210458880 req, miss ratio 0.1648, byte miss ratio 0.1648
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size   165985, 210458880 req, miss ratio 0.1318, byte miss ratio 0.1318
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size   497957, 210458880 req, miss ratio 0.1082, byte miss ratio 0.1082
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size  1659859, 210458880 req, miss ratio 0.0902, byte miss ratio 0.0902
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size  3319718, 210458880 req, miss ratio 0.0847, byte miss ratio 0.0847
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size  6639437, 210458880 req, miss ratio 0.0814, byte miss ratio 0.0814
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size 13278874, 210458880 req, miss ratio 0.0791, byte miss ratio 0.0791
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size    16598, 210458880 req, miss ratio 0.2047, byte miss ratio 0.2047
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size    49795, 210458880 req, miss ratio 0.1623, byte miss ratio 0.1623
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size   165985, 210458880 req, miss ratio 0.1300, byte miss ratio 0.1300
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size   497957, 210458880 req, miss ratio 0.1067, byte miss ratio 0.1067
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size  1659859, 210458880 req, miss ratio 0.0901, byte miss ratio 0.0901
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size  3319718, 210458880 req, miss ratio 0.0852, byte miss ratio 0.0852
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size  6639437, 210458880 req, miss ratio 0.0818, byte miss ratio 0.0818
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size 13278874, 210458880 req, miss ratio 0.0791, byte miss ratio 0.0791
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size    16598, 210458880 req, miss ratio 0.2287, byte miss ratio 0.2287
