cluster51.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size     1504, 612199280 req, miss ratio 0.2025, byte miss ratio 0.2025
cluster51.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size     5016, 612199280 req, miss ratio 0.0930, byte miss ratio 0.0930
cluster51.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size    15048, 612199280 req, miss ratio 0.0305, byte miss ratio 0.0305
cluster51.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size    50160, 612199280 req, miss ratio 0.0061, byte miss ratio 0.0061
cluster51.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size   100320, 612199280 req, miss ratio 0.0021, byte miss ratio 0.0021
cluster51.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size   200640, 612199280 req, miss ratio 0.0011, byte miss ratio 0.0011
cluster51.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size   401280, 612199280 req, miss ratio 0.0009, byte miss ratio 0.0009
cluster51.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size      501, 612199280 req, miss ratio 0.2794, byte miss ratio 0.2794
cluster51.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size     1504, 612199280 req, miss ratio 0.1718, byte miss ratio 0.1718
cluster51.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size     5016, 612199280 req, miss ratio 0.0789, byte miss ratio 0.0789
cluster51.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size    15048, 612199280 req, miss ratio 0.0235, byte miss ratio 0.0235
cluster51.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size    50160, 612199280 req, miss ratio 0.0043, byte miss ratio 0.0043
cluster51.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size   100320, 612199280 req, miss ratio 0.0017, byte miss ratio 0.0017
cluster51.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size   200640, 612199280 req, miss ratio 0.0009, byte miss ratio 0.0009
cluster51.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size   401280, 612199280 req, miss ratio 0.0008, byte miss ratio 0.0008
cluster51.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size      501, 612199280 req, miss ratio 0.2820, byte miss ratio 0.2820
cluster51.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size     1504, 612199280 req, miss ratio 0.1728, byte miss ratio 0.1728
cluster51.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size     5016, 612199280 req, miss ratio 0.0785, byte miss ratio 0.0785
cluster51.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size    15048, 612199280 req, miss ratio 0.0235, byte miss ratio 0.0235
cluster51.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size    50160, 612199280 req, miss ratio 0.0043, byte miss ratio 0.0043
cluster51.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size   100320, 612199280 req, miss ratio 0.0017, byte miss ratio 0.0017
cluster51.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size   200640, 612199280 req, miss ratio 0.0009, byte miss ratio 0.0009
cluster51.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size   401280, 612199280 req, miss ratio 0.0008, byte miss ratio 0.0008
cluster51.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size      501, 612199280 req, miss ratio 0.2936, byte miss ratio 0.2936
cluster51.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size     1504, 612199280 req, miss ratio 0.1815, byte miss ratio 0.1815
cluster51.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size     5016, 612199280 req, miss ratio 0.0836, byte miss ratio 0.0836
cluster51.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size    15048, 612199280 req, miss ratio 0.0255, byte miss ratio 0.0255
cluster51.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size    50160, 612199280 req, miss ratio 0.0048, byte miss ratio 0.0048
cluster51.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size   100320, 612199280 req, miss ratio 0.0018, byte miss ratio 0.0018
cluster51.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size   200640, 612199280 req, miss ratio 0.0009, byte miss ratio 0.0009
cluster51.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size   401280, 612199280 req, miss ratio 0.0008, byte miss ratio 0.0008
cluster51.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size      501, 612199280 req, miss ratio 0.3053, byte miss ratio 0.3053
cluster51.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size     1504, 612199280 req, miss ratio 0.1876, byte miss ratio 0.1876
cluster51.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size     5016, 612199280 req, miss ratio 0.0857, byte miss ratio 0.0857
cluster51.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size    15048, 612199280 req, miss ratio 0.0270, byte miss ratio 0.0270
cluster51.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size    50160, 612199280 req, miss ratio 0.0052, byte miss ratio 0.0052
cluster51.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size   100320, 612199280 req, miss ratio 0.0018, byte miss ratio 0.0018
cluster51.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size   200640, 612199280 req, miss ratio 0.0010, byte miss ratio 0.0010
cluster51.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size   401280, 612199280 req, miss ratio 0.0008, byte miss ratio 0.0008
cluster51.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size      501, 612199280 req, miss ratio 0.2906, byte miss ratio 0.2906
cluster51.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size     1504, 612199280 req, miss ratio 0.1784, byte miss ratio 0.1784
cluster51.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size     5016, 612199280 req, miss ratio 0.0812, byte miss ratio 0.0812
cluster51.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size    15048, 612199280 req, miss ratio 0.0247, byte miss ratio 0.0247
cluster51.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size    50160, 612199280 req, miss ratio 0.0046, byte miss ratio 0.0046
cluster51.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size   100320, 612199280 req, miss ratio 0.0017, byte miss ratio 0.0017
cluster51.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size   200640, 612199280 req, miss ratio 0.0009, byte miss ratio 0.0009
