botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size 19206102, 958624046 req, miss ratio 0.2084, byte miss ratio 0.2084
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size 38412204, 958624046 req, miss ratio 0.2036, byte miss ratio 0.2036
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size 76824409, 958624046 req, miss ratio 0.2023, byte miss ratio 0.2023
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size 153648818, 958624046 req, miss ratio 0.2012, byte miss ratio 0.2012
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size   192061, 958624046 req, miss ratio 0.2697, byte miss ratio 0.2697
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size   576183, 958624046 req, miss ratio 0.2486, byte miss ratio 0.2486
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size  1920610, 958624046 req, miss ratio 0.2287, byte miss ratio 0.2287
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size  5761830, 958624046 req, miss ratio 0.2166, byte miss ratio 0.2166
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size 19206102, 958624046 req, miss ratio 0.2082, byte miss ratio 0.2082
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size 38412204, 958624046 req, miss ratio 0.2035, byte miss ratio 0.2035
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size 76824409, 958624046 req, miss ratio 0.2023, byte miss ratio 0.2023
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size 153648818, 958624046 req, miss ratio 0.2012, byte miss ratio 0.2012
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size   192061, 958624046 req, miss ratio 0.2822, byte miss ratio 0.2822
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size   576183, 958624046 req, miss ratio 0.2591, byte miss ratio 0.2591
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size  1920610, 958624046 req, miss ratio 0.2384, byte miss ratio 0.2384
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size  5761830, 958624046 req, miss ratio 0.2237, byte miss ratio 0.2237
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size 19206102, 958624046 req, miss ratio 0.2131, byte miss ratio 0.2131
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size 38412204, 958624046 req, miss ratio 0.2063, byte miss ratio 0.2063
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size 76824409, 958624046 req, miss ratio 0.2032, byte miss ratio 0.2032
