prn_1.IQI.bin S3FIFO-0.0010-0.9000 cache size    65207, 11233411 req, miss ratio 0.5936, byte miss ratio 0.5936
prn_1.IQI.bin S3FIFO-0.0010-0.9000 cache size   217357, 11233411 req, miss ratio 0.3865, byte miss ratio 0.3865
prn_1.IQI.bin S3FIFO-0.0010-0.9000 cache size   434715, 11233411 req, miss ratio 0.2337, byte miss ratio 0.2337
prn_1.IQI.bin S3FIFO-0.0010-0.9000 cache size   869430, 11233411 req, miss ratio 0.2049, byte miss ratio 0.2049
prn_1.IQI.bin S3FIFO-0.0010-0.9000 cache size  1738860, 11233411 req, miss ratio 0.1994, byte miss ratio 0.1994
prn_1.IQI.bin S3FIFO-0.9500-1.9000 cache size     2173, 11233411 req, miss ratio 0.7875, byte miss ratio 0.7875
prn_1.IQI.bin S3FIFO-0.9500-1.9000 cache size     6520, 11233411 req, miss ratio 0.7585, byte miss ratio 0.7585
prn_1.IQI.bin S3FIFO-0.9500-1.9000 cache size    21735, 11233411 req, miss ratio 0.7165, byte miss ratio 0.7165
prn_1.IQI.bin S3FIFO-0.9500-1.9000 cache size    65207, 11233411 req, miss ratio 0.6345, byte miss ratio 0.6345
prn_1.IQI.bin S3FIFO-0.9500-1.9000 cache size   217357, 11233411 req, miss ratio 0.4515, byte miss ratio 0.4515
prn_1.IQI.bin S3FIFO-0.9500-1.9000 cache size   434715, 11233411 req, miss ratio 0.3532, byte miss ratio 0.3532
prn_1.IQI.bin S3FIFO-0.9500-1.9000 cache size   869430, 11233411 req, miss ratio 0.2517, byte miss ratio 0.2517
prn_1.IQI.bin S3FIFO-0.9500-1.9000 cache size  1738860, 11233411 req, miss ratio 0.2282, byte miss ratio 0.2282
prn_1.IQI.bin S3FIFO-0.0250-0.9000 cache size     2173, 11233411 req, miss ratio 0.8329, byte miss ratio 0.8329
prn_1.IQI.bin S3FIFO-0.0250-0.9000 cache size     6520, 11233411 req, miss ratio 0.7885, byte miss ratio 0.7885
prn_1.IQI.bin S3FIFO-0.0250-0.9000 cache size    21735, 11233411 req, miss ratio 0.7182, byte miss ratio 0.7182
prn_1.IQI.bin S3FIFO-0.0250-0.9000 cache size    65207, 11233411 req, miss ratio 0.5554, byte miss ratio 0.5554
prn_1.IQI.bin S3FIFO-0.0250-0.9000 cache size   217357, 11233411 req, miss ratio 0.3822, byte miss ratio 0.3822
prn_1.IQI.bin S3FIFO-0.0250-0.9000 cache size   434715, 11233411 req, miss ratio 0.2331, byte miss ratio 0.2331
prn_1.IQI.bin S3FIFO-0.0250-0.9000 cache size   869430, 11233411 req, miss ratio 0.2049, byte miss ratio 0.2049
prn_1.IQI.bin S3FIFO-0.0250-0.9000 cache size  1738860, 11233411 req, miss ratio 0.1994, byte miss ratio 0.1994
prn_1.IQI.bin S3FIFO-0.0100-0.9000 cache size     2173, 11233411 req, miss ratio 0.8380, byte miss ratio 0.8380
