cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size       30, 2252816 req, miss ratio 0.0765, byte miss ratio 0.0765
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size       91, 2252816 req, miss ratio 0.0655, byte miss ratio 0.0655
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size      303, 2252816 req, miss ratio 0.0466, byte miss ratio 0.0466
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size      910, 2252816 req, miss ratio 0.0385, byte miss ratio 0.0385
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size     3035, 2252816 req, miss ratio 0.0298, byte miss ratio 0.0298
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size     6070, 2252816 req, miss ratio 0.0229, byte miss ratio 0.0229
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size    12141, 2252816 req, miss ratio 0.0182, byte miss ratio 0.0182
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size    24282, 2252816 req, miss ratio 0.0138, byte miss ratio 0.0138
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size       30, 2252816 req, miss ratio 0.0881, byte miss ratio 0.0881
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size       91, 2252816 req, miss ratio 0.0708, byte miss ratio 0.0708
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size      303, 2252816 req, miss ratio 0.0554, byte miss ratio 0.0554
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size      910, 2252816 req, miss ratio 0.0436, byte miss ratio 0.0436
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size     3035, 2252816 req, miss ratio 0.0346, byte miss ratio 0.0346
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size     6070, 2252816 req, miss ratio 0.0274, byte miss ratio 0.0274
