cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size     2577, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size     5155, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size        6, 5102234 req, miss ratio 0.1748, byte miss ratio 0.1748
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size       19, 5102234 req, miss ratio 0.0096, byte miss ratio 0.0096
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size       64, 5102234 req, miss ratio 0.0022, byte miss ratio 0.0022
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size      193, 5102234 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size      644, 5102234 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size     1288, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size     2577, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size     5155, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size        6, 5102234 req, miss ratio 0.1750, byte miss ratio 0.1750
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size       19, 5102234 req, miss ratio 0.0095, byte miss ratio 0.0095
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size       64, 5102234 req, miss ratio 0.0022, byte miss ratio 0.0022
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size      193, 5102234 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size      644, 5102234 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size     1288, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
