io_traces.ns659 S3FIFO-0.9900-0.9000 cache size     1397, 2200000 req, miss ratio 0.4953, byte miss ratio 0.4953
io_traces.ns659 S3FIFO-0.9900-0.9000 cache size     4191, 2200000 req, miss ratio 0.4727, byte miss ratio 0.4727
io_traces.ns659 S3FIFO-0.9900-0.9000 cache size    13971, 2200000 req, miss ratio 0.3934, byte miss ratio 0.3934
io_traces.ns659 S3FIFO-0.9900-0.9000 cache size    27943, 2200000 req, miss ratio 0.3109, byte miss ratio 0.3109
io_traces.ns659 S3FIFO-0.9900-0.9000 cache size    55886, 2200000 req, miss ratio 0.1768, byte miss ratio 0.1768
io_traces.ns659 S3FIFO-0.9900-0.9000 cache size   111773, 2200000 req, miss ratio 0.0844, byte miss ratio 0.0844
io_traces.ns659 S3FIFO-0.1000-0.9000 cache size      139, 2200000 req, miss ratio 0.5019, byte miss ratio 0.5019
io_traces.ns659 S3FIFO-0.1000-0.9000 cache size      419, 2200000 req, miss ratio 0.4906, byte miss ratio 0.4906
io_traces.ns659 S3FIFO-0.1000-0.9000 cache size     1397, 2200000 req, miss ratio 0.4787, byte miss ratio 0.4787
io_traces.ns659 S3FIFO-0.1000-0.9000 cache size     4191, 2200000 req, miss ratio 0.4403, byte miss ratio 0.4403
io_traces.ns659 S3FIFO-0.1000-0.9000 cache size    13971, 2200000 req, miss ratio 0.3836, byte miss ratio 0.3836
io_traces.ns659 S3FIFO-0.1000-0.9000 cache size    27943, 2200000 req, miss ratio 0.2973, byte miss ratio 0.2973
io_traces.ns659 S3FIFO-0.1000-0.9000 cache size    55886, 2200000 req, miss ratio 0.1367, byte miss ratio 0.1367
io_traces.ns659 S3FIFO-0.1000-0.9000 cache size   111773, 2200000 req, miss ratio 0.0697, byte miss ratio 0.0697
io_traces.ns659 S3FIFO-0.1000-1.9000 cache size      139, 2200000 req, miss ratio 0.5010, byte miss ratio 0.5010
io_traces.ns659 S3FIFO-0.1000-1.9000 cache size      419, 2200000 req, miss ratio 0.4901, byte miss ratio 0.4901
io_traces.ns659 S3FIFO-0.1000-1.9000 cache size     1397, 2200000 req, miss ratio 0.4580, byte miss ratio 0.4580
io_traces.ns659 S3FIFO-0.1000-1.9000 cache size     4191, 2200000 req, miss ratio 0.4364, byte miss ratio 0.4364
io_traces.ns659 S3FIFO-0.1000-1.9000 cache size    13971, 2200000 req, miss ratio 0.3752, byte miss ratio 0.3752
io_traces.ns659 S3FIFO-0.1000-1.9000 cache size    27943, 2200000 req, miss ratio 0.2982, byte miss ratio 0.2982
io_traces.ns659 S3FIFO-0.1000-1.9000 cache size    55886, 2200000 req, miss ratio 0.1367, byte miss ratio 0.1367
io_traces.ns659 S3FIFO-0.1000-1.9000 cache size   111773, 2200000 req, miss ratio 0.0697, byte miss ratio 0.0697
io_traces.ns659 S3FIFO-0.9500-0.9000 cache size      139, 2200000 req, miss ratio 0.5468, byte miss ratio 0.5468
io_traces.ns659 S3FIFO-0.9500-0.9000 cache size      419, 2200000 req, miss ratio 0.5001, byte miss ratio 0.5001
io_traces.ns659 S3FIFO-0.9500-0.9000 cache size     1397, 2200000 req, miss ratio 0.4907, byte miss ratio 0.4907
io_traces.ns659 S3FIFO-0.9500-0.9000 cache size     4191, 2200000 req, miss ratio 0.4703, byte miss ratio 0.4703
io_traces.ns659 S3FIFO-0.9500-0.9000 cache size    13971, 2200000 req, miss ratio 0.3935, byte miss ratio 0.3935
io_traces.ns659 S3FIFO-0.9500-0.9000 cache size    27943, 2200000 req, miss ratio 0.3126, byte miss ratio 0.3126
io_traces.ns659 S3FIFO-0.9500-0.9000 cache size    55886, 2200000 req, miss ratio 0.1771, byte miss ratio 0.1771
io_traces.ns659 S3FIFO-0.9500-0.9000 cache size   111773, 2200000 req, miss ratio 0.0841, byte miss ratio 0.0841
io_traces.ns659 S3FIFO-0.8500-0.9000 cache size      139, 2200000 req, miss ratio 0.5104, byte miss ratio 0.5104
io_traces.ns659 S3FIFO-0.8500-0.9000 cache size      419, 2200000 req, miss ratio 0.4930, byte miss ratio 0.4930
io_traces.ns659 S3FIFO-0.8500-0.9000 cache size     1397, 2200000 req, miss ratio 0.4889, byte miss ratio 0.4889
