pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-1.5000 cache size    42504, 184017803 req, miss ratio 0.4867, byte miss ratio 0.4867
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-1.5000 cache size   141681, 184017803 req, miss ratio 0.4261, byte miss ratio 0.4261
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-1.5000 cache size   283362, 184017803 req, miss ratio 0.1885, byte miss ratio 0.1885
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-1.5000 cache size   566724, 184017803 req, miss ratio 0.0993, byte miss ratio 0.0993
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-1.5000 cache size  1133448, 184017803 req, miss ratio 0.0124, byte miss ratio 0.0124
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.7000 cache size     1416, 184017803 req, miss ratio 0.5752, byte miss ratio 0.5752
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.7000 cache size     4250, 184017803 req, miss ratio 0.5446, byte miss ratio 0.5446
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.7000 cache size    14168, 184017803 req, miss ratio 0.5156, byte miss ratio 0.5156
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.7000 cache size    42504, 184017803 req, miss ratio 0.4878, byte miss ratio 0.4878
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.7000 cache size   141681, 184017803 req, miss ratio 0.4269, byte miss ratio 0.4269
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.7000 cache size   283362, 184017803 req, miss ratio 0.1960, byte miss ratio 0.1960
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.7000 cache size   566724, 184017803 req, miss ratio 0.1005, byte miss ratio 0.1005
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.7000 cache size  1133448, 184017803 req, miss ratio 0.0128, byte miss ratio 0.0128
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.7000 cache size     1416, 184017803 req, miss ratio 0.5744, byte miss ratio 0.5744
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.7000 cache size     4250, 184017803 req, miss ratio 0.5439, byte miss ratio 0.5439
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.7000 cache size    14168, 184017803 req, miss ratio 0.5153, byte miss ratio 0.5153
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.7000 cache size    42504, 184017803 req, miss ratio 0.4881, byte miss ratio 0.4881
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.7000 cache size   141681, 184017803 req, miss ratio 0.4350, byte miss ratio 0.4350
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.7000 cache size   283362, 184017803 req, miss ratio 0.1961, byte miss ratio 0.1961
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.7000 cache size   566724, 184017803 req, miss ratio 0.1005, byte miss ratio 0.1005
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.7000 cache size  1133448, 184017803 req, miss ratio 0.0128, byte miss ratio 0.0128
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.0000 cache size     1416, 184017803 req, miss ratio 0.5846, byte miss ratio 0.5846
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.0000 cache size     4250, 184017803 req, miss ratio 0.5493, byte miss ratio 0.5493
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.0000 cache size    14168, 184017803 req, miss ratio 0.5157, byte miss ratio 0.5157
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.0000 cache size    42504, 184017803 req, miss ratio 0.4735, byte miss ratio 0.4735
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.0000 cache size   141681, 184017803 req, miss ratio 0.2916, byte miss ratio 0.2916
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.0000 cache size   283362, 184017803 req, miss ratio 0.1601, byte miss ratio 0.1601
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.0000 cache size   566724, 184017803 req, miss ratio 0.0776, byte miss ratio 0.0776
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.0000 cache size  1133448, 184017803 req, miss ratio 0.0101, byte miss ratio 0.0101
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.1000 cache size     1416, 184017803 req, miss ratio 0.5724, byte miss ratio 0.5724
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.1000 cache size     4250, 184017803 req, miss ratio 0.5411, byte miss ratio 0.5411
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.1000 cache size    14168, 184017803 req, miss ratio 0.5126, byte miss ratio 0.5126
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.1000 cache size    42504, 184017803 req, miss ratio 0.4796, byte miss ratio 0.4796
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.1000 cache size   141681, 184017803 req, miss ratio 0.3105, byte miss ratio 0.3105
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.1000 cache size   283362, 184017803 req, miss ratio 0.1638, byte miss ratio 0.1638
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.1000 cache size   566724, 184017803 req, miss ratio 0.0864, byte miss ratio 0.0864
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.1000 cache size  1133448, 184017803 req, miss ratio 0.0107, byte miss ratio 0.0107
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.1000 cache size     1416, 184017803 req, miss ratio 0.5704, byte miss ratio 0.5704
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.1000 cache size     4250, 184017803 req, miss ratio 0.5401, byte miss ratio 0.5401
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.1000 cache size    14168, 184017803 req, miss ratio 0.5119, byte miss ratio 0.5119
