tencentBlock.ns3027 S3FIFO-0.0500-0.9000 cache size   235876, 50848776 req, miss ratio 0.1937, byte miss ratio 0.1937
tencentBlock.ns3027 S3FIFO-0.0500-0.9000 cache size   471752, 50848776 req, miss ratio 0.1051, byte miss ratio 0.1051
tencentBlock.ns3027 S3FIFO-0.0500-0.9000 cache size   943504, 50848776 req, miss ratio 0.0622, byte miss ratio 0.0622
tencentBlock.ns3027 S3FIFO-0.0500-0.9000 cache size  1887008, 50848776 req, miss ratio 0.0482, byte miss ratio 0.0482
tencentBlock.ns3027 S3FIFO-0.5500-1.9000 cache size     2358, 50848776 req, miss ratio 0.7592, byte miss ratio 0.7592
tencentBlock.ns3027 S3FIFO-0.5500-1.9000 cache size     7076, 50848776 req, miss ratio 0.6384, byte miss ratio 0.6384
tencentBlock.ns3027 S3FIFO-0.5500-1.9000 cache size    23587, 50848776 req, miss ratio 0.5213, byte miss ratio 0.5213
tencentBlock.ns3027 S3FIFO-0.5500-1.9000 cache size    70762, 50848776 req, miss ratio 0.4039, byte miss ratio 0.4039
tencentBlock.ns3027 S3FIFO-0.5500-1.9000 cache size   235876, 50848776 req, miss ratio 0.2127, byte miss ratio 0.2127
tencentBlock.ns3027 S3FIFO-0.5500-1.9000 cache size   471752, 50848776 req, miss ratio 0.1232, byte miss ratio 0.1232
tencentBlock.ns3027 S3FIFO-0.5500-1.9000 cache size   943504, 50848776 req, miss ratio 0.0674, byte miss ratio 0.0674
tencentBlock.ns3027 S3FIFO-0.5500-1.9000 cache size  1887008, 50848776 req, miss ratio 0.0488, byte miss ratio 0.0488
tencentBlock.ns3027 S3FIFO-0.0250-1.9000 cache size     2358, 50848776 req, miss ratio 0.7606, byte miss ratio 0.7606
tencentBlock.ns3027 S3FIFO-0.0250-1.9000 cache size     7076, 50848776 req, miss ratio 0.6682, byte miss ratio 0.6682
tencentBlock.ns3027 S3FIFO-0.0250-1.9000 cache size    23587, 50848776 req, miss ratio 0.5411, byte miss ratio 0.5411
tencentBlock.ns3027 S3FIFO-0.0250-1.9000 cache size    70762, 50848776 req, miss ratio 0.3921, byte miss ratio 0.3921
tencentBlock.ns3027 S3FIFO-0.0250-1.9000 cache size   235876, 50848776 req, miss ratio 0.1945, byte miss ratio 0.1945
tencentBlock.ns3027 S3FIFO-0.0250-1.9000 cache size   471752, 50848776 req, miss ratio 0.1058, byte miss ratio 0.1058
tencentBlock.ns3027 S3FIFO-0.0250-1.9000 cache size   943504, 50848776 req, miss ratio 0.0627, byte miss ratio 0.0627
tencentBlock.ns3027 S3FIFO-0.0250-1.9000 cache size  1887008, 50848776 req, miss ratio 0.0483, byte miss ratio 0.0483
tencentBlock.ns3027 S3FIFO-0.6000-1.9000 cache size     2358, 50848776 req, miss ratio 0.7608, byte miss ratio 0.7608
tencentBlock.ns3027 S3FIFO-0.6000-1.9000 cache size     7076, 50848776 req, miss ratio 0.6408, byte miss ratio 0.6408
tencentBlock.ns3027 S3FIFO-0.6000-1.9000 cache size    23587, 50848776 req, miss ratio 0.5243, byte miss ratio 0.5243
tencentBlock.ns3027 S3FIFO-0.6000-1.9000 cache size    70762, 50848776 req, miss ratio 0.4058, byte miss ratio 0.4058
