io_traces.ns538 S3FIFO-0.7500-1.9000 cache size     6078, 14200000 req, miss ratio 0.9583, byte miss ratio 0.9583
io_traces.ns538 S3FIFO-0.7500-1.9000 cache size    18236, 14200000 req, miss ratio 0.9487, byte miss ratio 0.9487
io_traces.ns538 S3FIFO-0.7500-1.9000 cache size    60788, 14200000 req, miss ratio 0.9373, byte miss ratio 0.9373
io_traces.ns538 S3FIFO-0.7500-1.9000 cache size   182364, 14200000 req, miss ratio 0.8706, byte miss ratio 0.8706
io_traces.ns538 S3FIFO-0.7500-1.9000 cache size   607881, 14200000 req, miss ratio 0.6030, byte miss ratio 0.6030
io_traces.ns538 S3FIFO-0.7500-1.9000 cache size  1215762, 14200000 req, miss ratio 0.5169, byte miss ratio 0.5169
io_traces.ns538 S3FIFO-0.7500-1.9000 cache size  2431524, 14200000 req, miss ratio 0.4630, byte miss ratio 0.4630
io_traces.ns538 S3FIFO-0.7500-1.9000 cache size  4863049, 14200000 req, miss ratio 0.4312, byte miss ratio 0.4312
io_traces.ns538 S3FIFO-0.8000-1.9000 cache size     6078, 14200000 req, miss ratio 0.9593, byte miss ratio 0.9593
io_traces.ns538 S3FIFO-0.8000-1.9000 cache size    18236, 14200000 req, miss ratio 0.9514, byte miss ratio 0.9514
io_traces.ns538 S3FIFO-0.8000-1.9000 cache size    60788, 14200000 req, miss ratio 0.9454, byte miss ratio 0.9454
io_traces.ns538 S3FIFO-0.8000-1.9000 cache size   182364, 14200000 req, miss ratio 0.8811, byte miss ratio 0.8811
io_traces.ns538 S3FIFO-0.8000-1.9000 cache size   607881, 14200000 req, miss ratio 0.6185, byte miss ratio 0.6185
io_traces.ns538 S3FIFO-0.8000-1.9000 cache size  1215762, 14200000 req, miss ratio 0.5257, byte miss ratio 0.5257
io_traces.ns538 S3FIFO-0.8000-1.9000 cache size  2431524, 14200000 req, miss ratio 0.4667, byte miss ratio 0.4667
io_traces.ns538 S3FIFO-0.8000-1.9000 cache size  4863049, 14200000 req, miss ratio 0.4312, byte miss ratio 0.4312
io_traces.ns538 S3FIFO-0.1000-0.9000 cache size     6078, 14200000 req, miss ratio 0.9542, byte miss ratio 0.9542
io_traces.ns538 S3FIFO-0.1000-0.9000 cache size    18236, 14200000 req, miss ratio 0.9478, byte miss ratio 0.9478
