onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.4000 cache size 15374058, 1446577592 req, miss ratio 0.2640, byte miss ratio 0.2640
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.4000 cache size 30748116, 1446577592 req, miss ratio 0.1221, byte miss ratio 0.1221
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.4000 cache size 61496233, 1446577592 req, miss ratio 0.0612, byte miss ratio 0.0612
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.7000 cache size    76870, 1446577592 req, miss ratio 0.6971, byte miss ratio 0.6971
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.7000 cache size   230610, 1446577592 req, miss ratio 0.6491, byte miss ratio 0.6491
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.7000 cache size   768702, 1446577592 req, miss ratio 0.6142, byte miss ratio 0.6142
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.7000 cache size  2306108, 1446577592 req, miss ratio 0.5614, byte miss ratio 0.5614
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.7000 cache size  7687029, 1446577592 req, miss ratio 0.3780, byte miss ratio 0.3780
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.7000 cache size 15374058, 1446577592 req, miss ratio 0.2260, byte miss ratio 0.2260
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.7000 cache size 30748116, 1446577592 req, miss ratio 0.0969, byte miss ratio 0.0969
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.7000 cache size 61496233, 1446577592 req, miss ratio 0.0553, byte miss ratio 0.0553
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.3000 cache size    76870, 1446577592 req, miss ratio 0.7070, byte miss ratio 0.7070
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.3000 cache size   230610, 1446577592 req, miss ratio 0.6612, byte miss ratio 0.6612
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.3000 cache size   768702, 1446577592 req, miss ratio 0.6215, byte miss ratio 0.6215
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.3000 cache size  2306108, 1446577592 req, miss ratio 0.5882, byte miss ratio 0.5882
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.3000 cache size  7687029, 1446577592 req, miss ratio 0.4467, byte miss ratio 0.4467
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.3000 cache size 15374058, 1446577592 req, miss ratio 0.2727, byte miss ratio 0.2727
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.3000 cache size 30748116, 1446577592 req, miss ratio 0.1290, byte miss ratio 0.1290
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.3000 cache size 61496233, 1446577592 req, miss ratio 0.0626, byte miss ratio 0.0626
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.2000 cache size    76870, 1446577592 req, miss ratio 0.7127, byte miss ratio 0.7127
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.2000 cache size   230610, 1446577592 req, miss ratio 0.6672, byte miss ratio 0.6672
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.2000 cache size   768702, 1446577592 req, miss ratio 0.6251, byte miss ratio 0.6251
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.2000 cache size  2306108, 1446577592 req, miss ratio 0.5923, byte miss ratio 0.5923
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.2000 cache size  7687029, 1446577592 req, miss ratio 0.4504, byte miss ratio 0.4504
