io_traces.ns333 S3FIFO-0.5500-0.9000 cache size    30084, 1200000 req, miss ratio 0.0342, byte miss ratio 0.0342
io_traces.ns333 S3FIFO-0.9000-0.9000 cache size       37, 1200000 req, miss ratio 0.4700, byte miss ratio 0.4700
io_traces.ns333 S3FIFO-0.9000-0.9000 cache size      112, 1200000 req, miss ratio 0.2809, byte miss ratio 0.2809
io_traces.ns333 S3FIFO-0.9000-0.9000 cache size      376, 1200000 req, miss ratio 0.2002, byte miss ratio 0.2002
io_traces.ns333 S3FIFO-0.9000-0.9000 cache size     1128, 1200000 req, miss ratio 0.1684, byte miss ratio 0.1684
io_traces.ns333 S3FIFO-0.9000-0.9000 cache size     3760, 1200000 req, miss ratio 0.1493, byte miss ratio 0.1493
io_traces.ns333 S3FIFO-0.9000-0.9000 cache size     7521, 1200000 req, miss ratio 0.1113, byte miss ratio 0.1113
io_traces.ns333 S3FIFO-0.9000-0.9000 cache size    15042, 1200000 req, miss ratio 0.0731, byte miss ratio 0.0731
io_traces.ns333 S3FIFO-0.9000-0.9000 cache size    30084, 1200000 req, miss ratio 0.0391, byte miss ratio 0.0391
io_traces.ns333 S3FIFO-0.5500-1.9000 cache size       37, 1200000 req, miss ratio 0.3957, byte miss ratio 0.3957
io_traces.ns333 S3FIFO-0.5500-1.9000 cache size      112, 1200000 req, miss ratio 0.2305, byte miss ratio 0.2305
io_traces.ns333 S3FIFO-0.5500-1.9000 cache size      376, 1200000 req, miss ratio 0.1754, byte miss ratio 0.1754
io_traces.ns333 S3FIFO-0.5500-1.9000 cache size     1128, 1200000 req, miss ratio 0.1532, byte miss ratio 0.1532
