tencentBlock.ns23479 S3FIFO-0.0100-1.9000 cache size     1227, 12757218 req, miss ratio 0.0053, byte miss ratio 0.0053
tencentBlock.ns23479 S3FIFO-0.0100-1.9000 cache size     2455, 12757218 req, miss ratio 0.0013, byte miss ratio 0.0013
tencentBlock.ns23479 S3FIFO-0.6000-0.9000 cache size        9, 12757218 req, miss ratio 0.7331, byte miss ratio 0.7331
tencentBlock.ns23479 S3FIFO-0.6000-0.9000 cache size       30, 12757218 req, miss ratio 0.7320, byte miss ratio 0.7320
tencentBlock.ns23479 S3FIFO-0.6000-0.9000 cache size       92, 12757218 req, miss ratio 0.4526, byte miss ratio 0.4526
tencentBlock.ns23479 S3FIFO-0.6000-0.9000 cache size      306, 12757218 req, miss ratio 0.0194, byte miss ratio 0.0194
tencentBlock.ns23479 S3FIFO-0.6000-0.9000 cache size      613, 12757218 req, miss ratio 0.0068, byte miss ratio 0.0068
tencentBlock.ns23479 S3FIFO-0.6000-0.9000 cache size     1227, 12757218 req, miss ratio 0.0056, byte miss ratio 0.0056
tencentBlock.ns23479 S3FIFO-0.6000-0.9000 cache size     2455, 12757218 req, miss ratio 0.0022, byte miss ratio 0.0022
tencentBlock.ns23479 S3FIFO-0.8000-1.9000 cache size        9, 12757218 req, miss ratio 0.7331, byte miss ratio 0.7331
tencentBlock.ns23479 S3FIFO-0.8000-1.9000 cache size       30, 12757218 req, miss ratio 0.7328, byte miss ratio 0.7328
tencentBlock.ns23479 S3FIFO-0.8000-1.9000 cache size       92, 12757218 req, miss ratio 0.4835, byte miss ratio 0.4835
tencentBlock.ns23479 S3FIFO-0.8000-1.9000 cache size      306, 12757218 req, miss ratio 0.0205, byte miss ratio 0.0205
tencentBlock.ns23479 S3FIFO-0.8000-1.9000 cache size      613, 12757218 req, miss ratio 0.0074, byte miss ratio 0.0074
tencentBlock.ns23479 S3FIFO-0.8000-1.9000 cache size     1227, 12757218 req, miss ratio 0.0057, byte miss ratio 0.0057
tencentBlock.ns23479 S3FIFO-0.8000-1.9000 cache size     2455, 12757218 req, miss ratio 0.0024, byte miss ratio 0.0024
tencentBlock.ns23479 S3FIFO-0.0500-1.9000 cache size        9, 12757218 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns23479 S3FIFO-0.0500-1.9000 cache size       30, 12757218 req, miss ratio 0.7214, byte miss ratio 0.7214
tencentBlock.ns23479 S3FIFO-0.0500-1.9000 cache size       92, 12757218 req, miss ratio 0.3102, byte miss ratio 0.3102
tencentBlock.ns23479 S3FIFO-0.0500-1.9000 cache size      306, 12757218 req, miss ratio 0.0166, byte miss ratio 0.0166
tencentBlock.ns23479 S3FIFO-0.0500-1.9000 cache size      613, 12757218 req, miss ratio 0.0071, byte miss ratio 0.0071
tencentBlock.ns23479 S3FIFO-0.0500-1.9000 cache size     1227, 12757218 req, miss ratio 0.0052, byte miss ratio 0.0052
tencentBlock.ns23479 S3FIFO-0.0500-1.9000 cache size     2455, 12757218 req, miss ratio 0.0014, byte miss ratio 0.0014
tencentBlock.ns23479 S3FIFO-0.2000-1.9000 cache size        9, 12757218 req, miss ratio 0.7331, byte miss ratio 0.7331
