media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.5000 cache size   119917, 282251551 req, miss ratio 0.0192, byte miss ratio 0.0192
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.5000 cache size   239835, 282251551 req, miss ratio 0.0123, byte miss ratio 0.0123
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.5000 cache size   479670, 282251551 req, miss ratio 0.0078, byte miss ratio 0.0078
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.5000 cache size   959340, 282251551 req, miss ratio 0.0049, byte miss ratio 0.0049
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.0000 cache size     1199, 282251551 req, miss ratio 0.2307, byte miss ratio 0.2307
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.0000 cache size     3597, 282251551 req, miss ratio 0.1355, byte miss ratio 0.1355
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.0000 cache size    11991, 282251551 req, miss ratio 0.0660, byte miss ratio 0.0660
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.0000 cache size    35975, 282251551 req, miss ratio 0.0319, byte miss ratio 0.0319
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.0000 cache size   119917, 282251551 req, miss ratio 0.0146, byte miss ratio 0.0146
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.0000 cache size   239835, 282251551 req, miss ratio 0.0095, byte miss ratio 0.0095
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.0000 cache size   479670, 282251551 req, miss ratio 0.0065, byte miss ratio 0.0065
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.0000 cache size   959340, 282251551 req, miss ratio 0.0045, byte miss ratio 0.0045
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.8000 cache size     1199, 282251551 req, miss ratio 0.2252, byte miss ratio 0.2252
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.8000 cache size     3597, 282251551 req, miss ratio 0.1317, byte miss ratio 0.1317
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.8000 cache size    11991, 282251551 req, miss ratio 0.0641, byte miss ratio 0.0641
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.8000 cache size    35975, 282251551 req, miss ratio 0.0308, byte miss ratio 0.0308
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.8000 cache size   119917, 282251551 req, miss ratio 0.0142, byte miss ratio 0.0142
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.8000 cache size   239835, 282251551 req, miss ratio 0.0092, byte miss ratio 0.0092
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.8000 cache size   479670, 282251551 req, miss ratio 0.0064, byte miss ratio 0.0064
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.8000 cache size   959340, 282251551 req, miss ratio 0.0045, byte miss ratio 0.0045
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.7000 cache size     1199, 282251551 req, miss ratio 0.2288, byte miss ratio 0.2288
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.7000 cache size     3597, 282251551 req, miss ratio 0.1338, byte miss ratio 0.1338
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.7000 cache size    11991, 282251551 req, miss ratio 0.0650, byte miss ratio 0.0650
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.7000 cache size    35975, 282251551 req, miss ratio 0.0312, byte miss ratio 0.0312
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.7000 cache size   119917, 282251551 req, miss ratio 0.0142, byte miss ratio 0.0142
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.7000 cache size   239835, 282251551 req, miss ratio 0.0092, byte miss ratio 0.0092
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.7000 cache size   479670, 282251551 req, miss ratio 0.0064, byte miss ratio 0.0064
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.7000 cache size   959340, 282251551 req, miss ratio 0.0045, byte miss ratio 0.0045
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size     1199, 282251551 req, miss ratio 0.2832, byte miss ratio 0.2832
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size     3597, 282251551 req, miss ratio 0.1700, byte miss ratio 0.1700
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size    11991, 282251551 req, miss ratio 0.0842, byte miss ratio 0.0842
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size    35975, 282251551 req, miss ratio 0.0407, byte miss ratio 0.0407
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size   119917, 282251551 req, miss ratio 0.0182, byte miss ratio 0.0182
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size   239835, 282251551 req, miss ratio 0.0117, byte miss ratio 0.0117
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size   479670, 282251551 req, miss ratio 0.0075, byte miss ratio 0.0075
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size   959340, 282251551 req, miss ratio 0.0047, byte miss ratio 0.0047
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.5000 cache size     1199, 282251551 req, miss ratio 0.2451, byte miss ratio 0.2451
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.5000 cache size     3597, 282251551 req, miss ratio 0.1385, byte miss ratio 0.1385
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.5000 cache size    11991, 282251551 req, miss ratio 0.0650, byte miss ratio 0.0650
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.5000 cache size    35975, 282251551 req, miss ratio 0.0308, byte miss ratio 0.0308
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.5000 cache size   119917, 282251551 req, miss ratio 0.0140, byte miss ratio 0.0140
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.5000 cache size   239835, 282251551 req, miss ratio 0.0090, byte miss ratio 0.0090
