gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.0000 cache size   524286, 814062339 req, miss ratio 0.0009, byte miss ratio 0.0009
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.1000 cache size      655, 814062339 req, miss ratio 0.2019, byte miss ratio 0.2019
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.1000 cache size     1966, 814062339 req, miss ratio 0.0971, byte miss ratio 0.0971
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.1000 cache size     6553, 814062339 req, miss ratio 0.0410, byte miss ratio 0.0410
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.1000 cache size    19660, 814062339 req, miss ratio 0.0192, byte miss ratio 0.0192
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.1000 cache size    65535, 814062339 req, miss ratio 0.0049, byte miss ratio 0.0049
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.1000 cache size   131071, 814062339 req, miss ratio 0.0020, byte miss ratio 0.0020
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.1000 cache size   262143, 814062339 req, miss ratio 0.0012, byte miss ratio 0.0012
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.1000 cache size   524286, 814062339 req, miss ratio 0.0009, byte miss ratio 0.0009
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.3000 cache size      655, 814062339 req, miss ratio 0.2111, byte miss ratio 0.2111
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.3000 cache size     1966, 814062339 req, miss ratio 0.1170, byte miss ratio 0.1170
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.3000 cache size     6553, 814062339 req, miss ratio 0.0554, byte miss ratio 0.0554
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.3000 cache size    19660, 814062339 req, miss ratio 0.0265, byte miss ratio 0.0265
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.3000 cache size    65535, 814062339 req, miss ratio 0.0091, byte miss ratio 0.0091
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.3000 cache size   131071, 814062339 req, miss ratio 0.0037, byte miss ratio 0.0037
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.3000 cache size   262143, 814062339 req, miss ratio 0.0018, byte miss ratio 0.0018
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.3000 cache size   524286, 814062339 req, miss ratio 0.0010, byte miss ratio 0.0010
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.3000 cache size      655, 814062339 req, miss ratio 0.1789, byte miss ratio 0.1789
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.3000 cache size     1966, 814062339 req, miss ratio 0.0969, byte miss ratio 0.0969
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.3000 cache size     6553, 814062339 req, miss ratio 0.0449, byte miss ratio 0.0449
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.3000 cache size    19660, 814062339 req, miss ratio 0.0219, byte miss ratio 0.0219
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.3000 cache size    65535, 814062339 req, miss ratio 0.0076, byte miss ratio 0.0076
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.3000 cache size   131071, 814062339 req, miss ratio 0.0026, byte miss ratio 0.0026
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.3000 cache size   262143, 814062339 req, miss ratio 0.0014, byte miss ratio 0.0014
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.3000 cache size   524286, 814062339 req, miss ratio 0.0009, byte miss ratio 0.0009
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.8000 cache size      655, 814062339 req, miss ratio 0.1931, byte miss ratio 0.1931
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.8000 cache size     1966, 814062339 req, miss ratio 0.0952, byte miss ratio 0.0952
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.8000 cache size     6553, 814062339 req, miss ratio 0.0411, byte miss ratio 0.0411
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.8000 cache size    19660, 814062339 req, miss ratio 0.0200, byte miss ratio 0.0200
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.8000 cache size    65535, 814062339 req, miss ratio 0.0053, byte miss ratio 0.0053
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.8000 cache size   131071, 814062339 req, miss ratio 0.0021, byte miss ratio 0.0021
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.8000 cache size   262143, 814062339 req, miss ratio 0.0013, byte miss ratio 0.0013
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.8000 cache size   524286, 814062339 req, miss ratio 0.0009, byte miss ratio 0.0009
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-1.0000 cache size      655, 814062339 req, miss ratio 0.1876, byte miss ratio 0.1876
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-1.0000 cache size     1966, 814062339 req, miss ratio 0.1025, byte miss ratio 0.1025
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-1.0000 cache size     6553, 814062339 req, miss ratio 0.0478, byte miss ratio 0.0478
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-1.0000 cache size    19660, 814062339 req, miss ratio 0.0233, byte miss ratio 0.0233
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-1.0000 cache size    65535, 814062339 req, miss ratio 0.0080, byte miss ratio 0.0080
