cdn1_colo28.ns975 S3FIFO-0.9000-1.9000 cache size    13156, 2315384 req, miss ratio 0.0385, byte miss ratio 0.0385
cdn1_colo28.ns975 S3FIFO-0.9000-1.9000 cache size    26313, 2315384 req, miss ratio 0.0182, byte miss ratio 0.0182
cdn1_colo28.ns975 S3FIFO-0.8500-0.9000 cache size       32, 2315384 req, miss ratio 0.6855, byte miss ratio 0.6855
cdn1_colo28.ns975 S3FIFO-0.8500-0.9000 cache size       98, 2315384 req, miss ratio 0.5143, byte miss ratio 0.5143
cdn1_colo28.ns975 S3FIFO-0.8500-0.9000 cache size      328, 2315384 req, miss ratio 0.4043, byte miss ratio 0.4043
cdn1_colo28.ns975 S3FIFO-0.8500-0.9000 cache size      986, 2315384 req, miss ratio 0.2939, byte miss ratio 0.2939
cdn1_colo28.ns975 S3FIFO-0.8500-0.9000 cache size     3289, 2315384 req, miss ratio 0.1437, byte miss ratio 0.1437
cdn1_colo28.ns975 S3FIFO-0.8500-0.9000 cache size     6578, 2315384 req, miss ratio 0.0773, byte miss ratio 0.0773
cdn1_colo28.ns975 S3FIFO-0.8500-0.9000 cache size    13156, 2315384 req, miss ratio 0.0373, byte miss ratio 0.0373
cdn1_colo28.ns975 S3FIFO-0.8500-0.9000 cache size    26313, 2315384 req, miss ratio 0.0178, byte miss ratio 0.0178
cdn1_colo28.ns975 S3FIFO-0.1000-0.9000 cache size       32, 2315384 req, miss ratio 0.4928, byte miss ratio 0.4928
cdn1_colo28.ns975 S3FIFO-0.1000-0.9000 cache size       98, 2315384 req, miss ratio 0.4241, byte miss ratio 0.4241
cdn1_colo28.ns975 S3FIFO-0.1000-0.9000 cache size      328, 2315384 req, miss ratio 0.3363, byte miss ratio 0.3363
cdn1_colo28.ns975 S3FIFO-0.1000-0.9000 cache size      986, 2315384 req, miss ratio 0.2227, byte miss ratio 0.2227
cdn1_colo28.ns975 S3FIFO-0.1000-0.9000 cache size     3289, 2315384 req, miss ratio 0.0938, byte miss ratio 0.0938
cdn1_colo28.ns975 S3FIFO-0.1000-0.9000 cache size     6578, 2315384 req, miss ratio 0.0513, byte miss ratio 0.0513
cdn1_colo28.ns975 S3FIFO-0.1000-0.9000 cache size    13156, 2315384 req, miss ratio 0.0260, byte miss ratio 0.0260
cdn1_colo28.ns975 S3FIFO-0.1000-0.9000 cache size    26313, 2315384 req, miss ratio 0.0149, byte miss ratio 0.0149
cdn1_colo28.ns975 S3FIFO-0.2500-1.9000 cache size       32, 2315384 req, miss ratio 0.5140, byte miss ratio 0.5140
cdn1_colo28.ns975 S3FIFO-0.2500-1.9000 cache size       98, 2315384 req, miss ratio 0.4378, byte miss ratio 0.4378
cdn1_colo28.ns975 S3FIFO-0.2500-1.9000 cache size      328, 2315384 req, miss ratio 0.3540, byte miss ratio 0.3540
cdn1_colo28.ns975 S3FIFO-0.2500-1.9000 cache size      986, 2315384 req, miss ratio 0.2422, byte miss ratio 0.2422
cdn1_colo28.ns975 S3FIFO-0.2500-1.9000 cache size     3289, 2315384 req, miss ratio 0.1052, byte miss ratio 0.1052
cdn1_colo28.ns975 S3FIFO-0.2500-1.9000 cache size     6578, 2315384 req, miss ratio 0.0559, byte miss ratio 0.0559
cdn1_colo28.ns975 S3FIFO-0.2500-1.9000 cache size    13156, 2315384 req, miss ratio 0.0276, byte miss ratio 0.0276
cdn1_colo28.ns975 S3FIFO-0.2500-1.9000 cache size    26313, 2315384 req, miss ratio 0.0149, byte miss ratio 0.0149
cdn1_colo28.ns975 S3FIFO-0.5500-1.9000 cache size       32, 2315384 req, miss ratio 0.5870, byte miss ratio 0.5870
