cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size   118510, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size   237020, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size     1185, 1994940 req, miss ratio 0.6065, byte miss ratio 0.6065
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size     3555, 1994940 req, miss ratio 0.5969, byte miss ratio 0.5969
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size    11851, 1994940 req, miss ratio 0.5955, byte miss ratio 0.5955
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size    35553, 1994940 req, miss ratio 0.5946, byte miss ratio 0.5946
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size   118510, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size   237020, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size     1185, 1994940 req, miss ratio 0.6037, byte miss ratio 0.6037
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size     3555, 1994940 req, miss ratio 0.5969, byte miss ratio 0.5969
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size    11851, 1994940 req, miss ratio 0.5957, byte miss ratio 0.5957
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size    35553, 1994940 req, miss ratio 0.5945, byte miss ratio 0.5945
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size   118510, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size   237020, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size     1185, 1994940 req, miss ratio 0.6015, byte miss ratio 0.6015
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size     3555, 1994940 req, miss ratio 0.5970, byte miss ratio 0.5970
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size    11851, 1994940 req, miss ratio 0.5958, byte miss ratio 0.5958
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size    35553, 1994940 req, miss ratio 0.5945, byte miss ratio 0.5945
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size   118510, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size   237020, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size     1185, 1994940 req, miss ratio 0.5991, byte miss ratio 0.5991
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size     3555, 1994940 req, miss ratio 0.5974, byte miss ratio 0.5974
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size    11851, 1994940 req, miss ratio 0.5962, byte miss ratio 0.5962
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size    35553, 1994940 req, miss ratio 0.5949, byte miss ratio 0.5949
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size   118510, 1994940 req, miss ratio 0.5944, byte miss ratio 0.5944
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size   237020, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size     1185, 1994940 req, miss ratio 0.6834, byte miss ratio 0.6834
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size     3555, 1994940 req, miss ratio 0.6774, byte miss ratio 0.6774
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size    11851, 1994940 req, miss ratio 0.6602, byte miss ratio 0.6602
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size    35553, 1994940 req, miss ratio 0.6318, byte miss ratio 0.6318
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size   118510, 1994940 req, miss ratio 0.6044, byte miss ratio 0.6044
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size   237020, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size     1185, 1994940 req, miss ratio 0.6759, byte miss ratio 0.6759
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size     3555, 1994940 req, miss ratio 0.6578, byte miss ratio 0.6578
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size    11851, 1994940 req, miss ratio 0.6312, byte miss ratio 0.6312
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size    35553, 1994940 req, miss ratio 0.6115, byte miss ratio 0.6115
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size   118510, 1994940 req, miss ratio 0.5985, byte miss ratio 0.5985
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size   237020, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size     1185, 1994940 req, miss ratio 0.6668, byte miss ratio 0.6668
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size     3555, 1994940 req, miss ratio 0.6441, byte miss ratio 0.6441
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size    11851, 1994940 req, miss ratio 0.6200, byte miss ratio 0.6200
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size    35553, 1994940 req, miss ratio 0.6071, byte miss ratio 0.6071
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size   118510, 1994940 req, miss ratio 0.5947, byte miss ratio 0.5947
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size   237020, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size     1185, 1994940 req, miss ratio 0.6051, byte miss ratio 0.6051
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size     3555, 1994940 req, miss ratio 0.5969, byte miss ratio 0.5969
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size    11851, 1994940 req, miss ratio 0.5956, byte miss ratio 0.5956
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size    35553, 1994940 req, miss ratio 0.5946, byte miss ratio 0.5946
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size   118510, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
