guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size    40777, 15433112 req, miss ratio 0.1030, byte miss ratio 0.1030
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size   135924, 15433112 req, miss ratio 0.0903, byte miss ratio 0.0903
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size   271848, 15433112 req, miss ratio 0.0885, byte miss ratio 0.0885
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size   543696, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size  1087392, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.3000 cache size     1359, 15433112 req, miss ratio 0.3765, byte miss ratio 0.3765
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.3000 cache size     4077, 15433112 req, miss ratio 0.2195, byte miss ratio 0.2195
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.3000 cache size    13592, 15433112 req, miss ratio 0.1358, byte miss ratio 0.1358
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.3000 cache size    40777, 15433112 req, miss ratio 0.1045, byte miss ratio 0.1045
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.3000 cache size   135924, 15433112 req, miss ratio 0.0923, byte miss ratio 0.0923
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.3000 cache size   271848, 15433112 req, miss ratio 0.0900, byte miss ratio 0.0900
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.3000 cache size   543696, 15433112 req, miss ratio 0.0889, byte miss ratio 0.0889
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.3000 cache size  1087392, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.8000 cache size     1359, 15433112 req, miss ratio 0.3660, byte miss ratio 0.3660
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.8000 cache size     4077, 15433112 req, miss ratio 0.2079, byte miss ratio 0.2079
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.8000 cache size    13592, 15433112 req, miss ratio 0.1315, byte miss ratio 0.1315
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.8000 cache size    40777, 15433112 req, miss ratio 0.1035, byte miss ratio 0.1035
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.8000 cache size   135924, 15433112 req, miss ratio 0.0914, byte miss ratio 0.0914
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.8000 cache size   271848, 15433112 req, miss ratio 0.0893, byte miss ratio 0.0893
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.8000 cache size   543696, 15433112 req, miss ratio 0.0885, byte miss ratio 0.0885
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.8000 cache size  1087392, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.0000 cache size     1359, 15433112 req, miss ratio 0.3645, byte miss ratio 0.3645
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.0000 cache size     4077, 15433112 req, miss ratio 0.2051, byte miss ratio 0.2051
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.0000 cache size    13592, 15433112 req, miss ratio 0.1350, byte miss ratio 0.1350
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.0000 cache size    40777, 15433112 req, miss ratio 0.1054, byte miss ratio 0.1054
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.0000 cache size   135924, 15433112 req, miss ratio 0.0895, byte miss ratio 0.0895
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.0000 cache size   271848, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.0000 cache size   543696, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.0000 cache size  1087392, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.1000 cache size     1359, 15433112 req, miss ratio 0.3594, byte miss ratio 0.3594
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.1000 cache size     4077, 15433112 req, miss ratio 0.1990, byte miss ratio 0.1990
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.1000 cache size    13592, 15433112 req, miss ratio 0.1322, byte miss ratio 0.1322
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.1000 cache size    40777, 15433112 req, miss ratio 0.1041, byte miss ratio 0.1041
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.1000 cache size   135924, 15433112 req, miss ratio 0.0895, byte miss ratio 0.0895
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.1000 cache size   271848, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.1000 cache size   543696, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.1000 cache size  1087392, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.8000 cache size     1359, 15433112 req, miss ratio 0.3589, byte miss ratio 0.3589
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.8000 cache size     4077, 15433112 req, miss ratio 0.1978, byte miss ratio 0.1978
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.8000 cache size    13592, 15433112 req, miss ratio 0.1295, byte miss ratio 0.1295
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.8000 cache size    40777, 15433112 req, miss ratio 0.1030, byte miss ratio 0.1030
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.8000 cache size   135924, 15433112 req, miss ratio 0.0906, byte miss ratio 0.0906
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.8000 cache size   271848, 15433112 req, miss ratio 0.0887, byte miss ratio 0.0887
