query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size     7437, 63962758 req, miss ratio 0.1167, byte miss ratio 0.1167
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size    22312, 63962758 req, miss ratio 0.0845, byte miss ratio 0.0845
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size    74374, 63962758 req, miss ratio 0.0553, byte miss ratio 0.0553
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size   148748, 63962758 req, miss ratio 0.0372, byte miss ratio 0.0372
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size   297497, 63962758 req, miss ratio 0.0205, byte miss ratio 0.0205
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size   594994, 63962758 req, miss ratio 0.0128, byte miss ratio 0.0128
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size      743, 63962758 req, miss ratio 0.3812, byte miss ratio 0.3812
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size     2231, 63962758 req, miss ratio 0.1831, byte miss ratio 0.1831
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size     7437, 63962758 req, miss ratio 0.1151, byte miss ratio 0.1151
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size    22312, 63962758 req, miss ratio 0.0833, byte miss ratio 0.0833
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size    74374, 63962758 req, miss ratio 0.0559, byte miss ratio 0.0559
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size   148748, 63962758 req, miss ratio 0.0399, byte miss ratio 0.0399
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size   297497, 63962758 req, miss ratio 0.0229, byte miss ratio 0.0229
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-1.9000 cache size   594994, 63962758 req, miss ratio 0.0129, byte miss ratio 0.0129
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size      743, 63962758 req, miss ratio 0.3312, byte miss ratio 0.3312
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size     2231, 63962758 req, miss ratio 0.1905, byte miss ratio 0.1905
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size     7437, 63962758 req, miss ratio 0.1188, byte miss ratio 0.1188
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size    22312, 63962758 req, miss ratio 0.0853, byte miss ratio 0.0853
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size    74374, 63962758 req, miss ratio 0.0583, byte miss ratio 0.0583
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size   148748, 63962758 req, miss ratio 0.0428, byte miss ratio 0.0428
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size   297497, 63962758 req, miss ratio 0.0253, byte miss ratio 0.0253
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size   594994, 63962758 req, miss ratio 0.0134, byte miss ratio 0.0134
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size      743, 63962758 req, miss ratio 0.3678, byte miss ratio 0.3678
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size     2231, 63962758 req, miss ratio 0.1851, byte miss ratio 0.1851
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size     7437, 63962758 req, miss ratio 0.1160, byte miss ratio 0.1160
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size    22312, 63962758 req, miss ratio 0.0839, byte miss ratio 0.0839
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size    74374, 63962758 req, miss ratio 0.0567, byte miss ratio 0.0567
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size   148748, 63962758 req, miss ratio 0.0413, byte miss ratio 0.0413
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size   297497, 63962758 req, miss ratio 0.0238, byte miss ratio 0.0238
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size   594994, 63962758 req, miss ratio 0.0130, byte miss ratio 0.0130
