atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-2.0000 cache size   817899, 99119244 req, miss ratio 0.0777, byte miss ratio 0.0777
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-2.0000 cache size  1635798, 99119244 req, miss ratio 0.0561, byte miss ratio 0.0561
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-2.0000 cache size  3271596, 99119244 req, miss ratio 0.0429, byte miss ratio 0.0429
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.6000 cache size     4089, 99119244 req, miss ratio 0.4294, byte miss ratio 0.4294
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.6000 cache size    12268, 99119244 req, miss ratio 0.3281, byte miss ratio 0.3281
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.6000 cache size    40894, 99119244 req, miss ratio 0.2390, byte miss ratio 0.2390
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.6000 cache size   122684, 99119244 req, miss ratio 0.1724, byte miss ratio 0.1724
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.6000 cache size   408949, 99119244 req, miss ratio 0.0978, byte miss ratio 0.0978
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.6000 cache size   817899, 99119244 req, miss ratio 0.0722, byte miss ratio 0.0722
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.6000 cache size  1635798, 99119244 req, miss ratio 0.0510, byte miss ratio 0.0510
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.6000 cache size  3271596, 99119244 req, miss ratio 0.0422, byte miss ratio 0.0422
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.1000 cache size     4089, 99119244 req, miss ratio 0.4334, byte miss ratio 0.4334
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.1000 cache size    12268, 99119244 req, miss ratio 0.3494, byte miss ratio 0.3494
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.1000 cache size    40894, 99119244 req, miss ratio 0.2683, byte miss ratio 0.2683
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.1000 cache size   122684, 99119244 req, miss ratio 0.1938, byte miss ratio 0.1938
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.1000 cache size   408949, 99119244 req, miss ratio 0.1169, byte miss ratio 0.1169
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.1000 cache size   817899, 99119244 req, miss ratio 0.0829, byte miss ratio 0.0829
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.1000 cache size  1635798, 99119244 req, miss ratio 0.0592, byte miss ratio 0.0592
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.1000 cache size  3271596, 99119244 req, miss ratio 0.0433, byte miss ratio 0.0433
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.5000 cache size     4089, 99119244 req, miss ratio 0.4264, byte miss ratio 0.4264
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.5000 cache size    12268, 99119244 req, miss ratio 0.3250, byte miss ratio 0.3250
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.5000 cache size    40894, 99119244 req, miss ratio 0.2366, byte miss ratio 0.2366
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.5000 cache size   122684, 99119244 req, miss ratio 0.1701, byte miss ratio 0.1701
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.5000 cache size   408949, 99119244 req, miss ratio 0.0975, byte miss ratio 0.0975
