w01.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size 12280401, 215796257 req, miss ratio 0.8250, byte miss ratio 0.8250
w01.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size 24560802, 215796257 req, miss ratio 0.8106, byte miss ratio 0.8106
w01.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size 49121605, 215796257 req, miss ratio 0.7578, byte miss ratio 0.7578
w01.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size 98243210, 215796257 req, miss ratio 0.7113, byte miss ratio 0.7113
w01.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size   122804, 215796257 req, miss ratio 0.8445, byte miss ratio 0.8445
w01.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size   368412, 215796257 req, miss ratio 0.8385, byte miss ratio 0.8385
w01.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size  1228040, 215796257 req, miss ratio 0.8348, byte miss ratio 0.8348
w01.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size  3684120, 215796257 req, miss ratio 0.8316, byte miss ratio 0.8316
w01.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size 12280401, 215796257 req, miss ratio 0.8288, byte miss ratio 0.8288
w01.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size 24560802, 215796257 req, miss ratio 0.8209, byte miss ratio 0.8209
w01.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size 49121605, 215796257 req, miss ratio 0.7720, byte miss ratio 0.7720
w01.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size 98243210, 215796257 req, miss ratio 0.5776, byte miss ratio 0.5776
w01.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size   122804, 215796257 req, miss ratio 0.8661, byte miss ratio 0.8661
w01.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size   368412, 215796257 req, miss ratio 0.8504, byte miss ratio 0.8504
w01.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size  1228040, 215796257 req, miss ratio 0.8363, byte miss ratio 0.8363
w01.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size  3684120, 215796257 req, miss ratio 0.8318, byte miss ratio 0.8318
w01.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size 12280401, 215796257 req, miss ratio 0.7957, byte miss ratio 0.7957
w01.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size 24560802, 215796257 req, miss ratio 0.7932, byte miss ratio 0.7932
w01.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size 49121605, 215796257 req, miss ratio 0.7555, byte miss ratio 0.7555
w01.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size 98243210, 215796257 req, miss ratio 0.7109, byte miss ratio 0.7109
w01.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size   122804, 215796257 req, miss ratio 0.8554, byte miss ratio 0.8554
w01.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size   368412, 215796257 req, miss ratio 0.8398, byte miss ratio 0.8398
w01.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size  1228040, 215796257 req, miss ratio 0.8348, byte miss ratio 0.8348
w01.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size  3684120, 215796257 req, miss ratio 0.8309, byte miss ratio 0.8309
w01.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size 12280401, 215796257 req, miss ratio 0.8177, byte miss ratio 0.8177
w01.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size 24560802, 215796257 req, miss ratio 0.7932, byte miss ratio 0.7932
w01.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size 49121605, 215796257 req, miss ratio 0.7564, byte miss ratio 0.7564
w01.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size 98243210, 215796257 req, miss ratio 0.7109, byte miss ratio 0.7109
w01.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size   122804, 215796257 req, miss ratio 0.8433, byte miss ratio 0.8433
w01.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size   368412, 215796257 req, miss ratio 0.8385, byte miss ratio 0.8385
w01.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size  1228040, 215796257 req, miss ratio 0.8343, byte miss ratio 0.8343
w01.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size  3684120, 215796257 req, miss ratio 0.8314, byte miss ratio 0.8314
w01.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size 12280401, 215796257 req, miss ratio 0.8225, byte miss ratio 0.8225
w01.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size 24560802, 215796257 req, miss ratio 0.8035, byte miss ratio 0.8035
w01.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size 49121605, 215796257 req, miss ratio 0.7566, byte miss ratio 0.7566
w01.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size 98243210, 215796257 req, miss ratio 0.7116, byte miss ratio 0.7116
w01.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size   122804, 215796257 req, miss ratio 0.8465, byte miss ratio 0.8465
w01.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size   368412, 215796257 req, miss ratio 0.8386, byte miss ratio 0.8386
w01.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size  1228040, 215796257 req, miss ratio 0.8352, byte miss ratio 0.8352
w01.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size  3684120, 215796257 req, miss ratio 0.8318, byte miss ratio 0.8318
w01.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size 12280401, 215796257 req, miss ratio 0.8289, byte miss ratio 0.8289
w01.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size 24560802, 215796257 req, miss ratio 0.8223, byte miss ratio 0.8223
w01.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size 49121605, 215796257 req, miss ratio 0.7694, byte miss ratio 0.7694
w01.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size 98243210, 215796257 req, miss ratio 0.5713, byte miss ratio 0.5713
w01.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size   122804, 215796257 req, miss ratio 0.8564, byte miss ratio 0.8564
w01.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size   368412, 215796257 req, miss ratio 0.8416, byte miss ratio 0.8416
w01.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size  1228040, 215796257 req, miss ratio 0.8359, byte miss ratio 0.8359
w01.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size  3684120, 215796257 req, miss ratio 0.8329, byte miss ratio 0.8329
w01.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size 12280401, 215796257 req, miss ratio 0.8298, byte miss ratio 0.8298
w01.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size 24560802, 215796257 req, miss ratio 0.8257, byte miss ratio 0.8257
w01.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size 49121605, 215796257 req, miss ratio 0.7684, byte miss ratio 0.7684
w01.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size 98243210, 215796257 req, miss ratio 0.5713, byte miss ratio 0.5713
w01.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size   122804, 215796257 req, miss ratio 0.8593, byte miss ratio 0.8593
w01.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size   368412, 215796257 req, miss ratio 0.8411, byte miss ratio 0.8411
w01.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size  1228040, 215796257 req, miss ratio 0.8350, byte miss ratio 0.8350
w01.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size  3684120, 215796257 req, miss ratio 0.8311, byte miss ratio 0.8311
w01.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size 12280401, 215796257 req, miss ratio 0.8151, byte miss ratio 0.8151
w01.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size 24560802, 215796257 req, miss ratio 0.7931, byte miss ratio 0.7931
w01.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size 49121605, 215796257 req, miss ratio 0.7562, byte miss ratio 0.7562
w01.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size 98243210, 215796257 req, miss ratio 0.7109, byte miss ratio 0.7109
w01.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size   122804, 215796257 req, miss ratio 0.8659, byte miss ratio 0.8659
w01.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size   368412, 215796257 req, miss ratio 0.8502, byte miss ratio 0.8502
w01.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size  1228040, 215796257 req, miss ratio 0.8359, byte miss ratio 0.8359
w01.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size  3684120, 215796257 req, miss ratio 0.8317, byte miss ratio 0.8317
w01.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size 12280401, 215796257 req, miss ratio 0.8071, byte miss ratio 0.8071
w01.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size 24560802, 215796257 req, miss ratio 0.7934, byte miss ratio 0.7934
w01.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size 49121605, 215796257 req, miss ratio 0.7560, byte miss ratio 0.7560
w01.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size 98243210, 215796257 req, miss ratio 0.7109, byte miss ratio 0.7109
w01.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size   122804, 215796257 req, miss ratio 0.8499, byte miss ratio 0.8499
w01.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size   368412, 215796257 req, miss ratio 0.8391, byte miss ratio 0.8391
w01.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size  1228040, 215796257 req, miss ratio 0.8356, byte miss ratio 0.8356
