tencentBlock.ns9296 S3FIFO-0.9000-0.9000 cache size    67459, 4957575 req, miss ratio 0.2406, byte miss ratio 0.2406
tencentBlock.ns9296 S3FIFO-0.9000-0.9000 cache size   134919, 4957575 req, miss ratio 0.1941, byte miss ratio 0.1941
tencentBlock.ns9296 S3FIFO-0.9000-0.9000 cache size   269838, 4957575 req, miss ratio 0.1584, byte miss ratio 0.1584
tencentBlock.ns9296 S3FIFO-0.9000-0.9000 cache size   539677, 4957575 req, miss ratio 0.1414, byte miss ratio 0.1414
tencentBlock.ns9296 S3FIFO-0.7500-1.9000 cache size      674, 4957575 req, miss ratio 0.5202, byte miss ratio 0.5202
tencentBlock.ns9296 S3FIFO-0.7500-1.9000 cache size     2023, 4957575 req, miss ratio 0.4220, byte miss ratio 0.4220
tencentBlock.ns9296 S3FIFO-0.7500-1.9000 cache size     6745, 4957575 req, miss ratio 0.3346, byte miss ratio 0.3346
tencentBlock.ns9296 S3FIFO-0.7500-1.9000 cache size    20237, 4957575 req, miss ratio 0.2992, byte miss ratio 0.2992
tencentBlock.ns9296 S3FIFO-0.7500-1.9000 cache size    67459, 4957575 req, miss ratio 0.2380, byte miss ratio 0.2380
tencentBlock.ns9296 S3FIFO-0.7500-1.9000 cache size   134919, 4957575 req, miss ratio 0.1933, byte miss ratio 0.1933
tencentBlock.ns9296 S3FIFO-0.7500-1.9000 cache size   269838, 4957575 req, miss ratio 0.1547, byte miss ratio 0.1547
tencentBlock.ns9296 S3FIFO-0.7500-1.9000 cache size   539677, 4957575 req, miss ratio 0.1384, byte miss ratio 0.1384
tencentBlock.ns9296 S3FIFO-0.8000-1.9000 cache size      674, 4957575 req, miss ratio 0.5297, byte miss ratio 0.5297
tencentBlock.ns9296 S3FIFO-0.8000-1.9000 cache size     2023, 4957575 req, miss ratio 0.4288, byte miss ratio 0.4288
tencentBlock.ns9296 S3FIFO-0.8000-1.9000 cache size     6745, 4957575 req, miss ratio 0.3401, byte miss ratio 0.3401
tencentBlock.ns9296 S3FIFO-0.8000-1.9000 cache size    20237, 4957575 req, miss ratio 0.2999, byte miss ratio 0.2999
tencentBlock.ns9296 S3FIFO-0.8000-1.9000 cache size    67459, 4957575 req, miss ratio 0.2383, byte miss ratio 0.2383
tencentBlock.ns9296 S3FIFO-0.8000-1.9000 cache size   134919, 4957575 req, miss ratio 0.1939, byte miss ratio 0.1939
tencentBlock.ns9296 S3FIFO-0.8000-1.9000 cache size   269838, 4957575 req, miss ratio 0.1556, byte miss ratio 0.1556
tencentBlock.ns9296 S3FIFO-0.8000-1.9000 cache size   539677, 4957575 req, miss ratio 0.1394, byte miss ratio 0.1394
tencentBlock.ns9296 S3FIFO-0.4500-1.9000 cache size      674, 4957575 req, miss ratio 0.4995, byte miss ratio 0.4995
tencentBlock.ns9296 S3FIFO-0.4500-1.9000 cache size     2023, 4957575 req, miss ratio 0.3731, byte miss ratio 0.3731
tencentBlock.ns9296 S3FIFO-0.4500-1.9000 cache size     6745, 4957575 req, miss ratio 0.3293, byte miss ratio 0.3293
tencentBlock.ns9296 S3FIFO-0.4500-1.9000 cache size    20237, 4957575 req, miss ratio 0.2921, byte miss ratio 0.2921
tencentBlock.ns9296 S3FIFO-0.4500-1.9000 cache size    67459, 4957575 req, miss ratio 0.2365, byte miss ratio 0.2365
tencentBlock.ns9296 S3FIFO-0.4500-1.9000 cache size   134919, 4957575 req, miss ratio 0.1887, byte miss ratio 0.1887
tencentBlock.ns9296 S3FIFO-0.4500-1.9000 cache size   269838, 4957575 req, miss ratio 0.1528, byte miss ratio 0.1528
