index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size  4128062, 235444220 req, miss ratio 0.0460, byte miss ratio 0.0460
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size  8256124, 235444220 req, miss ratio 0.0443, byte miss ratio 0.0443
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size    10320, 235444220 req, miss ratio 0.1958, byte miss ratio 0.1958
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size    30960, 235444220 req, miss ratio 0.1394, byte miss ratio 0.1394
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size   103201, 235444220 req, miss ratio 0.0938, byte miss ratio 0.0938
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size   309604, 235444220 req, miss ratio 0.0683, byte miss ratio 0.0683
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size  1032015, 235444220 req, miss ratio 0.0530, byte miss ratio 0.0530
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size  2064031, 235444220 req, miss ratio 0.0481, byte miss ratio 0.0481
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size  4128062, 235444220 req, miss ratio 0.0458, byte miss ratio 0.0458
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size  8256124, 235444220 req, miss ratio 0.0443, byte miss ratio 0.0443
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size    10320, 235444220 req, miss ratio 0.2253, byte miss ratio 0.2253
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size    30960, 235444220 req, miss ratio 0.1637, byte miss ratio 0.1637
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size   103201, 235444220 req, miss ratio 0.1116, byte miss ratio 0.1116
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size   309604, 235444220 req, miss ratio 0.0796, byte miss ratio 0.0796
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size  1032015, 235444220 req, miss ratio 0.0589, byte miss ratio 0.0589
