ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.0000 cache size   582533, 225290879 req, miss ratio 0.0061, byte miss ratio 0.0061
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.1000 cache size      728, 225290879 req, miss ratio 0.5500, byte miss ratio 0.5500
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.1000 cache size     2184, 225290879 req, miss ratio 0.4127, byte miss ratio 0.4127
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.1000 cache size     7281, 225290879 req, miss ratio 0.2674, byte miss ratio 0.2674
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.1000 cache size    21845, 225290879 req, miss ratio 0.1586, byte miss ratio 0.1586
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.1000 cache size    72816, 225290879 req, miss ratio 0.0850, byte miss ratio 0.0850
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.1000 cache size   145633, 225290879 req, miss ratio 0.0584, byte miss ratio 0.0584
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.1000 cache size   291266, 225290879 req, miss ratio 0.0315, byte miss ratio 0.0315
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.1000 cache size   582533, 225290879 req, miss ratio 0.0052, byte miss ratio 0.0052
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.3000 cache size      728, 225290879 req, miss ratio 0.5507, byte miss ratio 0.5507
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.3000 cache size     2184, 225290879 req, miss ratio 0.4125, byte miss ratio 0.4125
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.3000 cache size     7281, 225290879 req, miss ratio 0.2642, byte miss ratio 0.2642
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.3000 cache size    21845, 225290879 req, miss ratio 0.1570, byte miss ratio 0.1570
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.3000 cache size    72816, 225290879 req, miss ratio 0.0836, byte miss ratio 0.0836
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.3000 cache size   145633, 225290879 req, miss ratio 0.0574, byte miss ratio 0.0574
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.3000 cache size   291266, 225290879 req, miss ratio 0.0313, byte miss ratio 0.0313
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.3000 cache size   582533, 225290879 req, miss ratio 0.0050, byte miss ratio 0.0050
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.2000 cache size      728, 225290879 req, miss ratio 0.5560, byte miss ratio 0.5560
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.2000 cache size     2184, 225290879 req, miss ratio 0.4254, byte miss ratio 0.4254
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.2000 cache size     7281, 225290879 req, miss ratio 0.2497, byte miss ratio 0.2497
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.2000 cache size    21845, 225290879 req, miss ratio 0.1484, byte miss ratio 0.1484
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.2000 cache size    72816, 225290879 req, miss ratio 0.0769, byte miss ratio 0.0769
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.2000 cache size   145633, 225290879 req, miss ratio 0.0527, byte miss ratio 0.0527
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.2000 cache size   291266, 225290879 req, miss ratio 0.0349, byte miss ratio 0.0349
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.2000 cache size   582533, 225290879 req, miss ratio 0.0043, byte miss ratio 0.0043
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.8000 cache size      728, 225290879 req, miss ratio 0.5372, byte miss ratio 0.5372
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.8000 cache size     2184, 225290879 req, miss ratio 0.4237, byte miss ratio 0.4237
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.8000 cache size     7281, 225290879 req, miss ratio 0.2860, byte miss ratio 0.2860
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.8000 cache size    21845, 225290879 req, miss ratio 0.1719, byte miss ratio 0.1719
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.8000 cache size    72816, 225290879 req, miss ratio 0.0933, byte miss ratio 0.0933
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.8000 cache size   145633, 225290879 req, miss ratio 0.0648, byte miss ratio 0.0648
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.8000 cache size   291266, 225290879 req, miss ratio 0.0340, byte miss ratio 0.0340
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.8000 cache size   582533, 225290879 req, miss ratio 0.0059, byte miss ratio 0.0059
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-2.0000 cache size      728, 225290879 req, miss ratio 0.5367, byte miss ratio 0.5367
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-2.0000 cache size     2184, 225290879 req, miss ratio 0.4239, byte miss ratio 0.4239
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-2.0000 cache size     7281, 225290879 req, miss ratio 0.2859, byte miss ratio 0.2859
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-2.0000 cache size    21845, 225290879 req, miss ratio 0.1719, byte miss ratio 0.1719
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-2.0000 cache size    72816, 225290879 req, miss ratio 0.0933, byte miss ratio 0.0933
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-2.0000 cache size   145633, 225290879 req, miss ratio 0.0648, byte miss ratio 0.0648
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-2.0000 cache size   291266, 225290879 req, miss ratio 0.0340, byte miss ratio 0.0340
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-2.0000 cache size   582533, 225290879 req, miss ratio 0.0059, byte miss ratio 0.0059
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.6000 cache size      728, 225290879 req, miss ratio 0.5423, byte miss ratio 0.5423
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.6000 cache size     2184, 225290879 req, miss ratio 0.4214, byte miss ratio 0.4214
