cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size    75471, 3138748 req, miss ratio 0.1204, byte miss ratio 0.1204
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size   150942, 3138748 req, miss ratio 0.1203, byte miss ratio 0.1203
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size   301884, 3138748 req, miss ratio 0.1202, byte miss ratio 0.1202
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size      377, 3138748 req, miss ratio 0.1241, byte miss ratio 0.1241
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size     1132, 3138748 req, miss ratio 0.1221, byte miss ratio 0.1221
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size     3773, 3138748 req, miss ratio 0.1215, byte miss ratio 0.1215
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size    11320, 3138748 req, miss ratio 0.1210, byte miss ratio 0.1210
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size    37735, 3138748 req, miss ratio 0.1205, byte miss ratio 0.1205
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size    75471, 3138748 req, miss ratio 0.1204, byte miss ratio 0.1204
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size   150942, 3138748 req, miss ratio 0.1203, byte miss ratio 0.1203
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size   301884, 3138748 req, miss ratio 0.1202, byte miss ratio 0.1202
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size      377, 3138748 req, miss ratio 0.1264, byte miss ratio 0.1264
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size     1132, 3138748 req, miss ratio 0.1233, byte miss ratio 0.1233
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size     3773, 3138748 req, miss ratio 0.1215, byte miss ratio 0.1215
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size    11320, 3138748 req, miss ratio 0.1210, byte miss ratio 0.1210
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size    37735, 3138748 req, miss ratio 0.1205, byte miss ratio 0.1205
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size    75471, 3138748 req, miss ratio 0.1204, byte miss ratio 0.1204
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size   150942, 3138748 req, miss ratio 0.1203, byte miss ratio 0.1203
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size   301884, 3138748 req, miss ratio 0.1202, byte miss ratio 0.1202
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size      377, 3138748 req, miss ratio 0.1239, byte miss ratio 0.1239
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size     1132, 3138748 req, miss ratio 0.1221, byte miss ratio 0.1221
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size     3773, 3138748 req, miss ratio 0.1214, byte miss ratio 0.1214
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size    11320, 3138748 req, miss ratio 0.1210, byte miss ratio 0.1210
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size    37735, 3138748 req, miss ratio 0.1205, byte miss ratio 0.1205
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size    75471, 3138748 req, miss ratio 0.1204, byte miss ratio 0.1204
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size   150942, 3138748 req, miss ratio 0.1203, byte miss ratio 0.1203
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size   301884, 3138748 req, miss ratio 0.1202, byte miss ratio 0.1202
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size      377, 3138748 req, miss ratio 0.1266, byte miss ratio 0.1266
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size     1132, 3138748 req, miss ratio 0.1234, byte miss ratio 0.1234
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size     3773, 3138748 req, miss ratio 0.1222, byte miss ratio 0.1222
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size    11320, 3138748 req, miss ratio 0.1215, byte miss ratio 0.1215
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size    37735, 3138748 req, miss ratio 0.1210, byte miss ratio 0.1210
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size    75471, 3138748 req, miss ratio 0.1207, byte miss ratio 0.1207
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size   150942, 3138748 req, miss ratio 0.1204, byte miss ratio 0.1204
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size   301884, 3138748 req, miss ratio 0.1203, byte miss ratio 0.1203
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size      377, 3138748 req, miss ratio 0.1286, byte miss ratio 0.1286
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size     1132, 3138748 req, miss ratio 0.1245, byte miss ratio 0.1245
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size     3773, 3138748 req, miss ratio 0.1219, byte miss ratio 0.1219
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size    11320, 3138748 req, miss ratio 0.1210, byte miss ratio 0.1210
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size    37735, 3138748 req, miss ratio 0.1205, byte miss ratio 0.1205
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size    75471, 3138748 req, miss ratio 0.1204, byte miss ratio 0.1204
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size   150942, 3138748 req, miss ratio 0.1203, byte miss ratio 0.1203
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size   301884, 3138748 req, miss ratio 0.1202, byte miss ratio 0.1202
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size      377, 3138748 req, miss ratio 0.1250, byte miss ratio 0.1250
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size     1132, 3138748 req, miss ratio 0.1224, byte miss ratio 0.1224
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size     3773, 3138748 req, miss ratio 0.1214, byte miss ratio 0.1214
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size    11320, 3138748 req, miss ratio 0.1209, byte miss ratio 0.1209
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size    37735, 3138748 req, miss ratio 0.1205, byte miss ratio 0.1205
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size    75471, 3138748 req, miss ratio 0.1204, byte miss ratio 0.1204
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size   150942, 3138748 req, miss ratio 0.1203, byte miss ratio 0.1203
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size   301884, 3138748 req, miss ratio 0.1202, byte miss ratio 0.1202
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size      377, 3138748 req, miss ratio 0.1248, byte miss ratio 0.1248
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size     1132, 3138748 req, miss ratio 0.1230, byte miss ratio 0.1230
