ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size    17535, 311690077 req, miss ratio 0.1815, byte miss ratio 0.1815
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size    52605, 311690077 req, miss ratio 0.1193, byte miss ratio 0.1193
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size   175351, 311690077 req, miss ratio 0.0721, byte miss ratio 0.0721
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size   350702, 311690077 req, miss ratio 0.0551, byte miss ratio 0.0551
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size   701404, 311690077 req, miss ratio 0.0234, byte miss ratio 0.0234
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size  1402808, 311690077 req, miss ratio 0.0074, byte miss ratio 0.0074
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size     1753, 311690077 req, miss ratio 0.3230, byte miss ratio 0.3230
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size     5260, 311690077 req, miss ratio 0.2548, byte miss ratio 0.2548
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size    17535, 311690077 req, miss ratio 0.1768, byte miss ratio 0.1768
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size    52605, 311690077 req, miss ratio 0.1154, byte miss ratio 0.1154
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size   175351, 311690077 req, miss ratio 0.0696, byte miss ratio 0.0696
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size   350702, 311690077 req, miss ratio 0.0533, byte miss ratio 0.0533
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size   701404, 311690077 req, miss ratio 0.0223, byte miss ratio 0.0223
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size  1402808, 311690077 req, miss ratio 0.0070, byte miss ratio 0.0070
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size     1753, 311690077 req, miss ratio 0.3123, byte miss ratio 0.3123
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size     5260, 311690077 req, miss ratio 0.2423, byte miss ratio 0.2423
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size    17535, 311690077 req, miss ratio 0.1649, byte miss ratio 0.1649
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size    52605, 311690077 req, miss ratio 0.1058, byte miss ratio 0.1058
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size   175351, 311690077 req, miss ratio 0.0640, byte miss ratio 0.0640
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size   350702, 311690077 req, miss ratio 0.0492, byte miss ratio 0.0492
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size   701404, 311690077 req, miss ratio 0.0180, byte miss ratio 0.0180
