cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size    25436, 1187208 req, miss ratio 0.2202, byte miss ratio 0.2202
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size    50873, 1187208 req, miss ratio 0.2164, byte miss ratio 0.2164
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size   101746, 1187208 req, miss ratio 0.2143, byte miss ratio 0.2143
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size   203493, 1187208 req, miss ratio 0.2143, byte miss ratio 0.2143
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size      254, 1187208 req, miss ratio 0.2757, byte miss ratio 0.2757
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size      763, 1187208 req, miss ratio 0.2702, byte miss ratio 0.2702
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size     2543, 1187208 req, miss ratio 0.2572, byte miss ratio 0.2572
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size     7631, 1187208 req, miss ratio 0.2390, byte miss ratio 0.2390
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size    25436, 1187208 req, miss ratio 0.2197, byte miss ratio 0.2197
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size    50873, 1187208 req, miss ratio 0.2162, byte miss ratio 0.2162
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size   101746, 1187208 req, miss ratio 0.2144, byte miss ratio 0.2144
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size   203493, 1187208 req, miss ratio 0.2143, byte miss ratio 0.2143
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size      254, 1187208 req, miss ratio 0.2748, byte miss ratio 0.2748
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size      763, 1187208 req, miss ratio 0.2694, byte miss ratio 0.2694
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size     2543, 1187208 req, miss ratio 0.2572, byte miss ratio 0.2572
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size     7631, 1187208 req, miss ratio 0.2370, byte miss ratio 0.2370
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size    25436, 1187208 req, miss ratio 0.2202, byte miss ratio 0.2202
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size    50873, 1187208 req, miss ratio 0.2162, byte miss ratio 0.2162
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size   101746, 1187208 req, miss ratio 0.2143, byte miss ratio 0.2143
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size   203493, 1187208 req, miss ratio 0.2143, byte miss ratio 0.2143
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size      254, 1187208 req, miss ratio 0.2768, byte miss ratio 0.2768
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size      763, 1187208 req, miss ratio 0.2707, byte miss ratio 0.2707
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size     2543, 1187208 req, miss ratio 0.2551, byte miss ratio 0.2551
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size     7631, 1187208 req, miss ratio 0.2370, byte miss ratio 0.2370
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size    25436, 1187208 req, miss ratio 0.2239, byte miss ratio 0.2239
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size    50873, 1187208 req, miss ratio 0.2172, byte miss ratio 0.2172
