geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size   519085, 924495397 req, miss ratio 0.0078, byte miss ratio 0.0078
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size  1038171, 924495397 req, miss ratio 0.0016, byte miss ratio 0.0016
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size     1297, 924495397 req, miss ratio 0.4051, byte miss ratio 0.4051
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size     3893, 924495397 req, miss ratio 0.2689, byte miss ratio 0.2689
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size    12977, 924495397 req, miss ratio 0.1654, byte miss ratio 0.1654
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size    38931, 924495397 req, miss ratio 0.1005, byte miss ratio 0.1005
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size   129771, 924495397 req, miss ratio 0.0611, byte miss ratio 0.0611
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size   259542, 924495397 req, miss ratio 0.0335, byte miss ratio 0.0335
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size   519085, 924495397 req, miss ratio 0.0121, byte miss ratio 0.0121
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size  1038171, 924495397 req, miss ratio 0.0023, byte miss ratio 0.0023
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size     1297, 924495397 req, miss ratio 0.3536, byte miss ratio 0.3536
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size     3893, 924495397 req, miss ratio 0.2134, byte miss ratio 0.2134
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size    12977, 924495397 req, miss ratio 0.1232, byte miss ratio 0.1232
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size    38931, 924495397 req, miss ratio 0.0781, byte miss ratio 0.0781
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size   129771, 924495397 req, miss ratio 0.0507, byte miss ratio 0.0507
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size   259542, 924495397 req, miss ratio 0.0267, byte miss ratio 0.0267
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size   519085, 924495397 req, miss ratio 0.0070, byte miss ratio 0.0070
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size  1038171, 924495397 req, miss ratio 0.0016, byte miss ratio 0.0016
