tencentBlock.ns2079 S3FIFO-0.8500-1.9000 cache size    10055, 85128825 req, miss ratio 0.6225, byte miss ratio 0.6225
tencentBlock.ns2079 S3FIFO-0.8500-1.9000 cache size    30165, 85128825 req, miss ratio 0.4776, byte miss ratio 0.4776
tencentBlock.ns2079 S3FIFO-0.8500-1.9000 cache size   100550, 85128825 req, miss ratio 0.2785, byte miss ratio 0.2785
tencentBlock.ns2079 S3FIFO-0.8500-1.9000 cache size   301650, 85128825 req, miss ratio 0.1859, byte miss ratio 0.1859
tencentBlock.ns2079 S3FIFO-0.8500-1.9000 cache size  1005502, 85128825 req, miss ratio 0.1496, byte miss ratio 0.1496
tencentBlock.ns2079 S3FIFO-0.8500-1.9000 cache size  2011004, 85128825 req, miss ratio 0.1341, byte miss ratio 0.1341
tencentBlock.ns2079 S3FIFO-0.8500-1.9000 cache size  4022008, 85128825 req, miss ratio 0.1202, byte miss ratio 0.1202
tencentBlock.ns2079 S3FIFO-0.8500-1.9000 cache size  8044017, 85128825 req, miss ratio 0.1181, byte miss ratio 0.1181
tencentBlock.ns2079 S3FIFO-0.9000-1.9000 cache size    10055, 85128825 req, miss ratio 0.6228, byte miss ratio 0.6228
tencentBlock.ns2079 S3FIFO-0.9000-1.9000 cache size    30165, 85128825 req, miss ratio 0.4812, byte miss ratio 0.4812
tencentBlock.ns2079 S3FIFO-0.9000-1.9000 cache size   100550, 85128825 req, miss ratio 0.2861, byte miss ratio 0.2861
tencentBlock.ns2079 S3FIFO-0.9000-1.9000 cache size   301650, 85128825 req, miss ratio 0.1924, byte miss ratio 0.1924
tencentBlock.ns2079 S3FIFO-0.9000-1.9000 cache size  1005502, 85128825 req, miss ratio 0.1501, byte miss ratio 0.1501
tencentBlock.ns2079 S3FIFO-0.9000-1.9000 cache size  2011004, 85128825 req, miss ratio 0.1346, byte miss ratio 0.1346
tencentBlock.ns2079 S3FIFO-0.9000-1.9000 cache size  4022008, 85128825 req, miss ratio 0.1203, byte miss ratio 0.1203
tencentBlock.ns2079 S3FIFO-0.9000-1.9000 cache size  8044017, 85128825 req, miss ratio 0.1181, byte miss ratio 0.1181
tencentBlock.ns2079 S3FIFO-0.4500-0.9000 cache size    10055, 85128825 req, miss ratio 0.5990, byte miss ratio 0.5990
tencentBlock.ns2079 S3FIFO-0.4500-0.9000 cache size    30165, 85128825 req, miss ratio 0.4282, byte miss ratio 0.4282
tencentBlock.ns2079 S3FIFO-0.4500-0.9000 cache size   100550, 85128825 req, miss ratio 0.2119, byte miss ratio 0.2119
tencentBlock.ns2079 S3FIFO-0.4500-0.9000 cache size   301650, 85128825 req, miss ratio 0.1705, byte miss ratio 0.1705
tencentBlock.ns2079 S3FIFO-0.4500-0.9000 cache size  1005502, 85128825 req, miss ratio 0.1512, byte miss ratio 0.1512
tencentBlock.ns2079 S3FIFO-0.4500-0.9000 cache size  2011004, 85128825 req, miss ratio 0.1341, byte miss ratio 0.1341
tencentBlock.ns2079 S3FIFO-0.4500-0.9000 cache size  4022008, 85128825 req, miss ratio 0.1219, byte miss ratio 0.1219
tencentBlock.ns2079 S3FIFO-0.4500-0.9000 cache size  8044017, 85128825 req, miss ratio 0.1181, byte miss ratio 0.1181
tencentBlock.ns2079 S3FIFO-0.5500-0.9000 cache size    10055, 85128825 req, miss ratio 0.6064, byte miss ratio 0.6064
tencentBlock.ns2079 S3FIFO-0.5500-0.9000 cache size    30165, 85128825 req, miss ratio 0.4405, byte miss ratio 0.4405
tencentBlock.ns2079 S3FIFO-0.5500-0.9000 cache size   100550, 85128825 req, miss ratio 0.2290, byte miss ratio 0.2290
tencentBlock.ns2079 S3FIFO-0.5500-0.9000 cache size   301650, 85128825 req, miss ratio 0.1712, byte miss ratio 0.1712
tencentBlock.ns2079 S3FIFO-0.5500-0.9000 cache size  1005502, 85128825 req, miss ratio 0.1505, byte miss ratio 0.1505
tencentBlock.ns2079 S3FIFO-0.5500-0.9000 cache size  2011004, 85128825 req, miss ratio 0.1339, byte miss ratio 0.1339
tencentBlock.ns2079 S3FIFO-0.5500-0.9000 cache size  4022008, 85128825 req, miss ratio 0.1211, byte miss ratio 0.1211
tencentBlock.ns2079 S3FIFO-0.5500-0.9000 cache size  8044017, 85128825 req, miss ratio 0.1181, byte miss ratio 0.1181
tencentBlock.ns2079 S3FIFO-0.9900-0.9000 cache size    10055, 85128825 req, miss ratio 0.6265, byte miss ratio 0.6265
tencentBlock.ns2079 S3FIFO-0.9900-0.9000 cache size    30165, 85128825 req, miss ratio 0.4840, byte miss ratio 0.4840
tencentBlock.ns2079 S3FIFO-0.9900-0.9000 cache size   100550, 85128825 req, miss ratio 0.2982, byte miss ratio 0.2982
tencentBlock.ns2079 S3FIFO-0.9900-0.9000 cache size   301650, 85128825 req, miss ratio 0.2046, byte miss ratio 0.2046
tencentBlock.ns2079 S3FIFO-0.9900-0.9000 cache size  1005502, 85128825 req, miss ratio 0.1566, byte miss ratio 0.1566
tencentBlock.ns2079 S3FIFO-0.9900-0.9000 cache size  2011004, 85128825 req, miss ratio 0.1385, byte miss ratio 0.1385
tencentBlock.ns2079 S3FIFO-0.9900-0.9000 cache size  4022008, 85128825 req, miss ratio 0.1216, byte miss ratio 0.1216
tencentBlock.ns2079 S3FIFO-0.9900-0.9000 cache size  8044017, 85128825 req, miss ratio 0.1182, byte miss ratio 0.1182
tencentBlock.ns2079 S3FIFO-0.4500-1.9000 cache size    10055, 85128825 req, miss ratio 0.6038, byte miss ratio 0.6038
tencentBlock.ns2079 S3FIFO-0.4500-1.9000 cache size    30165, 85128825 req, miss ratio 0.4328, byte miss ratio 0.4328
tencentBlock.ns2079 S3FIFO-0.4500-1.9000 cache size   100550, 85128825 req, miss ratio 0.2130, byte miss ratio 0.2130
tencentBlock.ns2079 S3FIFO-0.4500-1.9000 cache size   301650, 85128825 req, miss ratio 0.1707, byte miss ratio 0.1707
tencentBlock.ns2079 S3FIFO-0.4500-1.9000 cache size  1005502, 85128825 req, miss ratio 0.1511, byte miss ratio 0.1511
tencentBlock.ns2079 S3FIFO-0.4500-1.9000 cache size  2011004, 85128825 req, miss ratio 0.1341, byte miss ratio 0.1341
tencentBlock.ns2079 S3FIFO-0.4500-1.9000 cache size  4022008, 85128825 req, miss ratio 0.1219, byte miss ratio 0.1219
tencentBlock.ns2079 S3FIFO-0.4500-1.9000 cache size  8044017, 85128825 req, miss ratio 0.1181, byte miss ratio 0.1181
tencentBlock.ns2079 S3FIFO-0.5000-1.9000 cache size    10055, 85128825 req, miss ratio 0.6077, byte miss ratio 0.6077
tencentBlock.ns2079 S3FIFO-0.5000-1.9000 cache size    30165, 85128825 req, miss ratio 0.4386, byte miss ratio 0.4386
tencentBlock.ns2079 S3FIFO-0.5000-1.9000 cache size   100550, 85128825 req, miss ratio 0.2215, byte miss ratio 0.2215
tencentBlock.ns2079 S3FIFO-0.5000-1.9000 cache size   301650, 85128825 req, miss ratio 0.1710, byte miss ratio 0.1710
tencentBlock.ns2079 S3FIFO-0.5000-1.9000 cache size  1005502, 85128825 req, miss ratio 0.1506, byte miss ratio 0.1506
tencentBlock.ns2079 S3FIFO-0.5000-1.9000 cache size  2011004, 85128825 req, miss ratio 0.1339, byte miss ratio 0.1339
tencentBlock.ns2079 S3FIFO-0.5000-1.9000 cache size  4022008, 85128825 req, miss ratio 0.1215, byte miss ratio 0.1215
tencentBlock.ns2079 S3FIFO-0.5000-1.9000 cache size  8044017, 85128825 req, miss ratio 0.1181, byte miss ratio 0.1181
tencentBlock.ns2079 S3FIFO-0.4000-1.9000 cache size    10055, 85128825 req, miss ratio 0.5998, byte miss ratio 0.5998
tencentBlock.ns2079 S3FIFO-0.4000-1.9000 cache size    30165, 85128825 req, miss ratio 0.4264, byte miss ratio 0.4264
tencentBlock.ns2079 S3FIFO-0.4000-1.9000 cache size   100550, 85128825 req, miss ratio 0.2057, byte miss ratio 0.2057
tencentBlock.ns2079 S3FIFO-0.4000-1.9000 cache size   301650, 85128825 req, miss ratio 0.1705, byte miss ratio 0.1705
tencentBlock.ns2079 S3FIFO-0.4000-1.9000 cache size  1005502, 85128825 req, miss ratio 0.1514, byte miss ratio 0.1514
tencentBlock.ns2079 S3FIFO-0.4000-1.9000 cache size  2011004, 85128825 req, miss ratio 0.1345, byte miss ratio 0.1345
tencentBlock.ns2079 S3FIFO-0.4000-1.9000 cache size  4022008, 85128825 req, miss ratio 0.1228, byte miss ratio 0.1228
tencentBlock.ns2079 S3FIFO-0.4000-1.9000 cache size  8044017, 85128825 req, miss ratio 0.1181, byte miss ratio 0.1181
tencentBlock.ns2079 S3FIFO-0.1000-1.9000 cache size    10055, 85128825 req, miss ratio 0.5640, byte miss ratio 0.5640
tencentBlock.ns2079 S3FIFO-0.1000-1.9000 cache size    30165, 85128825 req, miss ratio 0.3973, byte miss ratio 0.3973
tencentBlock.ns2079 S3FIFO-0.1000-1.9000 cache size   100550, 85128825 req, miss ratio 0.1918, byte miss ratio 0.1918
