cdn1_allcolo.ns3642 S3FIFO-0.4000-1.9000 cache size    37149, 1620818 req, miss ratio 0.2295, byte miss ratio 0.2295
cdn1_allcolo.ns3642 S3FIFO-0.4000-1.9000 cache size    74298, 1620818 req, miss ratio 0.2294, byte miss ratio 0.2294
cdn1_allcolo.ns3642 S3FIFO-0.4000-1.9000 cache size   148596, 1620818 req, miss ratio 0.2293, byte miss ratio 0.2293
cdn1_allcolo.ns3642 S3FIFO-0.4000-1.9000 cache size   297193, 1620818 req, miss ratio 0.2292, byte miss ratio 0.2292
cdn1_allcolo.ns3642 S3FIFO-0.3500-1.9000 cache size      371, 1620818 req, miss ratio 0.2711, byte miss ratio 0.2711
cdn1_allcolo.ns3642 S3FIFO-0.3500-1.9000 cache size     1114, 1620818 req, miss ratio 0.2354, byte miss ratio 0.2354
cdn1_allcolo.ns3642 S3FIFO-0.3500-1.9000 cache size     3714, 1620818 req, miss ratio 0.2307, byte miss ratio 0.2307
cdn1_allcolo.ns3642 S3FIFO-0.3500-1.9000 cache size    11144, 1620818 req, miss ratio 0.2299, byte miss ratio 0.2299
cdn1_allcolo.ns3642 S3FIFO-0.3500-1.9000 cache size    37149, 1620818 req, miss ratio 0.2295, byte miss ratio 0.2295
cdn1_allcolo.ns3642 S3FIFO-0.3500-1.9000 cache size    74298, 1620818 req, miss ratio 0.2294, byte miss ratio 0.2294
cdn1_allcolo.ns3642 S3FIFO-0.3500-1.9000 cache size   148596, 1620818 req, miss ratio 0.2293, byte miss ratio 0.2293
cdn1_allcolo.ns3642 S3FIFO-0.3500-1.9000 cache size   297193, 1620818 req, miss ratio 0.2292, byte miss ratio 0.2292
cdn1_allcolo.ns3642 S3FIFO-0.0100-1.9000 cache size      371, 1620818 req, miss ratio 0.2539, byte miss ratio 0.2539
cdn1_allcolo.ns3642 S3FIFO-0.0100-1.9000 cache size     1114, 1620818 req, miss ratio 0.2338, byte miss ratio 0.2338
cdn1_allcolo.ns3642 S3FIFO-0.0100-1.9000 cache size     3714, 1620818 req, miss ratio 0.2307, byte miss ratio 0.2307
cdn1_allcolo.ns3642 S3FIFO-0.0100-1.9000 cache size    11144, 1620818 req, miss ratio 0.2299, byte miss ratio 0.2299
cdn1_allcolo.ns3642 S3FIFO-0.0100-1.9000 cache size    37149, 1620818 req, miss ratio 0.2295, byte miss ratio 0.2295
cdn1_allcolo.ns3642 S3FIFO-0.0100-1.9000 cache size    74298, 1620818 req, miss ratio 0.2294, byte miss ratio 0.2294
cdn1_allcolo.ns3642 S3FIFO-0.0100-1.9000 cache size   148596, 1620818 req, miss ratio 0.2293, byte miss ratio 0.2293
cdn1_allcolo.ns3642 S3FIFO-0.0100-1.9000 cache size   297193, 1620818 req, miss ratio 0.2292, byte miss ratio 0.2292
cdn1_allcolo.ns3642 S3FIFO-0.4000-0.9000 cache size      371, 1620818 req, miss ratio 0.2740, byte miss ratio 0.2740
cdn1_allcolo.ns3642 S3FIFO-0.4000-0.9000 cache size     1114, 1620818 req, miss ratio 0.2366, byte miss ratio 0.2366
cdn1_allcolo.ns3642 S3FIFO-0.4000-0.9000 cache size     3714, 1620818 req, miss ratio 0.2310, byte miss ratio 0.2310
