cdn1_colo28.ns1094 S3FIFO-0.7000-1.9000 cache size       29, 1165209 req, miss ratio 0.7155, byte miss ratio 0.7155
cdn1_colo28.ns1094 S3FIFO-0.7000-1.9000 cache size       98, 1165209 req, miss ratio 0.5912, byte miss ratio 0.5912
cdn1_colo28.ns1094 S3FIFO-0.7000-1.9000 cache size      294, 1165209 req, miss ratio 0.4359, byte miss ratio 0.4359
cdn1_colo28.ns1094 S3FIFO-0.7000-1.9000 cache size      980, 1165209 req, miss ratio 0.2205, byte miss ratio 0.2205
cdn1_colo28.ns1094 S3FIFO-0.7000-1.9000 cache size     1960, 1165209 req, miss ratio 0.1224, byte miss ratio 0.1224
cdn1_colo28.ns1094 S3FIFO-0.7000-1.9000 cache size     3921, 1165209 req, miss ratio 0.0516, byte miss ratio 0.0516
cdn1_colo28.ns1094 S3FIFO-0.7000-1.9000 cache size     7842, 1165209 req, miss ratio 0.0125, byte miss ratio 0.0125
cdn1_colo28.ns1094 S3FIFO-0.5000-0.9000 cache size        9, 1165209 req, miss ratio 0.7920, byte miss ratio 0.7920
cdn1_colo28.ns1094 S3FIFO-0.5000-0.9000 cache size       29, 1165209 req, miss ratio 0.6950, byte miss ratio 0.6950
cdn1_colo28.ns1094 S3FIFO-0.5000-0.9000 cache size       98, 1165209 req, miss ratio 0.5667, byte miss ratio 0.5667
cdn1_colo28.ns1094 S3FIFO-0.5000-0.9000 cache size      294, 1165209 req, miss ratio 0.4082, byte miss ratio 0.4082
cdn1_colo28.ns1094 S3FIFO-0.5000-0.9000 cache size      980, 1165209 req, miss ratio 0.2034, byte miss ratio 0.2034
cdn1_colo28.ns1094 S3FIFO-0.5000-0.9000 cache size     1960, 1165209 req, miss ratio 0.1133, byte miss ratio 0.1133
cdn1_colo28.ns1094 S3FIFO-0.5000-0.9000 cache size     3921, 1165209 req, miss ratio 0.0468, byte miss ratio 0.0468
cdn1_colo28.ns1094 S3FIFO-0.5000-0.9000 cache size     7842, 1165209 req, miss ratio 0.0112, byte miss ratio 0.0112
cdn1_colo28.ns1094 S3FIFO-0.9000-0.9000 cache size        9, 1165209 req, miss ratio 0.8249, byte miss ratio 0.8249
cdn1_colo28.ns1094 S3FIFO-0.9000-0.9000 cache size       29, 1165209 req, miss ratio 0.7417, byte miss ratio 0.7417
cdn1_colo28.ns1094 S3FIFO-0.9000-0.9000 cache size       98, 1165209 req, miss ratio 0.6137, byte miss ratio 0.6137
cdn1_colo28.ns1094 S3FIFO-0.9000-0.9000 cache size      294, 1165209 req, miss ratio 0.4598, byte miss ratio 0.4598
cdn1_colo28.ns1094 S3FIFO-0.9000-0.9000 cache size      980, 1165209 req, miss ratio 0.2444, byte miss ratio 0.2444
cdn1_colo28.ns1094 S3FIFO-0.9000-0.9000 cache size     1960, 1165209 req, miss ratio 0.1364, byte miss ratio 0.1364
cdn1_colo28.ns1094 S3FIFO-0.9000-0.9000 cache size     3921, 1165209 req, miss ratio 0.0580, byte miss ratio 0.0580
cdn1_colo28.ns1094 S3FIFO-0.9000-0.9000 cache size     7842, 1165209 req, miss ratio 0.0138, byte miss ratio 0.0138
cdn1_colo28.ns1094 S3FIFO-0.4500-0.9000 cache size        9, 1165209 req, miss ratio 0.7920, byte miss ratio 0.7920
cdn1_colo28.ns1094 S3FIFO-0.4500-0.9000 cache size       29, 1165209 req, miss ratio 0.6935, byte miss ratio 0.6935
cdn1_colo28.ns1094 S3FIFO-0.4500-0.9000 cache size       98, 1165209 req, miss ratio 0.5624, byte miss ratio 0.5624
cdn1_colo28.ns1094 S3FIFO-0.4500-0.9000 cache size      294, 1165209 req, miss ratio 0.4019, byte miss ratio 0.4019
cdn1_colo28.ns1094 S3FIFO-0.4500-0.9000 cache size      980, 1165209 req, miss ratio 0.1986, byte miss ratio 0.1986
cdn1_colo28.ns1094 S3FIFO-0.4500-0.9000 cache size     1960, 1165209 req, miss ratio 0.1111, byte miss ratio 0.1111
cdn1_colo28.ns1094 S3FIFO-0.4500-0.9000 cache size     3921, 1165209 req, miss ratio 0.0457, byte miss ratio 0.0457
cdn1_colo28.ns1094 S3FIFO-0.4500-0.9000 cache size     7842, 1165209 req, miss ratio 0.0109, byte miss ratio 0.0109
cdn1_colo28.ns1094 S3FIFO-0.8000-0.9000 cache size        9, 1165209 req, miss ratio 0.8179, byte miss ratio 0.8179
cdn1_colo28.ns1094 S3FIFO-0.8000-0.9000 cache size       29, 1165209 req, miss ratio 0.7251, byte miss ratio 0.7251
cdn1_colo28.ns1094 S3FIFO-0.8000-0.9000 cache size       98, 1165209 req, miss ratio 0.5978, byte miss ratio 0.5978
cdn1_colo28.ns1094 S3FIFO-0.8000-0.9000 cache size      294, 1165209 req, miss ratio 0.4463, byte miss ratio 0.4463
cdn1_colo28.ns1094 S3FIFO-0.8000-0.9000 cache size      980, 1165209 req, miss ratio 0.2340, byte miss ratio 0.2340
cdn1_colo28.ns1094 S3FIFO-0.8000-0.9000 cache size     1960, 1165209 req, miss ratio 0.1298, byte miss ratio 0.1298
cdn1_colo28.ns1094 S3FIFO-0.8000-0.9000 cache size     3921, 1165209 req, miss ratio 0.0545, byte miss ratio 0.0545
cdn1_colo28.ns1094 S3FIFO-0.8000-0.9000 cache size     7842, 1165209 req, miss ratio 0.0131, byte miss ratio 0.0131
cdn1_colo28.ns1094 S3FIFO-0.6500-0.9000 cache size        9, 1165209 req, miss ratio 0.8000, byte miss ratio 0.8000
cdn1_colo28.ns1094 S3FIFO-0.6500-0.9000 cache size       29, 1165209 req, miss ratio 0.7041, byte miss ratio 0.7041
cdn1_colo28.ns1094 S3FIFO-0.6500-0.9000 cache size       98, 1165209 req, miss ratio 0.5805, byte miss ratio 0.5805
cdn1_colo28.ns1094 S3FIFO-0.6500-0.9000 cache size      294, 1165209 req, miss ratio 0.4272, byte miss ratio 0.4272
cdn1_colo28.ns1094 S3FIFO-0.6500-0.9000 cache size      980, 1165209 req, miss ratio 0.2183, byte miss ratio 0.2183
cdn1_colo28.ns1094 S3FIFO-0.6500-0.9000 cache size     1960, 1165209 req, miss ratio 0.1208, byte miss ratio 0.1208
cdn1_colo28.ns1094 S3FIFO-0.6500-0.9000 cache size     3921, 1165209 req, miss ratio 0.0504, byte miss ratio 0.0504
cdn1_colo28.ns1094 S3FIFO-0.6500-0.9000 cache size     7842, 1165209 req, miss ratio 0.0122, byte miss ratio 0.0122
cdn1_colo28.ns1094 S3FIFO-0.0500-1.9000 cache size        9, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1094 S3FIFO-0.0500-1.9000 cache size       29, 1165209 req, miss ratio 0.6885, byte miss ratio 0.6885
cdn1_colo28.ns1094 S3FIFO-0.0500-1.9000 cache size       98, 1165209 req, miss ratio 0.5504, byte miss ratio 0.5504
cdn1_colo28.ns1094 S3FIFO-0.0500-1.9000 cache size      294, 1165209 req, miss ratio 0.3674, byte miss ratio 0.3674
cdn1_colo28.ns1094 S3FIFO-0.0500-1.9000 cache size      980, 1165209 req, miss ratio 0.1745, byte miss ratio 0.1745
cdn1_colo28.ns1094 S3FIFO-0.0500-1.9000 cache size     1960, 1165209 req, miss ratio 0.0987, byte miss ratio 0.0987
cdn1_colo28.ns1094 S3FIFO-0.0500-1.9000 cache size     3921, 1165209 req, miss ratio 0.0383, byte miss ratio 0.0383
cdn1_colo28.ns1094 S3FIFO-0.0500-1.9000 cache size     7842, 1165209 req, miss ratio 0.0095, byte miss ratio 0.0095
cdn1_colo28.ns1094 S3FIFO-0.7500-1.9000 cache size        9, 1165209 req, miss ratio 0.8124, byte miss ratio 0.8124
cdn1_colo28.ns1094 S3FIFO-0.7500-1.9000 cache size       29, 1165209 req, miss ratio 0.7196, byte miss ratio 0.7196
cdn1_colo28.ns1094 S3FIFO-0.7500-1.9000 cache size       98, 1165209 req, miss ratio 0.5967, byte miss ratio 0.5967
cdn1_colo28.ns1094 S3FIFO-0.7500-1.9000 cache size      294, 1165209 req, miss ratio 0.4418, byte miss ratio 0.4418
cdn1_colo28.ns1094 S3FIFO-0.7500-1.9000 cache size      980, 1165209 req, miss ratio 0.2249, byte miss ratio 0.2249
cdn1_colo28.ns1094 S3FIFO-0.7500-1.9000 cache size     1960, 1165209 req, miss ratio 0.1252, byte miss ratio 0.1252
cdn1_colo28.ns1094 S3FIFO-0.7500-1.9000 cache size     3921, 1165209 req, miss ratio 0.0531, byte miss ratio 0.0531
cdn1_colo28.ns1094 S3FIFO-0.7500-1.9000 cache size     7842, 1165209 req, miss ratio 0.0128, byte miss ratio 0.0128
cdn1_colo28.ns1094 S3FIFO-0.1000-1.9000 cache size        9, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1094 S3FIFO-0.1000-1.9000 cache size       29, 1165209 req, miss ratio 0.6878, byte miss ratio 0.6878
cdn1_colo28.ns1094 S3FIFO-0.1000-1.9000 cache size       98, 1165209 req, miss ratio 0.5482, byte miss ratio 0.5482
cdn1_colo28.ns1094 S3FIFO-0.1000-1.9000 cache size      294, 1165209 req, miss ratio 0.3705, byte miss ratio 0.3705
cdn1_colo28.ns1094 S3FIFO-0.1000-1.9000 cache size      980, 1165209 req, miss ratio 0.1771, byte miss ratio 0.1771
cdn1_colo28.ns1094 S3FIFO-0.1000-1.9000 cache size     1960, 1165209 req, miss ratio 0.0999, byte miss ratio 0.0999
cdn1_colo28.ns1094 S3FIFO-0.1000-1.9000 cache size     3921, 1165209 req, miss ratio 0.0390, byte miss ratio 0.0390
cdn1_colo28.ns1094 S3FIFO-0.1000-1.9000 cache size     7842, 1165209 req, miss ratio 0.0096, byte miss ratio 0.0096
cdn1_colo28.ns1094 S3FIFO-0.0050-0.9000 cache size        9, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1094 S3FIFO-0.0050-0.9000 cache size       29, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1094 S3FIFO-0.0050-0.9000 cache size       98, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1094 S3FIFO-0.0050-0.9000 cache size      294, 1165209 req, miss ratio 0.3671, byte miss ratio 0.3671
