web_2.IQI.bin S3FIFO-0.3000-0.9000 cache size     1321, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.3000-0.9000 cache size     3963, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.3000-0.9000 cache size    13212, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.3000-0.9000 cache size    39638, 5175368 req, miss ratio 0.9818, byte miss ratio 0.9818
web_2.IQI.bin S3FIFO-0.3000-0.9000 cache size   132127, 5175368 req, miss ratio 0.9785, byte miss ratio 0.9785
web_2.IQI.bin S3FIFO-0.3000-0.9000 cache size   264254, 5175368 req, miss ratio 0.9679, byte miss ratio 0.9679
web_2.IQI.bin S3FIFO-0.3000-0.9000 cache size   528508, 5175368 req, miss ratio 0.7437, byte miss ratio 0.7437
web_2.IQI.bin S3FIFO-0.3000-0.9000 cache size  1057016, 5175368 req, miss ratio 0.4565, byte miss ratio 0.4565
web_2.IQI.bin S3FIFO-0.0250-0.9000 cache size     1321, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.0250-0.9000 cache size     3963, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.0250-0.9000 cache size    13212, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.0250-0.9000 cache size    39638, 5175368 req, miss ratio 0.9818, byte miss ratio 0.9818
web_2.IQI.bin S3FIFO-0.0250-0.9000 cache size   132127, 5175368 req, miss ratio 0.9785, byte miss ratio 0.9785
web_2.IQI.bin S3FIFO-0.0250-0.9000 cache size   264254, 5175368 req, miss ratio 0.9918, byte miss ratio 0.9918
web_2.IQI.bin S3FIFO-0.0250-0.9000 cache size   528508, 5175368 req, miss ratio 0.6471, byte miss ratio 0.6471
web_2.IQI.bin S3FIFO-0.0250-0.9000 cache size  1057016, 5175368 req, miss ratio 0.4185, byte miss ratio 0.4185
web_2.IQI.bin S3FIFO-0.9900-1.9000 cache size     1321, 5175368 req, miss ratio 0.9962, byte miss ratio 0.9962
web_2.IQI.bin S3FIFO-0.9900-1.9000 cache size     3963, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.9900-1.9000 cache size    13212, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.9900-1.9000 cache size    39638, 5175368 req, miss ratio 0.9957, byte miss ratio 0.9957
web_2.IQI.bin S3FIFO-0.9900-1.9000 cache size   132127, 5175368 req, miss ratio 0.9675, byte miss ratio 0.9675
web_2.IQI.bin S3FIFO-0.9900-1.9000 cache size   264254, 5175368 req, miss ratio 0.8531, byte miss ratio 0.8531
web_2.IQI.bin S3FIFO-0.9900-1.9000 cache size   528508, 5175368 req, miss ratio 0.7400, byte miss ratio 0.7400
web_2.IQI.bin S3FIFO-0.9900-1.9000 cache size  1057016, 5175368 req, miss ratio 0.4044, byte miss ratio 0.4044
web_2.IQI.bin S3FIFO-0.1500-1.9000 cache size     1321, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.1500-1.9000 cache size     3963, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.1500-1.9000 cache size    13212, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.1500-1.9000 cache size    39638, 5175368 req, miss ratio 0.9817, byte miss ratio 0.9817
web_2.IQI.bin S3FIFO-0.1500-1.9000 cache size   132127, 5175368 req, miss ratio 0.9923, byte miss ratio 0.9923
web_2.IQI.bin S3FIFO-0.1500-1.9000 cache size   264254, 5175368 req, miss ratio 0.9740, byte miss ratio 0.9740
web_2.IQI.bin S3FIFO-0.1500-1.9000 cache size   528508, 5175368 req, miss ratio 0.7515, byte miss ratio 0.7515
web_2.IQI.bin S3FIFO-0.1500-1.9000 cache size  1057016, 5175368 req, miss ratio 0.4259, byte miss ratio 0.4259
web_2.IQI.bin S3FIFO-0.7000-0.9000 cache size     1321, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.7000-0.9000 cache size     3963, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.7000-0.9000 cache size    13212, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.7000-0.9000 cache size    39638, 5175368 req, miss ratio 0.9848, byte miss ratio 0.9848
web_2.IQI.bin S3FIFO-0.7000-0.9000 cache size   132127, 5175368 req, miss ratio 0.9785, byte miss ratio 0.9785
