src1_1.IQI.bin S3FIFO-0.0050-1.9000 cache size     6170, 45746222 req, miss ratio 0.9884, byte miss ratio 0.9884
src1_1.IQI.bin S3FIFO-0.0050-1.9000 cache size    18511, 45746222 req, miss ratio 0.9765, byte miss ratio 0.9765
src1_1.IQI.bin S3FIFO-0.0050-1.9000 cache size    61705, 45746222 req, miss ratio 0.9559, byte miss ratio 0.9559
src1_1.IQI.bin S3FIFO-0.0050-1.9000 cache size   185117, 45746222 req, miss ratio 0.9339, byte miss ratio 0.9339
src1_1.IQI.bin S3FIFO-0.0050-1.9000 cache size   617059, 45746222 req, miss ratio 0.8747, byte miss ratio 0.8747
src1_1.IQI.bin S3FIFO-0.0050-1.9000 cache size  1234118, 45746222 req, miss ratio 0.6570, byte miss ratio 0.6570
src1_1.IQI.bin S3FIFO-0.0050-1.9000 cache size  2468236, 45746222 req, miss ratio 0.6353, byte miss ratio 0.6353
src1_1.IQI.bin S3FIFO-0.0050-1.9000 cache size  4936472, 45746222 req, miss ratio 0.2429, byte miss ratio 0.2429
src1_1.IQI.bin S3FIFO-0.1000-0.9000 cache size     6170, 45746222 req, miss ratio 0.9809, byte miss ratio 0.9809
src1_1.IQI.bin S3FIFO-0.1000-0.9000 cache size    18511, 45746222 req, miss ratio 0.9661, byte miss ratio 0.9661
src1_1.IQI.bin S3FIFO-0.1000-0.9000 cache size    61705, 45746222 req, miss ratio 0.9424, byte miss ratio 0.9424
src1_1.IQI.bin S3FIFO-0.1000-0.9000 cache size   185117, 45746222 req, miss ratio 0.9080, byte miss ratio 0.9080
src1_1.IQI.bin S3FIFO-0.1000-0.9000 cache size   617059, 45746222 req, miss ratio 0.8413, byte miss ratio 0.8413
src1_1.IQI.bin S3FIFO-0.1000-0.9000 cache size  1234118, 45746222 req, miss ratio 0.6678, byte miss ratio 0.6678
src1_1.IQI.bin S3FIFO-0.1000-0.9000 cache size  2468236, 45746222 req, miss ratio 0.5929, byte miss ratio 0.5929
src1_1.IQI.bin S3FIFO-0.1000-0.9000 cache size  4936472, 45746222 req, miss ratio 0.2793, byte miss ratio 0.2793
src1_1.IQI.bin S3FIFO-0.4500-1.9000 cache size     6170, 45746222 req, miss ratio 0.9746, byte miss ratio 0.9746
