observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size     3344, 14338243 req, miss ratio 0.0817, byte miss ratio 0.0817
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size    11149, 14338243 req, miss ratio 0.0787, byte miss ratio 0.0787
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size    33447, 14338243 req, miss ratio 0.0781, byte miss ratio 0.0781
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size   111491, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size   222983, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size   445966, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size   891933, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size     1114, 14338243 req, miss ratio 0.1330, byte miss ratio 0.1330
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size     3344, 14338243 req, miss ratio 0.0937, byte miss ratio 0.0937
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size    11149, 14338243 req, miss ratio 0.0853, byte miss ratio 0.0853
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size    33447, 14338243 req, miss ratio 0.0780, byte miss ratio 0.0780
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size   111491, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size   222983, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size   445966, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size   891933, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size     1114, 14338243 req, miss ratio 0.1032, byte miss ratio 0.1032
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size     3344, 14338243 req, miss ratio 0.0790, byte miss ratio 0.0790
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size    11149, 14338243 req, miss ratio 0.0780, byte miss ratio 0.0780
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size    33447, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size   111491, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size   222983, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size   445966, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size   891933, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size     1114, 14338243 req, miss ratio 0.0966, byte miss ratio 0.0966
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size     3344, 14338243 req, miss ratio 0.0791, byte miss ratio 0.0791
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size    11149, 14338243 req, miss ratio 0.0784, byte miss ratio 0.0784
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size    33447, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   111491, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   222983, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   445966, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   891933, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size     1114, 14338243 req, miss ratio 0.1104, byte miss ratio 0.1104
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size     3344, 14338243 req, miss ratio 0.0792, byte miss ratio 0.0792
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size    11149, 14338243 req, miss ratio 0.0780, byte miss ratio 0.0780
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size    33447, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size   111491, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size   222983, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size   445966, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size   891933, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size     1114, 14338243 req, miss ratio 0.1114, byte miss ratio 0.1114
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size     3344, 14338243 req, miss ratio 0.0826, byte miss ratio 0.0826
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size    11149, 14338243 req, miss ratio 0.0787, byte miss ratio 0.0787
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size    33447, 14338243 req, miss ratio 0.0781, byte miss ratio 0.0781
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size   111491, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size   222983, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size   445966, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size   891933, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size     1114, 14338243 req, miss ratio 0.1026, byte miss ratio 0.1026
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size     3344, 14338243 req, miss ratio 0.0808, byte miss ratio 0.0808
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size    11149, 14338243 req, miss ratio 0.0786, byte miss ratio 0.0786
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size    33447, 14338243 req, miss ratio 0.0779, byte miss ratio 0.0779
