pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size   242151, 643114944 req, miss ratio 0.1021, byte miss ratio 0.1021
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size   726455, 643114944 req, miss ratio 0.0685, byte miss ratio 0.0685
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size  2421516, 643114944 req, miss ratio 0.0497, byte miss ratio 0.0497
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size  4843033, 643114944 req, miss ratio 0.0431, byte miss ratio 0.0431
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size  9686067, 643114944 req, miss ratio 0.0398, byte miss ratio 0.0398
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size 19372135, 643114944 req, miss ratio 0.0379, byte miss ratio 0.0379
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.2000 cache size    24215, 643114944 req, miss ratio 0.2405, byte miss ratio 0.2405
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.2000 cache size    72645, 643114944 req, miss ratio 0.1684, byte miss ratio 0.1684
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.2000 cache size   242151, 643114944 req, miss ratio 0.1118, byte miss ratio 0.1118
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.2000 cache size   726455, 643114944 req, miss ratio 0.0761, byte miss ratio 0.0761
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.2000 cache size  2421516, 643114944 req, miss ratio 0.0535, byte miss ratio 0.0535
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.2000 cache size  4843033, 643114944 req, miss ratio 0.0458, byte miss ratio 0.0458
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.2000 cache size  9686067, 643114944 req, miss ratio 0.0409, byte miss ratio 0.0409
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.2000 cache size 19372135, 643114944 req, miss ratio 0.0383, byte miss ratio 0.0383
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.8000 cache size    24215, 643114944 req, miss ratio 0.2239, byte miss ratio 0.2239
