events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size      320, 51757858 req, miss ratio 0.0613, byte miss ratio 0.0613
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size     1067, 51757858 req, miss ratio 0.0535, byte miss ratio 0.0535
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size     3203, 51757858 req, miss ratio 0.0460, byte miss ratio 0.0460
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size    10678, 51757858 req, miss ratio 0.0285, byte miss ratio 0.0285
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size    21356, 51757858 req, miss ratio 0.0257, byte miss ratio 0.0257
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size    42712, 51757858 req, miss ratio 0.0125, byte miss ratio 0.0125
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size    85424, 51757858 req, miss ratio 0.0023, byte miss ratio 0.0023
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size      106, 51757858 req, miss ratio 0.2055, byte miss ratio 0.2055
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size      320, 51757858 req, miss ratio 0.0676, byte miss ratio 0.0676
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size     1067, 51757858 req, miss ratio 0.0562, byte miss ratio 0.0562
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size     3203, 51757858 req, miss ratio 0.0506, byte miss ratio 0.0506
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size    10678, 51757858 req, miss ratio 0.0305, byte miss ratio 0.0305
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size    21356, 51757858 req, miss ratio 0.0274, byte miss ratio 0.0274
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size    42712, 51757858 req, miss ratio 0.0159, byte miss ratio 0.0159
