top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size   791136, 120312957 req, miss ratio 0.0083, byte miss ratio 0.0083
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size      988, 120312957 req, miss ratio 0.0756, byte miss ratio 0.0756
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size     2966, 120312957 req, miss ratio 0.0416, byte miss ratio 0.0416
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size     9889, 120312957 req, miss ratio 0.0228, byte miss ratio 0.0228
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size    29667, 120312957 req, miss ratio 0.0146, byte miss ratio 0.0146
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size    98892, 120312957 req, miss ratio 0.0108, byte miss ratio 0.0108
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size   197784, 120312957 req, miss ratio 0.0096, byte miss ratio 0.0096
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size   395568, 120312957 req, miss ratio 0.0089, byte miss ratio 0.0089
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size   791136, 120312957 req, miss ratio 0.0084, byte miss ratio 0.0084
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size      988, 120312957 req, miss ratio 1.0000, byte miss ratio 1.0000
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size     2966, 120312957 req, miss ratio 0.0333, byte miss ratio 0.0333
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size     9889, 120312957 req, miss ratio 0.0180, byte miss ratio 0.0180
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size    29667, 120312957 req, miss ratio 0.0124, byte miss ratio 0.0124
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size    98892, 120312957 req, miss ratio 0.0097, byte miss ratio 0.0097
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size   197784, 120312957 req, miss ratio 0.0090, byte miss ratio 0.0090
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size   395568, 120312957 req, miss ratio 0.0087, byte miss ratio 0.0087
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size   791136, 120312957 req, miss ratio 0.0084, byte miss ratio 0.0084
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size      988, 120312957 req, miss ratio 0.0620, byte miss ratio 0.0620
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size     2966, 120312957 req, miss ratio 0.0350, byte miss ratio 0.0350
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size     9889, 120312957 req, miss ratio 0.0196, byte miss ratio 0.0196
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size    29667, 120312957 req, miss ratio 0.0126, byte miss ratio 0.0126
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size    98892, 120312957 req, miss ratio 0.0098, byte miss ratio 0.0098
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size   197784, 120312957 req, miss ratio 0.0090, byte miss ratio 0.0090
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size   395568, 120312957 req, miss ratio 0.0086, byte miss ratio 0.0086
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size   791136, 120312957 req, miss ratio 0.0083, byte miss ratio 0.0083
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size      988, 120312957 req, miss ratio 0.0564, byte miss ratio 0.0564
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size     2966, 120312957 req, miss ratio 0.0325, byte miss ratio 0.0325
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size     9889, 120312957 req, miss ratio 0.0184, byte miss ratio 0.0184
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size    29667, 120312957 req, miss ratio 0.0120, byte miss ratio 0.0120
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size    98892, 120312957 req, miss ratio 0.0095, byte miss ratio 0.0095
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size   197784, 120312957 req, miss ratio 0.0088, byte miss ratio 0.0088
