alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size   510125, 1967621586 req, miss ratio 0.3164, byte miss ratio 0.3164
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size  1700416, 1967621586 req, miss ratio 0.2372, byte miss ratio 0.2372
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size  5101250, 1967621586 req, miss ratio 0.1858, byte miss ratio 0.1858
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size 17004168, 1967621586 req, miss ratio 0.1355, byte miss ratio 0.1355
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size 34008336, 1967621586 req, miss ratio 0.1158, byte miss ratio 0.1158
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size 68016672, 1967621586 req, miss ratio 0.0989, byte miss ratio 0.0989
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size 136033344, 1967621586 req, miss ratio 0.0875, byte miss ratio 0.0875
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size   170041, 1967621586 req, miss ratio 0.3780, byte miss ratio 0.3780
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size   510125, 1967621586 req, miss ratio 0.3276, byte miss ratio 0.3276
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size  1700416, 1967621586 req, miss ratio 0.2542, byte miss ratio 0.2542
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size  5101250, 1967621586 req, miss ratio 0.2000, byte miss ratio 0.2000
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size 17004168, 1967621586 req, miss ratio 0.1403, byte miss ratio 0.1403
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size 34008336, 1967621586 req, miss ratio 0.1185, byte miss ratio 0.1185
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size 68016672, 1967621586 req, miss ratio 0.1000, byte miss ratio 0.1000
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size 136033344, 1967621586 req, miss ratio 0.0875, byte miss ratio 0.0875
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size   170041, 1967621586 req, miss ratio 0.4664, byte miss ratio 0.4664
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size   510125, 1967621586 req, miss ratio 0.3530, byte miss ratio 0.3530
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size  1700416, 1967621586 req, miss ratio 0.2724, byte miss ratio 0.2724
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size  5101250, 1967621586 req, miss ratio 0.2105, byte miss ratio 0.2105
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size 17004168, 1967621586 req, miss ratio 0.1565, byte miss ratio 0.1565
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size 34008336, 1967621586 req, miss ratio 0.1300, byte miss ratio 0.1300
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size 68016672, 1967621586 req, miss ratio 0.1063, byte miss ratio 0.1063
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size 136033344, 1967621586 req, miss ratio 0.0906, byte miss ratio 0.0906
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size   170041, 1967621586 req, miss ratio 0.3889, byte miss ratio 0.3889
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size   510125, 1967621586 req, miss ratio 0.2996, byte miss ratio 0.2996
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size  1700416, 1967621586 req, miss ratio 0.2372, byte miss ratio 0.2372
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size  5101250, 1967621586 req, miss ratio 0.1864, byte miss ratio 0.1864
