result/meta_kvcache_traces_1.oracleGeneral.bin.zst Cacheus cache size 13585704, 335173084 req, miss ratio 0.0510, byte miss ratio 0.0510
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LRB-OMR cache size    16982, 335173084 req, miss ratio 0.2807, byte miss ratio 0.2807
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LRB-OMR cache size    50946, 335173084 req, miss ratio 0.2194, byte miss ratio 0.2194
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LRB-OMR cache size   169821, 335173084 req, miss ratio 0.1568, byte miss ratio 0.1568
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LRB-OMR cache size   509463, 335173084 req, miss ratio 0.1114, byte miss ratio 0.1114
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LRB-OMR cache size  1698213, 335173084 req, miss ratio 0.0738, byte miss ratio 0.0738
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LRB-OMR cache size  3396426, 335173084 req, miss ratio 0.0635, byte miss ratio 0.0635
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LRB-OMR cache size  6792852, 335173084 req, miss ratio 0.0560, byte miss ratio 0.0560
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LRB-OMR cache size 13585704, 335173084 req, miss ratio 0.0510, byte miss ratio 0.0510
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S3FIFO-d cache size    16982, 335173084 req, miss ratio 0.2860, byte miss ratio 0.2860
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S3FIFO-d cache size    50946, 335173084 req, miss ratio 0.2185, byte miss ratio 0.2185
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S3FIFO-d cache size   169821, 335173084 req, miss ratio 0.1558, byte miss ratio 0.1558
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S3FIFO-d cache size   509463, 335173084 req, miss ratio 0.1101, byte miss ratio 0.1101
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S3FIFO-d cache size  1698213, 335173084 req, miss ratio 0.0764, byte miss ratio 0.0764
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S3FIFO-d cache size  3396426, 335173084 req, miss ratio 0.0668, byte miss ratio 0.0668
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S3FIFO-d cache size  6792852, 335173084 req, miss ratio 0.0555, byte miss ratio 0.0555
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S3FIFO-d cache size 13585704, 335173084 req, miss ratio 0.0511, byte miss ratio 0.0511
result/meta_kvcache_traces_1.oracleGeneral.bin.zst QDLPv1-0.0500-0.9000-clock2-2 cache size    16982, 335173084 req, miss ratio 0.2927, byte miss ratio 0.2927
result/meta_kvcache_traces_1.oracleGeneral.bin.zst QDLPv1-0.0500-0.9000-clock2-2 cache size    50946, 335173084 req, miss ratio 0.2196, byte miss ratio 0.2196
result/meta_kvcache_traces_1.oracleGeneral.bin.zst QDLPv1-0.0500-0.9000-clock2-2 cache size   169821, 335173084 req, miss ratio 0.1555, byte miss ratio 0.1555
result/meta_kvcache_traces_1.oracleGeneral.bin.zst QDLPv1-0.0500-0.9000-clock2-2 cache size   509463, 335173084 req, miss ratio 0.1104, byte miss ratio 0.1104
