result/talon_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   186732, 20972856 req, miss ratio 0.3956, byte miss ratio 0.3956
result/talon_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   622440, 20972856 req, miss ratio 0.3656, byte miss ratio 0.3656
result/talon_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  1244881, 20972856 req, miss ratio 0.3490, byte miss ratio 0.3490
result/talon_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  2489763, 20972856 req, miss ratio 0.3286, byte miss ratio 0.3286
result/talon_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  4979526, 20972856 req, miss ratio 0.3009, byte miss ratio 0.3009
result/talon_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     6224, 20972856 req, miss ratio 0.4819, byte miss ratio 0.4819
result/talon_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    18673, 20972856 req, miss ratio 0.4520, byte miss ratio 0.4520
result/talon_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    62244, 20972856 req, miss ratio 0.4218, byte miss ratio 0.4218
result/talon_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   186732, 20972856 req, miss ratio 0.3942, byte miss ratio 0.3942
result/talon_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   622440, 20972856 req, miss ratio 0.3656, byte miss ratio 0.3656
result/talon_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  1244881, 20972856 req, miss ratio 0.3490, byte miss ratio 0.3490
result/talon_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  2489763, 20972856 req, miss ratio 0.3286, byte miss ratio 0.3286
result/talon_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  4979526, 20972856 req, miss ratio 0.3009, byte miss ratio 0.3009
result/talon_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     6224, 20972856 req, miss ratio 0.4952, byte miss ratio 0.4952
result/talon_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    18673, 20972856 req, miss ratio 0.4655, byte miss ratio 0.4655
result/talon_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    62244, 20972856 req, miss ratio 0.4400, byte miss ratio 0.4400
result/talon_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   186732, 20972856 req, miss ratio 0.4228, byte miss ratio 0.4228
result/talon_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   622440, 20972856 req, miss ratio 0.3849, byte miss ratio 0.3849
result/talon_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1244881, 20972856 req, miss ratio 0.3607, byte miss ratio 0.3607
result/talon_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  2489763, 20972856 req, miss ratio 0.3302, byte miss ratio 0.3302
result/talon_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  4979526, 20972856 req, miss ratio 0.3003, byte miss ratio 0.3003
result/talon_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     6224, 20972856 req, miss ratio 0.4867, byte miss ratio 0.4867
result/talon_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    18673, 20972856 req, miss ratio 0.4587, byte miss ratio 0.4587
result/talon_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    62244, 20972856 req, miss ratio 0.4396, byte miss ratio 0.4396
result/talon_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   186732, 20972856 req, miss ratio 0.4106, byte miss ratio 0.4106
result/talon_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   622440, 20972856 req, miss ratio 0.3764, byte miss ratio 0.3764
result/talon_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1244881, 20972856 req, miss ratio 0.3547, byte miss ratio 0.3547
result/talon_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  2489763, 20972856 req, miss ratio 0.3288, byte miss ratio 0.3288
result/talon_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  4979526, 20972856 req, miss ratio 0.3012, byte miss ratio 0.3012
