result/tencentBlock.ns12248.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      681, 2458306 req, miss ratio 0.1782, byte miss ratio 0.1782
result/tencentBlock.ns12248.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2044, 2458306 req, miss ratio 0.1492, byte miss ratio 0.1492
result/tencentBlock.ns12248.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6815, 2458306 req, miss ratio 0.1172, byte miss ratio 0.1172
result/tencentBlock.ns12248.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    13630, 2458306 req, miss ratio 0.0923, byte miss ratio 0.0923
result/tencentBlock.ns12248.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    27261, 2458306 req, miss ratio 0.0643, byte miss ratio 0.0643
result/tencentBlock.ns12248.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    54523, 2458306 req, miss ratio 0.0330, byte miss ratio 0.0330
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO-d cache size       68, 2458306 req, miss ratio 0.3274, byte miss ratio 0.3274
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO-d cache size      204, 2458306 req, miss ratio 0.2145, byte miss ratio 0.2145
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO-d cache size      681, 2458306 req, miss ratio 0.1534, byte miss ratio 0.1534
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO-d cache size     2044, 2458306 req, miss ratio 0.1243, byte miss ratio 0.1243
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO-d cache size     6815, 2458306 req, miss ratio 0.0973, byte miss ratio 0.0973
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO-d cache size    13630, 2458306 req, miss ratio 0.0799, byte miss ratio 0.0799
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO-d cache size    27261, 2458306 req, miss ratio 0.0538, byte miss ratio 0.0538
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO-d cache size    54523, 2458306 req, miss ratio 0.0295, byte miss ratio 0.0295
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO cache size       68, 2458306 req, miss ratio 0.2958, byte miss ratio 0.2958
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO cache size      204, 2458306 req, miss ratio 0.2056, byte miss ratio 0.2056
