result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    40114, 169287715 req, miss ratio 0.4393, byte miss ratio 0.4393
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   133713, 169287715 req, miss ratio 0.2537, byte miss ratio 0.2537
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   267427, 169287715 req, miss ratio 0.1507, byte miss ratio 0.1507
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   534855, 169287715 req, miss ratio 0.0818, byte miss ratio 0.0818
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  1069710, 169287715 req, miss ratio 0.0097, byte miss ratio 0.0097
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     1337, 169287715 req, miss ratio 0.5586, byte miss ratio 0.5586
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     4011, 169287715 req, miss ratio 0.5263, byte miss ratio 0.5263
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    13371, 169287715 req, miss ratio 0.4958, byte miss ratio 0.4958
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    40114, 169287715 req, miss ratio 0.4338, byte miss ratio 0.4338
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   133713, 169287715 req, miss ratio 0.4027, byte miss ratio 0.4027
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   267427, 169287715 req, miss ratio 0.1905, byte miss ratio 0.1905
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   534855, 169287715 req, miss ratio 0.0828, byte miss ratio 0.0828
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  1069710, 169287715 req, miss ratio 0.0157, byte miss ratio 0.0157
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     1337, 169287715 req, miss ratio 0.5683, byte miss ratio 0.5683
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     4011, 169287715 req, miss ratio 0.5389, byte miss ratio 0.5389
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    13371, 169287715 req, miss ratio 0.5043, byte miss ratio 0.5043
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    40114, 169287715 req, miss ratio 0.4391, byte miss ratio 0.4391
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   133713, 169287715 req, miss ratio 0.2335, byte miss ratio 0.2335
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   267427, 169287715 req, miss ratio 0.1413, byte miss ratio 0.1413
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   534855, 169287715 req, miss ratio 0.0687, byte miss ratio 0.0687
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1069710, 169287715 req, miss ratio 0.0100, byte miss ratio 0.0100
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     1337, 169287715 req, miss ratio 0.5578, byte miss ratio 0.5578
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     4011, 169287715 req, miss ratio 0.5311, byte miss ratio 0.5311
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    13371, 169287715 req, miss ratio 0.5019, byte miss ratio 0.5019
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    40114, 169287715 req, miss ratio 0.4453, byte miss ratio 0.4453
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   133713, 169287715 req, miss ratio 0.2492, byte miss ratio 0.2492
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   267427, 169287715 req, miss ratio 0.1707, byte miss ratio 0.1707
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   534855, 169287715 req, miss ratio 0.0777, byte miss ratio 0.0777
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1069710, 169287715 req, miss ratio 0.0102, byte miss ratio 0.0102
