result/cdn2_colo28.ns462.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size        9, 1241566 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns462.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       27, 1241566 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns462.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       91, 1241566 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns462.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      274, 1241566 req, miss ratio 0.1498, byte miss ratio 0.1498
result/cdn2_colo28.ns462.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      916, 1241566 req, miss ratio 0.0821, byte miss ratio 0.0821
result/cdn2_colo28.ns462.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1832, 1241566 req, miss ratio 0.0448, byte miss ratio 0.0448
result/cdn2_colo28.ns462.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3664, 1241566 req, miss ratio 0.0164, byte miss ratio 0.0164
result/cdn2_colo28.ns462.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7328, 1241566 req, miss ratio 0.0080, byte miss ratio 0.0080
result/cdn2_colo28.ns462.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size        9, 1241566 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns462.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       27, 1241566 req, miss ratio 0.3382, byte miss ratio 0.3382
result/cdn2_colo28.ns462.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       91, 1241566 req, miss ratio 0.2338, byte miss ratio 0.2338
result/cdn2_colo28.ns462.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      274, 1241566 req, miss ratio 0.1520, byte miss ratio 0.1520
result/cdn2_colo28.ns462.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      916, 1241566 req, miss ratio 0.0833, byte miss ratio 0.0833
result/cdn2_colo28.ns462.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1832, 1241566 req, miss ratio 0.0459, byte miss ratio 0.0459
result/cdn2_colo28.ns462.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3664, 1241566 req, miss ratio 0.0170, byte miss ratio 0.0170
result/cdn2_colo28.ns462.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7328, 1241566 req, miss ratio 0.0082, byte miss ratio 0.0082
