result/tencentBlock.ns23689.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    36091, 14503139 req, miss ratio 0.3805, byte miss ratio 0.3805
result/tencentBlock.ns23689.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   108273, 14503139 req, miss ratio 0.3225, byte miss ratio 0.3225
result/tencentBlock.ns23689.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   360913, 14503139 req, miss ratio 0.3048, byte miss ratio 0.3048
result/tencentBlock.ns23689.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   721826, 14503139 req, miss ratio 0.2895, byte miss ratio 0.2895
result/tencentBlock.ns23689.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1443652, 14503139 req, miss ratio 0.2758, byte miss ratio 0.2758
result/tencentBlock.ns23689.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  2887304, 14503139 req, miss ratio 0.2673, byte miss ratio 0.2673
result/tencentBlock.ns23689.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3609, 14503139 req, miss ratio 0.6354, byte miss ratio 0.6354
result/tencentBlock.ns23689.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    10827, 14503139 req, miss ratio 0.6051, byte miss ratio 0.6051
result/tencentBlock.ns23689.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    36091, 14503139 req, miss ratio 0.3835, byte miss ratio 0.3835
result/tencentBlock.ns23689.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   108273, 14503139 req, miss ratio 0.3109, byte miss ratio 0.3109
result/tencentBlock.ns23689.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   360913, 14503139 req, miss ratio 0.2887, byte miss ratio 0.2887
result/tencentBlock.ns23689.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   721826, 14503139 req, miss ratio 0.2785, byte miss ratio 0.2785
result/tencentBlock.ns23689.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1443652, 14503139 req, miss ratio 0.2731, byte miss ratio 0.2731
result/tencentBlock.ns23689.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  2887304, 14503139 req, miss ratio 0.2581, byte miss ratio 0.2581
