result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO cache size     2216, 2071033 req, miss ratio 0.1726, byte miss ratio 0.1726
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO cache size     7387, 2071033 req, miss ratio 0.1252, byte miss ratio 0.1252
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO cache size    14775, 2071033 req, miss ratio 0.0998, byte miss ratio 0.0998
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO cache size    29550, 2071033 req, miss ratio 0.0517, byte miss ratio 0.0517
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO cache size    59101, 2071033 req, miss ratio 0.0374, byte miss ratio 0.0374
result/tencentBlock.ns4713.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       73, 2071033 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns4713.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      221, 2071033 req, miss ratio 0.2924, byte miss ratio 0.2924
result/tencentBlock.ns4713.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      738, 2071033 req, miss ratio 0.2227, byte miss ratio 0.2227
result/tencentBlock.ns4713.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2216, 2071033 req, miss ratio 0.1659, byte miss ratio 0.1659
result/tencentBlock.ns4713.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7387, 2071033 req, miss ratio 0.1176, byte miss ratio 0.1176
result/tencentBlock.ns4713.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    14775, 2071033 req, miss ratio 0.0854, byte miss ratio 0.0854
result/tencentBlock.ns4713.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    29550, 2071033 req, miss ratio 0.0475, byte miss ratio 0.0475
result/tencentBlock.ns4713.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    59101, 2071033 req, miss ratio 0.0394, byte miss ratio 0.0394
result/tencentBlock.ns4713.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       73, 2071033 req, miss ratio 0.3130, byte miss ratio 0.3130
result/tencentBlock.ns4713.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      221, 2071033 req, miss ratio 0.2256, byte miss ratio 0.2256
result/tencentBlock.ns4713.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      738, 2071033 req, miss ratio 0.1936, byte miss ratio 0.1936
result/tencentBlock.ns4713.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2216, 2071033 req, miss ratio 0.1686, byte miss ratio 0.1686
result/tencentBlock.ns4713.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7387, 2071033 req, miss ratio 0.1177, byte miss ratio 0.1177
result/tencentBlock.ns4713.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    14775, 2071033 req, miss ratio 0.0883, byte miss ratio 0.0883
result/tencentBlock.ns4713.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    29550, 2071033 req, miss ratio 0.0507, byte miss ratio 0.0507
result/tencentBlock.ns4713.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    59101, 2071033 req, miss ratio 0.0362, byte miss ratio 0.0362
