result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO cache size    58587, 1403090 req, miss ratio 0.2861, byte miss ratio 0.2861
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO cache size   117175, 1403090 req, miss ratio 0.1300, byte miss ratio 0.1300
result/tencentBlock.ns5836.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      146, 1403090 req, miss ratio 0.6174, byte miss ratio 0.6174
result/tencentBlock.ns5836.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      439, 1403090 req, miss ratio 0.5814, byte miss ratio 0.5814
result/tencentBlock.ns5836.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1464, 1403090 req, miss ratio 0.4575, byte miss ratio 0.4575
result/tencentBlock.ns5836.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4394, 1403090 req, miss ratio 0.4396, byte miss ratio 0.4396
result/tencentBlock.ns5836.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    14646, 1403090 req, miss ratio 0.3802, byte miss ratio 0.3802
result/tencentBlock.ns5836.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    29293, 1403090 req, miss ratio 0.3144, byte miss ratio 0.3144
result/tencentBlock.ns5836.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    58587, 1403090 req, miss ratio 0.2042, byte miss ratio 0.2042
result/tencentBlock.ns5836.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   117175, 1403090 req, miss ratio 0.1164, byte miss ratio 0.1164
result/tencentBlock.ns5836.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      146, 1403090 req, miss ratio 0.4666, byte miss ratio 0.4666
result/tencentBlock.ns5836.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      439, 1403090 req, miss ratio 0.4578, byte miss ratio 0.4578
result/tencentBlock.ns5836.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1464, 1403090 req, miss ratio 0.4425, byte miss ratio 0.4425
result/tencentBlock.ns5836.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4394, 1403090 req, miss ratio 0.4284, byte miss ratio 0.4284
result/tencentBlock.ns5836.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    14646, 1403090 req, miss ratio 0.3801, byte miss ratio 0.3801
result/tencentBlock.ns5836.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    29293, 1403090 req, miss ratio 0.3239, byte miss ratio 0.3239
result/tencentBlock.ns5836.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    58587, 1403090 req, miss ratio 0.2169, byte miss ratio 0.2169
result/tencentBlock.ns5836.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   117175, 1403090 req, miss ratio 0.1237, byte miss ratio 0.1237
