result/cdn2_colo28.ns1004.oracleGeneral.zst LRB cache size     1176, 4558740 req, miss ratio 0.1583, byte miss ratio 0.1583
result/cdn2_colo28.ns1004.oracleGeneral.zst LRB cache size     3923, 4558740 req, miss ratio 0.1436, byte miss ratio 0.1436
result/cdn2_colo28.ns1004.oracleGeneral.zst LRB cache size    11769, 4558740 req, miss ratio 0.1278, byte miss ratio 0.1278
result/cdn2_colo28.ns1004.oracleGeneral.zst LRB cache size    39231, 4558740 req, miss ratio 0.1093, byte miss ratio 0.1093
result/cdn2_colo28.ns1004.oracleGeneral.zst LRB cache size    78462, 4558740 req, miss ratio 0.0979, byte miss ratio 0.0979
result/cdn2_colo28.ns1004.oracleGeneral.zst LRB cache size   156925, 4558740 req, miss ratio 0.0917, byte miss ratio 0.0917
result/cdn2_colo28.ns1004.oracleGeneral.zst LRB cache size   313850, 4558740 req, miss ratio 0.0864, byte miss ratio 0.0864
result/cdn2_colo28.ns1004.oracleGeneral.zst B-LRU cache size      392, 4558740 req, miss ratio 0.1808, byte miss ratio 0.1808
result/cdn2_colo28.ns1004.oracleGeneral.zst B-LRU cache size     1176, 4558740 req, miss ratio 0.1694, byte miss ratio 0.1694
result/cdn2_colo28.ns1004.oracleGeneral.zst B-LRU cache size     3923, 4558740 req, miss ratio 0.1533, byte miss ratio 0.1533
result/cdn2_colo28.ns1004.oracleGeneral.zst B-LRU cache size    11769, 4558740 req, miss ratio 0.1349, byte miss ratio 0.1349
result/cdn2_colo28.ns1004.oracleGeneral.zst B-LRU cache size    39231, 4558740 req, miss ratio 0.1143, byte miss ratio 0.1143
result/cdn2_colo28.ns1004.oracleGeneral.zst B-LRU cache size    78462, 4558740 req, miss ratio 0.1085, byte miss ratio 0.1085
result/cdn2_colo28.ns1004.oracleGeneral.zst B-LRU cache size   156925, 4558740 req, miss ratio 0.1081, byte miss ratio 0.1081
result/cdn2_colo28.ns1004.oracleGeneral.zst B-LRU cache size   313850, 4558740 req, miss ratio 0.1081, byte miss ratio 0.1081
result/cdn2_colo28.ns1004.oracleGeneral.zst TwoQ cache size      392, 4558740 req, miss ratio 0.1704, byte miss ratio 0.1704
result/cdn2_colo28.ns1004.oracleGeneral.zst TwoQ cache size     1176, 4558740 req, miss ratio 0.1592, byte miss ratio 0.1592
result/cdn2_colo28.ns1004.oracleGeneral.zst TwoQ cache size     3923, 4558740 req, miss ratio 0.1438, byte miss ratio 0.1438
result/cdn2_colo28.ns1004.oracleGeneral.zst TwoQ cache size    11769, 4558740 req, miss ratio 0.1274, byte miss ratio 0.1274
result/cdn2_colo28.ns1004.oracleGeneral.zst TwoQ cache size    39231, 4558740 req, miss ratio 0.1106, byte miss ratio 0.1106
result/cdn2_colo28.ns1004.oracleGeneral.zst TwoQ cache size    78462, 4558740 req, miss ratio 0.1024, byte miss ratio 0.1024
