result/tencentBlock.ns9356.oracleGeneral.zst TwoQ cache size      465, 1185760 req, miss ratio 0.5814, byte miss ratio 0.5814
result/tencentBlock.ns9356.oracleGeneral.zst TwoQ cache size     1550, 1185760 req, miss ratio 0.5040, byte miss ratio 0.5040
result/tencentBlock.ns9356.oracleGeneral.zst TwoQ cache size     4650, 1185760 req, miss ratio 0.4890, byte miss ratio 0.4890
result/tencentBlock.ns9356.oracleGeneral.zst TwoQ cache size    15501, 1185760 req, miss ratio 0.4478, byte miss ratio 0.4478
result/tencentBlock.ns9356.oracleGeneral.zst TwoQ cache size    31003, 1185760 req, miss ratio 0.3865, byte miss ratio 0.3865
result/tencentBlock.ns9356.oracleGeneral.zst TwoQ cache size    62007, 1185760 req, miss ratio 0.2607, byte miss ratio 0.2607
result/tencentBlock.ns9356.oracleGeneral.zst TwoQ cache size   124014, 1185760 req, miss ratio 0.1628, byte miss ratio 0.1628
result/tencentBlock.ns9356.oracleGeneral.zst S3FIFO cache size      155, 1185760 req, miss ratio 0.6133, byte miss ratio 0.6133
result/tencentBlock.ns9356.oracleGeneral.zst S3FIFO cache size      465, 1185760 req, miss ratio 0.5844, byte miss ratio 0.5844
result/tencentBlock.ns9356.oracleGeneral.zst S3FIFO cache size     1550, 1185760 req, miss ratio 0.5011, byte miss ratio 0.5011
result/tencentBlock.ns9356.oracleGeneral.zst S3FIFO cache size     4650, 1185760 req, miss ratio 0.4872, byte miss ratio 0.4872
result/tencentBlock.ns9356.oracleGeneral.zst S3FIFO cache size    15501, 1185760 req, miss ratio 0.4389, byte miss ratio 0.4389
result/tencentBlock.ns9356.oracleGeneral.zst S3FIFO cache size    31003, 1185760 req, miss ratio 0.4025, byte miss ratio 0.4025
result/tencentBlock.ns9356.oracleGeneral.zst S3FIFO cache size    62007, 1185760 req, miss ratio 0.2642, byte miss ratio 0.2642
result/tencentBlock.ns9356.oracleGeneral.zst S3FIFO cache size   124014, 1185760 req, miss ratio 0.1332, byte miss ratio 0.1332
result/tencentBlock.ns9356.oracleGeneral.zst S3FIFO-d cache size      155, 1185760 req, miss ratio 0.5991, byte miss ratio 0.5991
result/tencentBlock.ns9356.oracleGeneral.zst S3FIFO-d cache size      465, 1185760 req, miss ratio 0.5421, byte miss ratio 0.5421
result/tencentBlock.ns9356.oracleGeneral.zst S3FIFO-d cache size     1550, 1185760 req, miss ratio 0.5010, byte miss ratio 0.5010
result/tencentBlock.ns9356.oracleGeneral.zst S3FIFO-d cache size     4650, 1185760 req, miss ratio 0.4870, byte miss ratio 0.4870
result/tencentBlock.ns9356.oracleGeneral.zst S3FIFO-d cache size    15501, 1185760 req, miss ratio 0.4391, byte miss ratio 0.4391
result/tencentBlock.ns9356.oracleGeneral.zst S3FIFO-d cache size    31003, 1185760 req, miss ratio 0.4002, byte miss ratio 0.4002
result/tencentBlock.ns9356.oracleGeneral.zst S3FIFO-d cache size    62007, 1185760 req, miss ratio 0.2640, byte miss ratio 0.2640
result/tencentBlock.ns9356.oracleGeneral.zst S3FIFO-d cache size   124014, 1185760 req, miss ratio 0.1332, byte miss ratio 0.1332
result/tencentBlock.ns9356.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      155, 1185760 req, miss ratio 0.6487, byte miss ratio 0.6487
result/tencentBlock.ns9356.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      465, 1185760 req, miss ratio 0.6275, byte miss ratio 0.6275
result/tencentBlock.ns9356.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1550, 1185760 req, miss ratio 0.6477, byte miss ratio 0.6477
result/tencentBlock.ns9356.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4650, 1185760 req, miss ratio 0.5413, byte miss ratio 0.5413
result/tencentBlock.ns9356.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    15501, 1185760 req, miss ratio 0.4393, byte miss ratio 0.4393
result/tencentBlock.ns9356.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    31003, 1185760 req, miss ratio 0.3583, byte miss ratio 0.3583
result/tencentBlock.ns9356.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    62007, 1185760 req, miss ratio 0.2206, byte miss ratio 0.2206
result/tencentBlock.ns9356.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   124014, 1185760 req, miss ratio 0.1359, byte miss ratio 0.1359
result/tencentBlock.ns9356.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      155, 1185760 req, miss ratio 0.6891, byte miss ratio 0.6891
result/tencentBlock.ns9356.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      465, 1185760 req, miss ratio 0.5831, byte miss ratio 0.5831
result/tencentBlock.ns9356.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1550, 1185760 req, miss ratio 0.5470, byte miss ratio 0.5470
result/tencentBlock.ns9356.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4650, 1185760 req, miss ratio 0.5126, byte miss ratio 0.5126
result/tencentBlock.ns9356.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    15501, 1185760 req, miss ratio 0.4309, byte miss ratio 0.4309
result/tencentBlock.ns9356.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    31003, 1185760 req, miss ratio 0.3609, byte miss ratio 0.3609
result/tencentBlock.ns9356.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    62007, 1185760 req, miss ratio 0.2312, byte miss ratio 0.2312
result/tencentBlock.ns9356.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   124014, 1185760 req, miss ratio 0.1442, byte miss ratio 0.1442
