result/hm_0.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   351349, 3993316 req, miss ratio 0.1294, byte miss ratio 0.1294
result/hm_0.IQI.bin.oracleGeneral.zst B-LRU cache size      439, 3993316 req, miss ratio 0.5255, byte miss ratio 0.5255
result/hm_0.IQI.bin.oracleGeneral.zst B-LRU cache size     1317, 3993316 req, miss ratio 0.4824, byte miss ratio 0.4824
result/hm_0.IQI.bin.oracleGeneral.zst B-LRU cache size     4391, 3993316 req, miss ratio 0.4270, byte miss ratio 0.4270
result/hm_0.IQI.bin.oracleGeneral.zst B-LRU cache size    13175, 3993316 req, miss ratio 0.3851, byte miss ratio 0.3851
result/hm_0.IQI.bin.oracleGeneral.zst B-LRU cache size    43918, 3993316 req, miss ratio 0.3184, byte miss ratio 0.3184
result/hm_0.IQI.bin.oracleGeneral.zst B-LRU cache size    87837, 3993316 req, miss ratio 0.2621, byte miss ratio 0.2621
result/hm_0.IQI.bin.oracleGeneral.zst B-LRU cache size   175674, 3993316 req, miss ratio 0.2067, byte miss ratio 0.2067
result/hm_0.IQI.bin.oracleGeneral.zst B-LRU cache size   351349, 3993316 req, miss ratio 0.1852, byte miss ratio 0.1852
result/hm_0.IQI.bin.oracleGeneral.zst TwoQ cache size      439, 3993316 req, miss ratio 0.4936, byte miss ratio 0.4936
result/hm_0.IQI.bin.oracleGeneral.zst TwoQ cache size     1317, 3993316 req, miss ratio 0.4543, byte miss ratio 0.4543
result/hm_0.IQI.bin.oracleGeneral.zst TwoQ cache size     4391, 3993316 req, miss ratio 0.4023, byte miss ratio 0.4023
result/hm_0.IQI.bin.oracleGeneral.zst TwoQ cache size    13175, 3993316 req, miss ratio 0.3625, byte miss ratio 0.3625
result/hm_0.IQI.bin.oracleGeneral.zst TwoQ cache size    43918, 3993316 req, miss ratio 0.2992, byte miss ratio 0.2992
result/hm_0.IQI.bin.oracleGeneral.zst TwoQ cache size    87837, 3993316 req, miss ratio 0.2429, byte miss ratio 0.2429
result/hm_0.IQI.bin.oracleGeneral.zst TwoQ cache size   175674, 3993316 req, miss ratio 0.1850, byte miss ratio 0.1850
result/hm_0.IQI.bin.oracleGeneral.zst TwoQ cache size   351349, 3993316 req, miss ratio 0.1341, byte miss ratio 0.1341
