result/cdn2_colo28.ns2736.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    41427, 1033298 req, miss ratio 0.4583, byte miss ratio 0.4583
result/cdn2_colo28.ns2736.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    82855, 1033298 req, miss ratio 0.4405, byte miss ratio 0.4405
result/cdn2_colo28.ns2736.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   165710, 1033298 req, miss ratio 0.4207, byte miss ratio 0.4207
result/cdn2_colo28.ns2736.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   331420, 1033298 req, miss ratio 0.4037, byte miss ratio 0.4037
result/cdn2_colo28.ns2736.oracleGeneral.zst TwoQ cache size      414, 1033298 req, miss ratio 0.5755, byte miss ratio 0.5755
result/cdn2_colo28.ns2736.oracleGeneral.zst TwoQ cache size     1242, 1033298 req, miss ratio 0.5444, byte miss ratio 0.5444
result/cdn2_colo28.ns2736.oracleGeneral.zst TwoQ cache size     4142, 1033298 req, miss ratio 0.5071, byte miss ratio 0.5071
result/cdn2_colo28.ns2736.oracleGeneral.zst TwoQ cache size    12428, 1033298 req, miss ratio 0.4827, byte miss ratio 0.4827
result/cdn2_colo28.ns2736.oracleGeneral.zst TwoQ cache size    41427, 1033298 req, miss ratio 0.4629, byte miss ratio 0.4629
result/cdn2_colo28.ns2736.oracleGeneral.zst TwoQ cache size    82855, 1033298 req, miss ratio 0.4491, byte miss ratio 0.4491
result/cdn2_colo28.ns2736.oracleGeneral.zst TwoQ cache size   165710, 1033298 req, miss ratio 0.4321, byte miss ratio 0.4321
result/cdn2_colo28.ns2736.oracleGeneral.zst TwoQ cache size   331420, 1033298 req, miss ratio 0.4083, byte miss ratio 0.4083
result/cdn2_colo28.ns2736.oracleGeneral.zst S4LRU(25:25:25:25) cache size      414, 1033298 req, miss ratio 0.5763, byte miss ratio 0.5763
result/cdn2_colo28.ns2736.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1242, 1033298 req, miss ratio 0.5464, byte miss ratio 0.5464
result/cdn2_colo28.ns2736.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4142, 1033298 req, miss ratio 0.4980, byte miss ratio 0.4980
result/cdn2_colo28.ns2736.oracleGeneral.zst S4LRU(25:25:25:25) cache size    12428, 1033298 req, miss ratio 0.4748, byte miss ratio 0.4748
result/cdn2_colo28.ns2736.oracleGeneral.zst S4LRU(25:25:25:25) cache size    41427, 1033298 req, miss ratio 0.4545, byte miss ratio 0.4545
result/cdn2_colo28.ns2736.oracleGeneral.zst S4LRU(25:25:25:25) cache size    82855, 1033298 req, miss ratio 0.4395, byte miss ratio 0.4395
result/cdn2_colo28.ns2736.oracleGeneral.zst S4LRU(25:25:25:25) cache size   165710, 1033298 req, miss ratio 0.4214, byte miss ratio 0.4214
result/cdn2_colo28.ns2736.oracleGeneral.zst S4LRU(25:25:25:25) cache size   331420, 1033298 req, miss ratio 0.4033, byte miss ratio 0.4033
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO cache size      414, 1033298 req, miss ratio 0.5728, byte miss ratio 0.5728
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO cache size     1242, 1033298 req, miss ratio 0.5386, byte miss ratio 0.5386
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO cache size     4142, 1033298 req, miss ratio 0.4938, byte miss ratio 0.4938
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO cache size    12428, 1033298 req, miss ratio 0.4723, byte miss ratio 0.4723
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO cache size    41427, 1033298 req, miss ratio 0.4530, byte miss ratio 0.4530
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO cache size    82855, 1033298 req, miss ratio 0.4401, byte miss ratio 0.4401
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO cache size   165710, 1033298 req, miss ratio 0.4250, byte miss ratio 0.4250
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO cache size   331420, 1033298 req, miss ratio 0.4048, byte miss ratio 0.4048
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO-d cache size      414, 1033298 req, miss ratio 0.5727, byte miss ratio 0.5727
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO-d cache size     1242, 1033298 req, miss ratio 0.5388, byte miss ratio 0.5388
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO-d cache size     4142, 1033298 req, miss ratio 0.4938, byte miss ratio 0.4938
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO-d cache size    12428, 1033298 req, miss ratio 0.4723, byte miss ratio 0.4723
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO-d cache size    41427, 1033298 req, miss ratio 0.4530, byte miss ratio 0.4530
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO-d cache size    82855, 1033298 req, miss ratio 0.4401, byte miss ratio 0.4401
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO-d cache size   165710, 1033298 req, miss ratio 0.4250, byte miss ratio 0.4250
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO-d cache size   331420, 1033298 req, miss ratio 0.4048, byte miss ratio 0.4048
result/cdn2_colo28.ns2736.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      414, 1033298 req, miss ratio 0.5836, byte miss ratio 0.5836
result/cdn2_colo28.ns2736.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1242, 1033298 req, miss ratio 0.5592, byte miss ratio 0.5592
result/cdn2_colo28.ns2736.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4142, 1033298 req, miss ratio 0.5142, byte miss ratio 0.5142
result/cdn2_colo28.ns2736.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    12428, 1033298 req, miss ratio 0.4910, byte miss ratio 0.4910
result/cdn2_colo28.ns2736.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    41427, 1033298 req, miss ratio 0.4644, byte miss ratio 0.4644
result/cdn2_colo28.ns2736.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    82855, 1033298 req, miss ratio 0.4467, byte miss ratio 0.4467
result/cdn2_colo28.ns2736.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   165710, 1033298 req, miss ratio 0.4268, byte miss ratio 0.4268
result/cdn2_colo28.ns2736.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   331420, 1033298 req, miss ratio 0.4045, byte miss ratio 0.4045
result/cdn2_colo28.ns2736.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      414, 1033298 req, miss ratio 0.5782, byte miss ratio 0.5782
result/cdn2_colo28.ns2736.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1242, 1033298 req, miss ratio 0.5515, byte miss ratio 0.5515
result/cdn2_colo28.ns2736.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4142, 1033298 req, miss ratio 0.5191, byte miss ratio 0.5191
result/cdn2_colo28.ns2736.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    12428, 1033298 req, miss ratio 0.4902, byte miss ratio 0.4902
result/cdn2_colo28.ns2736.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    41427, 1033298 req, miss ratio 0.4664, byte miss ratio 0.4664
result/cdn2_colo28.ns2736.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    82855, 1033298 req, miss ratio 0.4502, byte miss ratio 0.4502
result/cdn2_colo28.ns2736.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   165710, 1033298 req, miss ratio 0.4293, byte miss ratio 0.4293
result/cdn2_colo28.ns2736.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   331420, 1033298 req, miss ratio 0.4045, byte miss ratio 0.4045
