result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO cache size       47, 4501638 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO cache size      156, 4501638 req, miss ratio 0.0038, byte miss ratio 0.0038
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO cache size      470, 4501638 req, miss ratio 0.0036, byte miss ratio 0.0036
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO cache size     1567, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO cache size     3135, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO cache size     6270, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO cache size    12540, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       15, 4501638 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns460.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       47, 4501638 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns460.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      156, 4501638 req, miss ratio 0.0053, byte miss ratio 0.0053
result/cdn2_allcolo.ns460.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      470, 4501638 req, miss ratio 0.0049, byte miss ratio 0.0049
result/cdn2_allcolo.ns460.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1567, 4501638 req, miss ratio 0.0047, byte miss ratio 0.0047
result/cdn2_allcolo.ns460.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3135, 4501638 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_allcolo.ns460.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6270, 4501638 req, miss ratio 0.0037, byte miss ratio 0.0037
result/cdn2_allcolo.ns460.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    12540, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       15, 4501638 req, miss ratio 0.0734, byte miss ratio 0.0734
result/cdn2_allcolo.ns460.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       47, 4501638 req, miss ratio 0.0063, byte miss ratio 0.0063
result/cdn2_allcolo.ns460.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      156, 4501638 req, miss ratio 0.0058, byte miss ratio 0.0058
result/cdn2_allcolo.ns460.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      470, 4501638 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn2_allcolo.ns460.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1567, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3135, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6270, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    12540, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
