result/prxy_0.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   124544, 12518968 req, miss ratio 0.0139, byte miss ratio 0.0139
result/prxy_0.IQI.bin.oracleGeneral.zst TwoQ cache size      155, 12518968 req, miss ratio 0.8917, byte miss ratio 0.8917
result/prxy_0.IQI.bin.oracleGeneral.zst TwoQ cache size      467, 12518968 req, miss ratio 0.8685, byte miss ratio 0.8685
result/prxy_0.IQI.bin.oracleGeneral.zst TwoQ cache size     1556, 12518968 req, miss ratio 0.3410, byte miss ratio 0.3410
result/prxy_0.IQI.bin.oracleGeneral.zst TwoQ cache size     4670, 12518968 req, miss ratio 0.0726, byte miss ratio 0.0726
result/prxy_0.IQI.bin.oracleGeneral.zst TwoQ cache size    15568, 12518968 req, miss ratio 0.0453, byte miss ratio 0.0453
result/prxy_0.IQI.bin.oracleGeneral.zst TwoQ cache size    31136, 12518968 req, miss ratio 0.0243, byte miss ratio 0.0243
result/prxy_0.IQI.bin.oracleGeneral.zst TwoQ cache size    62272, 12518968 req, miss ratio 0.0171, byte miss ratio 0.0171
result/prxy_0.IQI.bin.oracleGeneral.zst TwoQ cache size   124544, 12518968 req, miss ratio 0.0147, byte miss ratio 0.0147
result/prxy_0.IQI.bin.oracleGeneral.zst B-LRU cache size      155, 12518968 req, miss ratio 0.9346, byte miss ratio 0.9346
result/prxy_0.IQI.bin.oracleGeneral.zst B-LRU cache size      467, 12518968 req, miss ratio 0.9093, byte miss ratio 0.9093
result/prxy_0.IQI.bin.oracleGeneral.zst B-LRU cache size     1556, 12518968 req, miss ratio 0.3670, byte miss ratio 0.3670
result/prxy_0.IQI.bin.oracleGeneral.zst B-LRU cache size     4670, 12518968 req, miss ratio 0.0900, byte miss ratio 0.0900
result/prxy_0.IQI.bin.oracleGeneral.zst B-LRU cache size    15568, 12518968 req, miss ratio 0.0536, byte miss ratio 0.0536
result/prxy_0.IQI.bin.oracleGeneral.zst B-LRU cache size    31136, 12518968 req, miss ratio 0.0338, byte miss ratio 0.0338
result/prxy_0.IQI.bin.oracleGeneral.zst B-LRU cache size    62272, 12518968 req, miss ratio 0.0264, byte miss ratio 0.0264
result/prxy_0.IQI.bin.oracleGeneral.zst B-LRU cache size   124544, 12518968 req, miss ratio 0.0237, byte miss ratio 0.0237
result/prxy_0.IQI.bin.oracleGeneral.zst S3FIFO-d cache size      155, 12518968 req, miss ratio 0.8832, byte miss ratio 0.8832
result/prxy_0.IQI.bin.oracleGeneral.zst S3FIFO-d cache size      467, 12518968 req, miss ratio 0.8317, byte miss ratio 0.8317
result/prxy_0.IQI.bin.oracleGeneral.zst S3FIFO-d cache size     1556, 12518968 req, miss ratio 0.3750, byte miss ratio 0.3750
result/prxy_0.IQI.bin.oracleGeneral.zst S3FIFO-d cache size     4670, 12518968 req, miss ratio 0.0724, byte miss ratio 0.0724
result/prxy_0.IQI.bin.oracleGeneral.zst S3FIFO-d cache size    15568, 12518968 req, miss ratio 0.0468, byte miss ratio 0.0468
result/prxy_0.IQI.bin.oracleGeneral.zst S3FIFO-d cache size    31136, 12518968 req, miss ratio 0.0263, byte miss ratio 0.0263
result/prxy_0.IQI.bin.oracleGeneral.zst S3FIFO-d cache size    62272, 12518968 req, miss ratio 0.0163, byte miss ratio 0.0163
result/prxy_0.IQI.bin.oracleGeneral.zst S3FIFO-d cache size   124544, 12518968 req, miss ratio 0.0129, byte miss ratio 0.0129
result/prxy_0.IQI.bin.oracleGeneral.zst S3FIFO cache size      155, 12518968 req, miss ratio 0.8901, byte miss ratio 0.8901
result/prxy_0.IQI.bin.oracleGeneral.zst S3FIFO cache size      467, 12518968 req, miss ratio 0.8641, byte miss ratio 0.8641
result/prxy_0.IQI.bin.oracleGeneral.zst S3FIFO cache size     1556, 12518968 req, miss ratio 0.2775, byte miss ratio 0.2775
result/prxy_0.IQI.bin.oracleGeneral.zst S3FIFO cache size     4670, 12518968 req, miss ratio 0.0718, byte miss ratio 0.0718
result/prxy_0.IQI.bin.oracleGeneral.zst S3FIFO cache size    15568, 12518968 req, miss ratio 0.0465, byte miss ratio 0.0465
result/prxy_0.IQI.bin.oracleGeneral.zst S3FIFO cache size    31136, 12518968 req, miss ratio 0.0260, byte miss ratio 0.0260
result/prxy_0.IQI.bin.oracleGeneral.zst S3FIFO cache size    62272, 12518968 req, miss ratio 0.0162, byte miss ratio 0.0162
result/prxy_0.IQI.bin.oracleGeneral.zst S3FIFO cache size   124544, 12518968 req, miss ratio 0.0129, byte miss ratio 0.0129
result/prxy_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      155, 12518968 req, miss ratio 0.8392, byte miss ratio 0.8392
result/prxy_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      467, 12518968 req, miss ratio 0.6905, byte miss ratio 0.6905
result/prxy_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1556, 12518968 req, miss ratio 0.2218, byte miss ratio 0.2218
result/prxy_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4670, 12518968 req, miss ratio 0.0708, byte miss ratio 0.0708
result/prxy_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    15568, 12518968 req, miss ratio 0.0428, byte miss ratio 0.0428
result/prxy_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    31136, 12518968 req, miss ratio 0.0224, byte miss ratio 0.0224
result/prxy_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    62272, 12518968 req, miss ratio 0.0163, byte miss ratio 0.0163
result/prxy_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   124544, 12518968 req, miss ratio 0.0129, byte miss ratio 0.0129
result/prxy_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      155, 12518968 req, miss ratio 0.8333, byte miss ratio 0.8333
result/prxy_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      467, 12518968 req, miss ratio 0.6905, byte miss ratio 0.6905
result/prxy_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1556, 12518968 req, miss ratio 0.2397, byte miss ratio 0.2397
result/prxy_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4670, 12518968 req, miss ratio 0.0712, byte miss ratio 0.0712
result/prxy_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    15568, 12518968 req, miss ratio 0.0434, byte miss ratio 0.0434
result/prxy_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    31136, 12518968 req, miss ratio 0.0230, byte miss ratio 0.0230
result/prxy_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    62272, 12518968 req, miss ratio 0.0165, byte miss ratio 0.0165
result/prxy_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   124544, 12518968 req, miss ratio 0.0135, byte miss ratio 0.0135
