result/tencentBlock.ns9705.oracleGeneral.zst TwoQ cache size      584, 2633396 req, miss ratio 0.0999, byte miss ratio 0.0999
result/tencentBlock.ns9705.oracleGeneral.zst TwoQ cache size     1753, 2633396 req, miss ratio 0.0809, byte miss ratio 0.0809
result/tencentBlock.ns9705.oracleGeneral.zst TwoQ cache size     5845, 2633396 req, miss ratio 0.0671, byte miss ratio 0.0671
result/tencentBlock.ns9705.oracleGeneral.zst TwoQ cache size    11691, 2633396 req, miss ratio 0.0558, byte miss ratio 0.0558
result/tencentBlock.ns9705.oracleGeneral.zst TwoQ cache size    23382, 2633396 req, miss ratio 0.0406, byte miss ratio 0.0406
result/tencentBlock.ns9705.oracleGeneral.zst TwoQ cache size    46765, 2633396 req, miss ratio 0.0301, byte miss ratio 0.0301
result/tencentBlock.ns9705.oracleGeneral.zst S3FIFO-d cache size       58, 2633396 req, miss ratio 0.4851, byte miss ratio 0.4851
result/tencentBlock.ns9705.oracleGeneral.zst S3FIFO-d cache size      175, 2633396 req, miss ratio 0.3393, byte miss ratio 0.3393
result/tencentBlock.ns9705.oracleGeneral.zst S3FIFO-d cache size      584, 2633396 req, miss ratio 0.0988, byte miss ratio 0.0988
result/tencentBlock.ns9705.oracleGeneral.zst S3FIFO-d cache size     1753, 2633396 req, miss ratio 0.0819, byte miss ratio 0.0819
result/tencentBlock.ns9705.oracleGeneral.zst S3FIFO-d cache size     5845, 2633396 req, miss ratio 0.0676, byte miss ratio 0.0676
result/tencentBlock.ns9705.oracleGeneral.zst S3FIFO-d cache size    11691, 2633396 req, miss ratio 0.0592, byte miss ratio 0.0592
result/tencentBlock.ns9705.oracleGeneral.zst S3FIFO-d cache size    23382, 2633396 req, miss ratio 0.0387, byte miss ratio 0.0387
result/tencentBlock.ns9705.oracleGeneral.zst S3FIFO-d cache size    46765, 2633396 req, miss ratio 0.0245, byte miss ratio 0.0245
result/tencentBlock.ns9705.oracleGeneral.zst S3FIFO cache size       58, 2633396 req, miss ratio 0.4897, byte miss ratio 0.4897
result/tencentBlock.ns9705.oracleGeneral.zst S3FIFO cache size      175, 2633396 req, miss ratio 0.2848, byte miss ratio 0.2848
result/tencentBlock.ns9705.oracleGeneral.zst S3FIFO cache size      584, 2633396 req, miss ratio 0.0989, byte miss ratio 0.0989
result/tencentBlock.ns9705.oracleGeneral.zst S3FIFO cache size     1753, 2633396 req, miss ratio 0.0819, byte miss ratio 0.0819
result/tencentBlock.ns9705.oracleGeneral.zst S3FIFO cache size     5845, 2633396 req, miss ratio 0.0676, byte miss ratio 0.0676
result/tencentBlock.ns9705.oracleGeneral.zst S3FIFO cache size    11691, 2633396 req, miss ratio 0.0592, byte miss ratio 0.0592
result/tencentBlock.ns9705.oracleGeneral.zst S3FIFO cache size    23382, 2633396 req, miss ratio 0.0389, byte miss ratio 0.0389
result/tencentBlock.ns9705.oracleGeneral.zst S3FIFO cache size    46765, 2633396 req, miss ratio 0.0245, byte miss ratio 0.0245
result/tencentBlock.ns9705.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       58, 2633396 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns9705.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      175, 2633396 req, miss ratio 0.2799, byte miss ratio 0.2799
result/tencentBlock.ns9705.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      584, 2633396 req, miss ratio 0.1300, byte miss ratio 0.1300
result/tencentBlock.ns9705.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1753, 2633396 req, miss ratio 0.0842, byte miss ratio 0.0842
result/tencentBlock.ns9705.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5845, 2633396 req, miss ratio 0.0660, byte miss ratio 0.0660
result/tencentBlock.ns9705.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    11691, 2633396 req, miss ratio 0.0582, byte miss ratio 0.0582
result/tencentBlock.ns9705.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    23382, 2633396 req, miss ratio 0.0360, byte miss ratio 0.0360
result/tencentBlock.ns9705.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    46765, 2633396 req, miss ratio 0.0247, byte miss ratio 0.0247
result/tencentBlock.ns9705.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       58, 2633396 req, miss ratio 0.4981, byte miss ratio 0.4981
result/tencentBlock.ns9705.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      175, 2633396 req, miss ratio 0.2411, byte miss ratio 0.2411
result/tencentBlock.ns9705.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      584, 2633396 req, miss ratio 0.1012, byte miss ratio 0.1012
result/tencentBlock.ns9705.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1753, 2633396 req, miss ratio 0.0791, byte miss ratio 0.0791
result/tencentBlock.ns9705.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5845, 2633396 req, miss ratio 0.0658, byte miss ratio 0.0658
result/tencentBlock.ns9705.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    11691, 2633396 req, miss ratio 0.0552, byte miss ratio 0.0552
result/tencentBlock.ns9705.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    23382, 2633396 req, miss ratio 0.0362, byte miss ratio 0.0362
result/tencentBlock.ns9705.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    46765, 2633396 req, miss ratio 0.0254, byte miss ratio 0.0254
